,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
69,6/4/2021,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,32.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
82,5/14/2021,AR,BAPTIST HEALTH - VAN BUREN,VAN BUREN,Short Term,14.0,14.0,7.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,49.0,27.0,27.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
83,5/14/2021,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,32.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
90,4/30/2021,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,32.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
115,3/19/2021,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
126,3/5/2021,AR,DELTA MEMORIAL HOSPITAL,DUMAS,Critical Access Hospitals,26.0,26.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,112.0,28.0,28.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
171,12/11/2020,AR,LEVI HOSPITAL,HOT SPRINGS,Short Term,45.0,45.0,34.0,16.0,16.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,315.0,238.0,112.0,112.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0
255,9/11/2020,AR,OZARK HEALTH,CLINTON,Critical Access Hospitals,25.0,,,13.7,13.7,,,,,25.0,0.0,,0.0,,,,,,,175.0,,,96.0,96.0,,,,,175.0,0.0,,0.0,,,
291,8/28/2020,AR,FULTON COUNTY HOSPITAL,SALEM,Critical Access Hospitals,25.0,,,12.0,,,,,,25.0,-999999.0,,-999999.0,,,,,,,25.0,,,12.0,,,,,,25.0,-999999.0,,-999999.0,,,
292,8/28/2020,AR,DARDANELLE HOSPITAL,DARDANELLE,Critical Access Hospitals,14.0,14.0,,14.0,14.0,0.0,0.0,0.0,0.0,,,,,,,,,,,56.0,56.0,,56.0,56.0,0.0,0.0,0.0,0.0,,,,,,,
321,8/21/2020,AR,OZARK HEALTH,CLINTON,Critical Access Hospitals,25.0,,,13.8,13.8,,,,,25.0,0.0,,0.0,,,,,,,150.0,,,83.0,83.0,,,,,150.0,0.0,,0.0,,,
322,8/21/2020,AR,DARDANELLE HOSPITAL,DARDANELLE,Critical Access Hospitals,12.0,12.0,,12.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,24.0,24.0,,24.0,24.0,0.0,0.0,0.0,0.0,,,,,,,
344,8/14/2020,AR,"IZARD COUNTY MEDICAL CENTER, LLC",CALICO ROCK,Critical Access Hospitals,25.0,,5.0,5.0,5.0,,,,,5.0,0.0,,0.0,,,,,,,25.0,,5.0,5.0,5.0,,,,,5.0,0.0,,0.0,,,
367,8/7/2020,AR,LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,Critical Access Hospitals,25.0,,,9.7,9.7,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,175.0,,,68.0,68.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
394,7/31/2020,AR,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,FAYETTEVILLE,Short Term,13.0,13.0,13.0,4.7,4.7,,,,,13.0,0.0,0.0,0.0,0.0,,,,,,91.0,91.0,91.0,33.0,33.0,,,,,91.0,0.0,0.0,0.0,0.0,,
525,9/17/2021,AR,HELENA REGIONAL MEDICAL CENTER,HELENA,Short Term,24.0,18.0,18.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,126.0,126.0,14.0,13.0,-999999.0,-999999.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
577,9/24/2021,AR,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,Short Term,46.0,46.0,40.0,16.3,16.3,-999999.0,-999999.0,0.0,0.0,40.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,322.0,280.0,114.0,114.0,22.0,22.0,0.0,0.0,280.0,21.0,21.0,0.0,0.0,0.0,0.0
608,9/17/2021,AR,CORNERSTONE HOSPITAL LITTLE ROCK,LITTLE ROCK,Long Term,30.0,30.0,30.0,29.6,29.6,-999999.0,-999999.0,0.0,0.0,30.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,207.0,207.0,-999999.0,-999999.0,0.0,0.0,210.0,133.0,133.0,0.0,0.0,0.0,0.0
629,9/17/2021,AR,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,Short Term,23.0,23.0,23.0,16.1,16.1,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,113.0,113.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
658,10/1/2021,AR,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,Short Term,782.2,709.5,662.0,569.5,504.0,81.3,63.2,0.0,0.0,749.3,200.0,127.0,179.5,114.0,41.8,38.3,0.0,0.0,0.0,4693.0,4257.0,3972.0,3417.0,3024.0,488.0,379.0,0.0,0.0,4496.0,1200.0,762.0,1077.0,684.0,251.0,230.0
718,9/24/2021,AR,NORTH ARKANSAS REGIONAL MEDICAL CENTER,HARRISON,Short Term,89.0,80.0,52.0,35.4,33.9,-999999.0,-999999.0,0.0,0.0,64.0,12.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,623.0,560.0,364.0,248.0,237.0,25.0,25.0,0.0,0.0,448.0,84.0,84.0,17.0,17.0,10.0,10.0
727,10/1/2021,AR,LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,Critical Access Hospitals,25.0,25.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,23.0,23.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
811,9/17/2021,AR,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,Short Term,46.0,46.0,40.0,14.0,14.0,-999999.0,-999999.0,0.0,0.0,40.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,322.0,280.0,98.0,98.0,26.0,26.0,0.0,0.0,280.0,21.0,21.0,0.0,0.0,0.0,0.0
924,9/24/2021,AR,CONWAY REGIONAL HEALTH SYSTEM,CONWAY,Short Term,207.0,207.0,145.0,111.7,111.7,19.1,19.1,0.0,0.0,145.0,29.0,29.0,24.1,24.1,12.6,12.6,0.0,0.0,0.0,1449.0,1449.0,1015.0,782.0,782.0,134.0,134.0,0.0,0.0,1015.0,203.0,203.0,169.0,169.0,88.0,88.0
946,9/17/2021,AR,DELTA MEMORIAL HOSPITAL,DUMAS,Critical Access Hospitals,26.0,26.0,16.0,6.1,6.1,-999999.0,-999999.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,112.0,43.0,43.0,7.0,7.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
957,10/1/2021,AR,BAPTIST HEALTH MEDICAL CENTER- CONWAY,CONWAY,Short Term,73.2,67.7,59.5,61.3,59.5,13.3,13.3,0.0,0.0,61.2,16.0,16.0,14.8,14.8,10.7,10.7,0.0,0.0,0.0,439.0,406.0,357.0,368.0,357.0,80.0,80.0,0.0,0.0,367.0,96.0,96.0,89.0,89.0,64.0,64.0
1030,9/24/2021,AR,MERCY HOSPITAL BOONEVILLE,BOONEVILLE,Critical Access Hospitals,25.0,25.0,25.0,7.6,7.6,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,53.0,53.0,19.0,16.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
1033,9/17/2021,AR,BAPTIST HEALTH - FORT SMITH,FORT SMITH,Short Term,319.1,317.4,254.1,241.4,241.4,67.0,67.0,0.0,0.0,256.9,45.9,45.9,52.0,52.0,30.6,30.6,0.0,0.0,0.0,2234.0,2222.0,1779.0,1690.0,1690.0,469.0,469.0,0.0,0.0,1798.0,321.0,321.0,364.0,364.0,214.0,214.0
1094,9/17/2021,AR,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,Short Term,760.4,687.4,654.4,571.7,504.6,104.7,84.7,-999999.0,0.0,727.4,192.1,119.1,172.0,104.9,49.0,48.0,0.0,0.0,0.0,5323.0,4812.0,4581.0,4002.0,3532.0,733.0,593.0,-999999.0,0.0,5092.0,1345.0,834.0,1204.0,734.0,343.0,336.0
1125,9/17/2021,AR,ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,Short Term,129.0,129.0,95.0,52.9,52.9,7.4,7.4,0.0,0.0,95.0,10.0,10.0,9.7,9.7,-999999.0,-999999.0,0.0,0.0,0.0,903.0,903.0,665.0,370.0,370.0,52.0,52.0,0.0,0.0,665.0,70.0,70.0,68.0,68.0,14.0,14.0
1146,9/24/2021,AR,BAPTIST HEALTH MEDICAL CENTER- CONWAY,CONWAY,Short Term,61.7,56.4,50.9,51.4,50.9,12.4,12.4,0.0,0.0,51.3,15.1,15.1,14.0,14.0,10.3,10.3,0.0,0.0,0.0,432.0,395.0,356.0,360.0,356.0,87.0,87.0,0.0,0.0,359.0,106.0,106.0,98.0,98.0,72.0,72.0
1148,10/1/2021,AR,ST VINCENT MEDICAL CENTER/NORTH,SHERWOOD,Short Term,79.1,79.1,67.1,50.6,50.6,0.0,0.0,0.0,0.0,67.1,18.0,18.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,554.0,554.0,470.0,354.0,354.0,0.0,0.0,0.0,0.0,470.0,126.0,126.0,91.0,91.0,0.0,0.0
1168,9/24/2021,AR,BAPTIST HEALTH - FORT SMITH,FORT SMITH,Short Term,304.9,300.7,235.9,221.7,221.4,53.7,53.7,0.0,0.0,239.7,39.9,39.9,39.9,39.9,22.7,22.7,0.0,0.0,0.0,2134.0,2105.0,1651.0,1552.0,1550.0,376.0,376.0,0.0,0.0,1678.0,279.0,279.0,279.0,279.0,159.0,159.0
1192,9/24/2021,AR,"IZARD COUNTY MEDICAL CENTER, LLC",CALICO ROCK,Critical Access Hospitals,10.0,10.0,10.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,14.0,14.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
1206,10/1/2021,AR,"ARKANSAS CHILDREN'S NORTHWEST, INC",SPRINGDALE,Childrens Hospitals,48.0,0.0,0.0,19.9,0.0,0.0,0.0,-999999.0,-999999.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,139.0,0.0,0.0,0.0,18.0,11.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
1223,10/1/2021,AR,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,Critical Access Hospitals,25.0,25.0,25.0,8.4,8.4,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,59.0,59.0,12.0,12.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
1285,9/17/2021,AR,MEDICAL CENTER OF SOUTH ARKANSAS,EL DORADO,Short Term,51.3,51.3,51.3,51.3,51.3,7.4,7.4,0.0,0.0,51.3,6.9,6.9,6.9,6.9,-999999.0,-999999.0,0.0,0.0,0.0,359.0,359.0,359.0,359.0,359.0,52.0,52.0,0.0,0.0,359.0,48.0,48.0,48.0,48.0,13.0,13.0
1463,9/24/2021,AR,UAMS MEDICAL CENTER,LITTLE ROCK,Short Term,686.0,565.4,476.1,457.4,372.3,22.3,21.0,0.0,0.0,596.7,123.9,54.6,104.6,40.6,4.1,4.0,0.0,0.0,0.0,4802.0,3958.0,3333.0,3202.0,2606.0,156.0,147.0,0.0,0.0,4177.0,867.0,382.0,732.0,284.0,29.0,28.0
1493,9/17/2021,AR,"DEWITT HOSPITAL & NURSING HOME, INC",DE WITT,Critical Access Hospitals,10.0,10.0,10.0,5.3,5.3,-999999.0,-999999.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,37.0,37.0,6.0,6.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
1680,9/17/2021,AR,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",WEST MEMPHIS,Short Term,22.0,22.0,0.0,7.1,7.1,-999999.0,-999999.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,0.0,50.0,50.0,17.0,17.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
