,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
237,9/25/2020,AZ,ARIZONA SPECIALTY HOSPITAL,CHANDLER,Short Term,39.0,,,7.2,,,,,,,,,0.0,,,,,,,195.0,,,36.0,,,,,,,,,0.0,,,
272,9/4/2020,AZ,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Short Term,322.0,,,,,,12.7,,,,38.0,,34.3,,,,,,,966.0,,,,,,38.0,,,,114.0,,103.0,,,
290,8/28/2020,AZ,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,PHOENIX,Short Term,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,
318,8/21/2020,AZ,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,PHOENIX,Short Term,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,
319,8/21/2020,AZ,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,Short Term,235.0,,,,,,6.0,,,,14.0,,13.0,,,,,,,470.0,,,,,,12.0,,,,28.0,,26.0,,,
320,8/21/2020,AZ,TUCSON MEDICAL CENTER,TUCSON,Short Term,610.0,,,402.0,,21.7,17.4,0.0,0.0,,45.0,,26.3,,7.6,7.6,,,,4270.0,,,2814.0,,152.0,122.0,0.0,0.0,,315.0,,184.0,,53.0,53.0
342,8/14/2020,AZ,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,Short Term,235.0,,,,,,8.7,,,,12.7,,6.6,,,,,,,1410.0,,,,,,52.0,,,,76.0,,33.0,,,
343,8/14/2020,AZ,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Short Term,322.0,,,,,,16.8,,,,38.0,,34.0,,,,,,,1932.0,,,,,,101.0,,,,228.0,,204.0,,,
365,8/7/2020,AZ,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,Short Term,22.0,22.0,,8.8,8.8,,,,,,,,0.0,0.0,,,,,,110.0,110.0,,44.0,44.0,,,,,,,,0.0,0.0,,
366,8/7/2020,AZ,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Short Term,322.0,,,,,,14.3,,,,38.0,,33.7,,,,,,,1932.0,,,,,,86.0,,,,228.0,,202.0,,,
