,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
7,9/17/2021,CO,KINDRED HOSPITAL-DENVER,DENVER,Long Term,81.0,81.0,48.0,44.7,44.7,0.0,0.0,0.0,0.0,48.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,567.0,336.0,313.0,313.0,0.0,0.0,0.0,0.0,336.0,28.0,28.0,0.0,0.0,0.0,0.0
91,4/30/2021,CO,NATIONAL JEWISH HEALTH,DENVER,Short Term,25.0,18.0,6.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,126.0,42.0,20.0,18.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
116,3/19/2021,CO,KINDRED HOSPITAL AURORA,AURORA,Long Term,37.0,37.0,37.0,35.4,35.4,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,259.0,259.0,248.0,248.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
163,12/25/2020,CO,CRAIG HOSPITAL,ENGLEWOOD,Long Term,88.0,88.0,88.0,86.1,86.1,-999999.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,616.0,616.0,603.0,603.0,-999999.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0
172,12/11/2020,CO,"ANIMAS SURGICAL HOSPITAL, LLC",DURANGO,Short Term,27.0,27.0,12.0,4.3,4.3,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,84.0,30.0,30.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
257,9/11/2020,CO,NATIONAL JEWISH HEALTH,DENVER,Short Term,28.0,,,-999999.0,-999999.0,,,,,28.0,0.0,,0.0,,,,,,,112.0,,,6.0,4.0,,,,,112.0,0.0,,0.0,,,
273,9/4/2020,CO,CRAIG HOSPITAL,ENGLEWOOD,Long Term,88.0,88.0,88.0,87.0,87.0,,,,,88.0,0.0,,0.0,,,,,,,440.0,440.0,440.0,435.0,435.0,,,,,440.0,0.0,,0.0,,,
324,8/21/2020,CO,CRAIG HOSPITAL,ENGLEWOOD,Long Term,88.0,88.0,88.0,85.5,85.5,,,,,88.0,0.0,,0.0,,,,,,,176.0,176.0,176.0,171.0,171.0,,,,,176.0,0.0,,0.0,,,
368,8/7/2020,CO,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,LITTLETON,Short Term,,,,,,-999999.0,-999999.0,-999999.0,0.0,,,,,,-999999.0,-999999.0,,,,,,,,,11.0,11.0,13.0,0.0,,,,,,4.0,-999999.0
369,8/7/2020,CO,FOOTHILLS HOSPITAL,BOULDER,Short Term,165.0,,,107.6,,,,,,,18.0,,12.0,,,,,,,1155.0,,,753.0,,,,,,,126.0,,84.0,,,
395,7/31/2020,CO,MELISSA MEMORIAL HOSPITAL,HOLYOKE,Critical Access Hospitals,13.0,,,7.0,7.0,,,,,13.0,0.0,,0.0,,,,,,,52.0,,,28.0,28.0,,,,,39.0,0.0,,0.0,,,
428,10/1/2021,CO,GOOD SAMARITAN MEDICAL CENTER,LAFAYETTE,Short Term,218.0,188.0,156.0,139.4,139.4,22.3,21.9,-999999.0,-999999.0,186.0,24.0,24.0,19.3,18.6,5.6,5.6,0.0,0.0,0.0,1526.0,1316.0,1092.0,976.0,976.0,156.0,153.0,-999999.0,-999999.0,1302.0,168.0,168.0,135.0,130.0,39.0,39.0
436,9/24/2021,CO,PAM SPECIALTY HOSPITAL OF DENVER,DENVER,Long Term,63.0,63.0,63.0,49.1,49.0,0.0,0.0,0.0,0.0,63.0,10.0,10.0,8.9,8.9,0.0,0.0,0.0,0.0,0.0,441.0,441.0,441.0,344.0,343.0,0.0,0.0,0.0,0.0,441.0,70.0,70.0,62.0,62.0,0.0,0.0
447,9/24/2021,CO,ST VINCENT GENERAL HOSPITAL DISTRICT,LEADVILLE,Critical Access Hospitals,8.0,8.0,8.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,17.0,17.0,-999999.0,-999999.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
486,9/17/2021,CO,PLATTE VALLEY MEDICAL CENTER,BRIGHTON,Short Term,98.0,80.0,80.0,47.3,47.3,14.6,14.4,-999999.0,-999999.0,97.0,16.0,16.0,9.9,9.9,5.1,5.1,0.0,0.0,0.0,686.0,560.0,560.0,331.0,331.0,102.0,101.0,-999999.0,-999999.0,679.0,112.0,112.0,69.0,69.0,36.0,36.0
