,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
100,4/16/2021,CT,GAYLORD HOSPITAL INC,WALLINGFORD,Long Term,124.0,124.0,124.0,118.4,118.4,-999999.0,-999999.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,868.0,868.0,829.0,829.0,-999999.0,-999999.0,0.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0
127,3/5/2021,CT,GAYLORD HOSPITAL INC,WALLINGFORD,Long Term,124.0,124.0,124.0,118.6,118.6,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,868.0,868.0,830.0,830.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2/26/2021,CT,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2/12/2021,CT,GAYLORD HOSPITAL INC,WALLINGFORD,Long Term,124.0,124.0,124.0,118.1,118.1,-999999.0,-999999.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,868.0,868.0,827.0,827.0,4.0,-999999.0,0.0,0.0,868.0,0.0,0.0,0.0,0.0,0.0,0.0
164,12/25/2020,CT,HOSPITAL FOR SPECIAL CARE,NEW BRITAIN,Long Term,237.0,195.0,195.0,213.0,173.7,11.3,8.4,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.0,1365.0,1365.0,1491.0,1216.0,79.0,59.0,0.0,0.0,1659.0,0.0,0.0,0.0,0.0,0.0,0.0
274,9/4/2020,CT,GAYLORD HOSPITAL INC,WALLINGFORD,Long Term,127.0,127.0,127.0,115.5,115.5,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,,,,,,508.0,508.0,508.0,462.0,462.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,,
686,9/17/2021,CT,CONNECTICUT CHILDRENS MEDICAL CENTER,HARTFORD,Childrens Hospitals,182.0,0.0,0.0,152.4,0.0,0.0,0.0,-999999.0,-999999.0,182.0,90.0,0.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,1274.0,0.0,0.0,1067.0,0.0,0.0,0.0,14.0,13.0,1274.0,630.0,0.0,486.0,0.0,0.0,0.0
724,9/17/2021,CT,MIDDLESEX HOSPITAL,MIDDLETOWN,Short Term,273.0,273.0,221.0,179.4,179.4,18.1,16.7,0.0,0.0,221.0,24.0,24.0,22.4,22.4,12.0,11.4,0.0,0.0,0.0,1911.0,1911.0,1547.0,1256.0,1256.0,127.0,117.0,0.0,0.0,1547.0,168.0,168.0,157.0,157.0,84.0,80.0
757,9/24/2021,CT,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,Short Term,280.3,280.3,280.3,229.0,229.0,20.1,17.4,0.0,0.0,280.3,55.0,55.0,23.7,23.7,-999999.0,-999999.0,0.0,0.0,0.0,1962.0,1962.0,1962.0,1603.0,1603.0,141.0,122.0,0.0,0.0,1962.0,385.0,385.0,166.0,166.0,23.0,20.0
953,10/1/2021,CT,BRISTOL HOSPITAL,BRISTOL,Short Term,134.0,134.0,134.0,68.4,68.4,-999999.0,-999999.0,0.0,0.0,134.0,14.0,14.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,938.0,938.0,938.0,479.0,479.0,24.0,24.0,0.0,0.0,938.0,98.0,98.0,47.0,47.0,0.0,0.0
