,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
540,10/1/2021,DC,MEDSTAR WASHINGTON HOSPITAL CENTER,WASHINGTON,Short Term,896.0,832.0,771.1,773.0,723.9,53.4,34.4,6.3,0.0,835.1,138.0,114.0,122.6,101.9,9.1,6.1,0.0,0.0,0.0,6272.0,5824.0,5398.0,5411.0,5067.0,374.0,241.0,44.0,0.0,5846.0,966.0,798.0,858.0,713.0,64.0,43.0
545,9/17/2021,DC,HOWARD UNIVERSITY HOSPITAL,WASHINGTON,Short Term,288.0,258.0,228.0,145.0,130.4,16.9,16.9,0.0,0.0,250.0,36.3,28.0,21.1,20.0,4.0,4.0,0.0,0.0,0.0,2016.0,1806.0,1596.0,1015.0,913.0,118.0,118.0,0.0,0.0,1750.0,254.0,196.0,148.0,140.0,28.0,28.0
891,10/1/2021,DC,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,Short Term,408.0,390.0,390.0,293.4,293.4,15.0,15.0,0.0,0.0,408.0,74.0,56.0,54.1,37.1,0.0,0.0,0.0,0.0,0.0,2856.0,2730.0,2730.0,2054.0,2054.0,105.0,105.0,0.0,0.0,2856.0,518.0,392.0,379.0,260.0,0.0,0.0
1039,9/17/2021,DC,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,Short Term,408.0,390.0,390.0,320.9,320.9,21.9,21.9,0.0,0.0,408.0,74.0,56.0,53.4,36.4,0.0,0.0,0.0,0.0,0.0,2856.0,2730.0,2730.0,2246.0,2246.0,153.0,153.0,0.0,0.0,2856.0,518.0,392.0,374.0,255.0,0.0,0.0
1839,9/24/2021,DC,MEDSTAR WASHINGTON HOSPITAL CENTER,WASHINGTON,Short Term,896.0,832.0,760.9,742.9,696.0,52.1,30.7,0.0,0.0,824.9,145.1,121.1,120.0,98.4,7.0,4.9,0.0,0.0,0.0,6272.0,5824.0,5326.0,5200.0,4872.0,365.0,215.0,0.0,0.0,5774.0,1016.0,848.0,840.0,689.0,49.0,34.0
2029,9/24/2021,DC,BRIDGEPOINT -NATIONAL HARBOR,WASHINGTON,Long Term,52.0,52.0,52.0,39.3,39.3,0.0,0.0,0.0,0.0,52.0,10.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,364.0,364.0,364.0,275.0,275.0,0.0,0.0,0.0,0.0,364.0,70.0,70.0,63.0,63.0,0.0,0.0
3211,10/1/2021,DC,Hospital for Sick Children Pediatric Center (AKA HSC Pediatric Center),Washington,Childrens Hospitals,66.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
3256,9/24/2021,DC,Hospital for Sick Children Pediatric Center (AKA HSC Pediatric Center),Washington,Childrens Hospitals,66.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
3370,9/24/2021,DC,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,Short Term,408.0,390.0,390.0,307.6,307.6,16.7,16.7,0.0,0.0,408.0,74.0,56.0,54.4,37.0,0.0,0.0,0.0,0.0,0.0,2856.0,2730.0,2730.0,2153.0,2153.0,117.0,117.0,0.0,0.0,2856.0,518.0,392.0,381.0,259.0,0.0,0.0
3419,9/17/2021,DC,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,Short Term,453.0,352.9,352.9,356.9,321.6,16.6,10.1,-999999.0,0.0,400.9,105.7,70.7,75.3,58.7,6.3,4.3,0.0,0.0,0.0,3171.0,2470.0,2470.0,2498.0,2251.0,116.0,71.0,4.0,0.0,2806.0,740.0,495.0,527.0,411.0,44.0,30.0
3648,9/17/2021,DC,CHILDREN'S NATIONAL HOSPITAL,WASHINGTON,Childrens Hospitals,368.0,0.0,0.0,326.7,0.0,0.0,0.0,20.3,19.4,327.3,143.0,0.0,136.1,0.0,0.0,0.0,-999999.0,0.0,0.0,2576.0,0.0,0.0,2287.0,0.0,0.0,0.0,142.0,136.0,2291.0,1001.0,0.0,953.0,0.0,0.0,0.0
3848,10/1/2021,DC,BRIDGEPOINT HOSPITAL CAPITOL HILL,WASHINGTON,Long Term,60.0,60.0,60.0,44.9,44.9,0.0,0.0,0.0,0.0,60.0,15.0,15.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,420.0,314.0,314.0,0.0,0.0,0.0,0.0,420.0,105.0,105.0,98.0,98.0,0.0,0.0
4425,9/24/2021,DC,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,Short Term,453.0,350.4,350.4,356.9,320.7,13.6,10.3,-999999.0,0.0,398.4,102.4,67.7,75.4,59.4,6.4,5.3,0.0,0.0,0.0,3171.0,2453.0,2453.0,2498.0,2245.0,95.0,72.0,11.0,0.0,2789.0,717.0,474.0,528.0,416.0,45.0,37.0
5479,9/17/2021,DC,Hospital for Sick Children Pediatric Center (AKA HSC Pediatric Center),Washington,Childrens Hospitals,66.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
5917,9/24/2021,DC,BRIDGEPOINT HOSPITAL CAPITOL HILL,WASHINGTON,Long Term,60.0,60.0,60.0,49.1,49.1,0.0,0.0,0.0,0.0,60.0,15.0,15.0,13.6,13.6,0.0,0.0,0.0,0.0,0.0,420.0,420.0,420.0,344.0,344.0,0.0,0.0,0.0,0.0,420.0,105.0,105.0,95.0,95.0,0.0,0.0
6294,10/1/2021,DC,SIBLEY MEMORIAL HOSPITAL,WASHINGTON,Short Term,382.0,322.0,223.0,196.0,165.9,7.7,6.9,0.0,0.0,283.0,23.0,13.0,16.0,9.6,-999999.0,-999999.0,0.0,0.0,0.0,2674.0,2254.0,1561.0,1372.0,1161.0,54.0,48.0,0.0,0.0,1981.0,161.0,91.0,112.0,67.0,14.0,14.0
6450,9/17/2021,DC,BRIDGEPOINT -NATIONAL HARBOR,WASHINGTON,Long Term,52.0,52.0,52.0,38.3,38.3,0.0,0.0,0.0,0.0,52.0,10.0,10.0,8.4,8.4,0.0,0.0,0.0,0.0,0.0,364.0,364.0,364.0,268.0,268.0,0.0,0.0,0.0,0.0,364.0,70.0,70.0,59.0,59.0,0.0,0.0
7654,10/1/2021,DC,HOWARD UNIVERSITY HOSPITAL,WASHINGTON,Short Term,288.0,258.0,228.0,135.0,121.3,9.9,9.9,0.0,0.0,250.0,40.0,32.0,17.6,16.3,-999999.0,-999999.0,0.0,0.0,0.0,2016.0,1806.0,1596.0,945.0,849.0,69.0,69.0,0.0,0.0,1750.0,280.0,224.0,123.0,114.0,13.0,13.0
8167,10/1/2021,DC,UNITED MEDICAL CENTER,WASHINGTON,Short Term,176.0,176.0,157.0,76.7,76.7,8.3,8.0,0.0,0.0,157.0,11.0,11.0,10.0,10.0,-999999.0,-999999.0,,,,1232.0,1232.0,1099.0,537.0,537.0,58.0,56.0,0.0,0.0,1099.0,77.0,77.0,70.0,70.0,17.0,17.0
8311,9/17/2021,DC,UNITED MEDICAL CENTER,WASHINGTON,Short Term,176.0,176.0,157.0,80.7,80.7,10.6,10.1,0.0,0.0,157.0,8.7,8.7,7.7,7.7,-999999.0,-999999.0,,,,1232.0,1232.0,1099.0,565.0,565.0,74.0,71.0,0.0,0.0,1099.0,61.0,61.0,54.0,54.0,18.0,18.0
8682,9/17/2021,DC,SIBLEY MEMORIAL HOSPITAL,WASHINGTON,Short Term,329.7,269.7,217.7,205.6,171.3,8.3,6.6,0.0,0.0,277.7,23.0,13.0,16.3,9.6,-999999.0,-999999.0,0.0,0.0,0.0,2308.0,1888.0,1524.0,1439.0,1199.0,58.0,46.0,0.0,0.0,1944.0,161.0,91.0,114.0,67.0,18.0,17.0
9774,9/24/2021,DC,CHILDREN'S NATIONAL HOSPITAL,WASHINGTON,Childrens Hospitals,368.0,0.0,0.0,322.0,0.0,0.0,0.0,15.0,14.6,324.6,145.6,0.0,115.9,0.0,0.0,0.0,-999999.0,-999999.0,0.0,2576.0,0.0,0.0,2254.0,0.0,0.0,0.0,105.0,102.0,2272.0,1019.0,0.0,811.0,0.0,0.0,0.0
10558,9/24/2021,DC,UNITED MEDICAL CENTER,WASHINGTON,Short Term,176.0,176.0,157.0,73.1,73.1,11.7,11.7,0.0,0.0,157.0,11.1,11.1,9.1,9.1,4.7,4.7,,,,1232.0,1232.0,1099.0,512.0,512.0,82.0,82.0,0.0,0.0,1099.0,78.0,78.0,64.0,64.0,33.0,33.0
10831,10/1/2021,DC,BRIDGEPOINT -NATIONAL HARBOR,WASHINGTON,Long Term,52.0,52.0,52.0,36.3,36.3,0.0,0.0,0.0,0.0,52.0,10.0,10.0,8.4,8.4,0.0,0.0,0.0,0.0,0.0,364.0,364.0,364.0,254.0,254.0,0.0,0.0,0.0,0.0,364.0,70.0,70.0,59.0,59.0,0.0,0.0
11346,9/17/2021,DC,BRIDGEPOINT HOSPITAL CAPITOL HILL,WASHINGTON,Long Term,60.0,60.0,60.0,48.6,48.6,0.0,0.0,0.0,0.0,60.0,15.0,15.0,14.6,14.6,0.0,0.0,0.0,0.0,0.0,420.0,420.0,420.0,340.0,340.0,0.0,0.0,0.0,0.0,420.0,105.0,105.0,102.0,102.0,0.0,0.0
