,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
50,6/25/2021,DE,ST FRANCIS HOSPITAL,WILMINGTON,Short Term,151.0,145.0,73.3,68.1,67.0,-999999.0,-999999.0,0.0,0.0,79.3,16.0,10.0,8.4,6.9,0.0,0.0,0.0,0.0,0.0,1057.0,1015.0,513.0,477.0,469.0,7.0,7.0,0.0,0.0,555.0,112.0,70.0,59.0,48.0,0.0,0.0
165,12/25/2020,DE,SELECT SPECIALTY HOSPITAL WILMINGTON,WILMINGTON,Long Term,35.0,35.0,35.0,27.7,27.7,-999999.0,-999999.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,194.0,194.0,13.0,13.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
246,9/18/2020,DE,BEEBE MEDICAL CENTER,LEWES,Short Term,210.0,,,137.7,,,,,,195.0,20.0,,16.0,,,,,,,1470.0,,,964.0,,,,,,1365.0,140.0,,112.0,,,
275,9/4/2020,DE,BEEBE MEDICAL CENTER,LEWES,Short Term,210.0,,,133.4,,,,,,195.0,20.0,,16.6,,,,,,,1470.0,,,934.0,,,,,,1365.0,140.0,,116.0,,,
1280,9/17/2021,DE,BEEBE MEDICAL CENTER,LEWES,Short Term,210.0,210.0,196.0,191.3,187.3,27.7,27.7,0.0,0.0,196.0,20.0,20.0,19.3,19.3,7.4,7.4,0.0,0.0,0.0,1470.0,1470.0,1372.0,1339.0,1311.0,194.0,194.0,0.0,0.0,1372.0,140.0,140.0,135.0,135.0,52.0,52.0
1372,9/17/2021,DE,ST FRANCIS HOSPITAL,WILMINGTON,Short Term,151.0,145.0,75.0,62.6,60.3,11.7,11.7,0.0,0.0,81.0,16.0,10.0,8.4,6.1,-999999.0,-999999.0,0.0,0.0,0.0,1057.0,1015.0,525.0,438.0,422.0,82.0,82.0,0.0,0.0,567.0,112.0,70.0,59.0,43.0,8.0,8.0
2127,10/1/2021,DE,SELECT SPECIALTY HOSPITAL WILMINGTON,WILMINGTON,Long Term,35.0,35.0,35.0,31.7,31.7,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,222.0,222.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2167,9/24/2021,DE,ST FRANCIS HOSPITAL,WILMINGTON,Short Term,151.0,145.0,80.6,66.0,63.3,7.7,7.7,0.0,0.0,86.6,16.0,10.0,6.3,5.6,-999999.0,-999999.0,0.0,0.0,0.0,1057.0,1015.0,564.0,462.0,443.0,54.0,54.0,0.0,0.0,606.0,112.0,70.0,44.0,39.0,7.0,7.0
2859,10/1/2021,DE,BEEBE MEDICAL CENTER,LEWES,Short Term,210.0,210.0,192.0,172.3,169.0,13.7,13.7,0.0,0.0,192.0,20.0,20.0,16.3,16.3,-999999.0,-999999.0,0.0,0.0,0.0,1470.0,1470.0,1344.0,1206.0,1183.0,96.0,96.0,0.0,0.0,1344.0,140.0,140.0,114.0,114.0,17.0,17.0
3140,9/24/2021,DE,"NEMOURS CHILDREN'S HOSPITAL, DELAWARE",WILMINGTON,Childrens Hospitals,260.0,0.0,0.0,192.7,0.0,0.0,0.0,6.4,5.9,208.0,70.0,0.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,1820.0,0.0,0.0,1349.0,0.0,0.0,0.0,45.0,41.0,1456.0,490.0,0.0,408.0,0.0,0.0,0.0
