,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
9,9/10/2021,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,60.9,60.9,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,525.0,525.0,426.0,426.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
84,5/14/2021,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,60.0,60.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,-999999.0,0.0,0.0,0.0,0.0,525.0,525.0,525.0,420.0,420.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,21.0,0.0
92,4/30/2021,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,58.7,58.7,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,-999999.0,0.0,0.0,0.0,0.0,525.0,525.0,525.0,411.0,411.0,0.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,21.0,0.0
97,4/23/2021,FL,DOUGLAS GARDENS HOSPITAL,MIAMI,Short Term,32.0,32.0,8.9,-999999.0,-999999.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,62.0,8.0,8.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
111,3/26/2021,FL,ADVENTHEALTH WAUCHULA,WAUCHULA,Critical Access Hospitals,40.0,40.0,25.0,24.1,24.1,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,175.0,169.0,169.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
117,3/19/2021,FL,ADVENTHEALTH WAUCHULA,WAUCHULA,Critical Access Hospitals,40.0,40.0,25.0,23.9,23.9,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,175.0,167.0,167.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
217,10/23/2020,FL,CURAHEALTH JACKSONVILLE LLC,JACKSONVILLE,Long Term,107.0,22.5,22.5,20.2,20.2,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,642.0,135.0,135.0,121.0,121.0,0.0,0.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0
429,10/1/2021,FL,BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,Short Term,50.0,50.0,50.0,37.1,37.1,6.6,6.6,0.0,0.0,50.0,8.0,8.0,6.7,6.7,-999999.0,-999999.0,0.0,0.0,0.0,350.0,350.0,350.0,260.0,260.0,46.0,46.0,0.0,0.0,350.0,56.0,56.0,47.0,47.0,5.0,-999999.0
431,9/17/2021,FL,ORANGE PARK MEDICAL CENTER,ORANGE PARK,Short Term,416.0,395.0,351.0,321.0,313.3,62.3,61.1,0.0,0.0,372.0,54.6,47.0,54.6,47.0,12.7,12.3,0.0,0.0,0.0,2912.0,2765.0,2457.0,2247.0,2193.0,436.0,428.0,0.0,0.0,2604.0,382.0,329.0,382.0,329.0,89.0,86.0
433,9/24/2021,FL,CITRUS MEMORIAL HOSPITAL,INVERNESS,Short Term,237.0,237.0,204.0,140.0,138.6,36.0,32.1,0.0,0.0,204.0,24.0,24.0,19.1,19.1,7.3,6.9,0.0,0.0,0.0,1659.0,1659.0,1428.0,980.0,970.0,252.0,225.0,0.0,0.0,1428.0,168.0,168.0,134.0,134.0,51.0,48.0
457,9/17/2021,FL,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,ORLANDO,Short Term,1851.4,1488.7,1290.4,1473.6,1236.6,228.9,190.7,13.6,7.7,1588.1,294.1,98.1,261.3,92.4,45.6,44.9,,,,12960.0,10421.0,9033.0,10315.0,8656.0,1602.0,1335.0,95.0,54.0,11117.0,2059.0,687.0,1829.0,647.0,319.0,314.0
466,10/1/2021,FL,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,Short Term,282.0,282.0,282.0,225.3,225.3,29.3,29.3,0.0,0.0,282.0,32.0,32.0,24.4,24.4,8.6,8.6,0.0,0.0,0.0,1974.0,1974.0,1974.0,1577.0,1577.0,205.0,205.0,0.0,0.0,1974.0,224.0,224.0,171.0,171.0,60.0,60.0
502,9/24/2021,FL,WELLINGTON REGIONAL MEDICAL CENTER,WELLINGTON,Short Term,280.0,249.0,207.0,203.4,188.0,37.6,37.6,-999999.0,-999999.0,224.0,45.0,28.0,39.3,24.0,12.6,12.6,0.0,0.0,0.0,1960.0,1743.0,1449.0,1424.0,1316.0,263.0,263.0,7.0,7.0,1568.0,315.0,196.0,275.0,168.0,88.0,88.0
542,9/24/2021,FL,ADVENTHEALTH WATERMAN,TAVARES,Short Term,316.0,308.0,257.0,219.4,216.0,29.0,28.3,-999999.0,-999999.0,265.0,28.0,28.0,24.4,24.4,4.6,4.6,0.0,0.0,0.0,2212.0,2156.0,1799.0,1536.0,1512.0,203.0,198.0,-999999.0,-999999.0,1855.0,196.0,196.0,171.0,171.0,32.0,32.0
570,9/24/2021,FL,MARINERS HOSPITAL,TAVERNIER,Critical Access Hospitals,25.0,25.0,21.0,21.0,21.0,-999999.0,-999999.0,0.0,0.0,21.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,147.0,147.0,147.0,12.0,8.0,0.0,0.0,147.0,28.0,28.0,28.0,28.0,0.0,0.0
621,10/1/2021,FL,KINDRED HOSPITAL THE PALM BEACHES,RIVIERA BEACH,Long Term,70.0,70.0,55.4,49.6,49.6,0.0,0.0,0.0,0.0,55.4,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,490.0,490.0,388.0,347.0,347.0,0.0,0.0,0.0,0.0,388.0,70.0,70.0,35.0,35.0,0.0,0.0
622,9/24/2021,FL,ADVENTHEALTH HEART OF FLORIDA,DAVENPORT,Short Term,192.0,192.0,166.0,147.7,147.7,37.6,33.3,0.0,0.0,166.0,16.0,16.0,19.9,19.9,6.6,6.3,0.0,0.0,0.0,1344.0,1344.0,1162.0,1034.0,1034.0,263.0,233.0,0.0,0.0,1162.0,112.0,112.0,139.0,139.0,46.0,44.0
639,10/1/2021,FL,SEBASTIAN RIVER MEDICAL CENTER,SEBASTIAN,Short Term,96.0,96.0,79.0,67.6,67.6,17.1,15.3,0.0,0.0,79.0,16.0,16.0,12.1,12.1,5.6,4.0,0.0,0.0,0.0,672.0,672.0,553.0,473.0,473.0,120.0,107.0,0.0,0.0,553.0,112.0,112.0,85.0,85.0,39.0,28.0
673,10/1/2021,FL,TWIN CITIES HOSPITAL,NICEVILLE,Short Term,53.0,53.0,43.0,28.4,28.4,-999999.0,-999999.0,0.0,0.0,43.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,371.0,371.0,301.0,199.0,199.0,13.0,13.0,0.0,0.0,301.0,56.0,56.0,42.0,42.0,0.0,0.0
685,9/17/2021,FL,MEMORIAL HOSPITAL WEST,PEMBROKE PINES,Short Term,454.9,444.9,371.6,362.3,352.3,81.7,81.7,-999999.0,-999999.0,387.7,53.1,43.1,53.1,43.1,24.6,24.6,0.0,0.0,0.0,3184.0,3114.0,2601.0,2536.0,2466.0,572.0,572.0,4.0,4.0,2714.0,372.0,302.0,372.0,302.0,172.0,172.0
705,9/17/2021,FL,MORTON PLANT NORTH BAY HOSPITAL,NEW PORT RICHEY,Short Term,219.0,219.0,219.0,201.7,178.1,45.4,45.4,-999999.0,-999999.0,219.0,22.0,22.0,18.6,18.6,6.4,6.4,0.0,0.0,0.0,1533.0,1533.0,1533.0,1412.0,1247.0,318.0,318.0,12.0,12.0,1533.0,154.0,154.0,130.0,130.0,45.0,45.0
712,10/1/2021,FL,LAKE BUTLER HOSPITAL,LAKE BUTLER,Critical Access Hospitals,25.0,25.0,15.0,6.3,6.3,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,105.0,44.0,44.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
733,9/24/2021,FL,ED FRASER MEMORIAL HOSPITAL,MACCLENNY,Short Term,37.0,37.0,22.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,259.0,154.0,18.0,18.0,-999999.0,-999999.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
734,10/1/2021,FL,ADVENTHEALTH LAKE WALES,LAKE WALES,Short Term,90.0,90.0,90.0,69.3,69.3,10.1,9.4,0.0,0.0,90.0,8.0,8.0,5.0,5.0,-999999.0,-999999.0,0.0,0.0,0.0,630.0,630.0,630.0,485.0,485.0,71.0,66.0,0.0,0.0,630.0,56.0,56.0,35.0,35.0,15.0,15.0
764,10/1/2021,FL,HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,Short Term,620.7,585.0,532.7,407.0,397.6,32.3,31.4,0.0,0.0,560.7,78.0,68.0,51.9,43.9,8.3,8.3,0.0,0.0,0.0,4345.0,4095.0,3729.0,2849.0,2783.0,226.0,220.0,0.0,0.0,3925.0,546.0,476.0,363.0,307.0,58.0,58.0
