,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
51,6/25/2021,GA,LIGHTHOUSE CARE CENTER OF AUGUSTA,AUGUSTA,Short Term,28.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0
112,3/26/2021,GA,SGMC BERRIEN CAMPUS,NASHVILLE,Short Term,35.0,35.0,27.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,189.0,14.0,8.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1/1/2021,GA,"COLUMBUS SPECIALTY HOSPITAL, INC",COLUMBUS,Long Term,18.0,18.0,15.4,18.0,18.0,7.6,7.6,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,108.0,126.0,126.0,53.0,53.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
167,12/18/2020,GA,SGMC BERRIEN CAMPUS,NASHVILLE,Short Term,34.0,34.0,27.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,189.0,12.0,9.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
193,11/13/2020,GA,TURNING POINT HOSPITAL,MOULTRIE,Short Term,79.0,79.0,79.0,65.0,65.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,474.0,474.0,390.0,390.0,0.0,0.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0
197,11/6/2020,GA,LAUREL HEIGHTS HOSPITAL,ATLANTA,Short Term,124.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,-999999.0,0.0,0.0,124.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
276,9/4/2020,GA,JEFFERSON HOSPITAL,LOUISVILLE,Short Term,47.0,,,-999999.0,,,,,,37.0,0.0,,0.0,,,,,,,235.0,,,17.0,,,,,,185.0,0.0,,0.0,,,
293,8/28/2020,GA,SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,CUTHBERT,Critical Access Hospitals,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,
325,8/21/2020,GA,"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,8/21/2020,GA,"PIEDMONT WALTON HOSPITAL, INC",MONROE,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
