,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
30,8/6/2021,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,126.0,126.0,110.0,88.0,88.0,8.6,4.4,0.0,0.0,110.0,9.0,9.0,-999999.0,-999999.0,0.0,0.0,,,,882.0,882.0,770.0,616.0,616.0,60.0,31.0,0.0,0.0,770.0,63.0,63.0,20.0,20.0,0.0,0.0
340,8/21/2020,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,100.0,,,,,,0.0,,,,9.0,,7.5,,0.0,,,,,200.0,,,,,,0.0,,,,18.0,,15.0,,0.0,
362,8/14/2020,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,100.0,,,,,,0.0,,,,9.0,,5.4,,0.0,,,,,500.0,,,,,,0.0,,,,45.0,,27.0,,0.0,
425,7/31/2020,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,100.0,,,,,,0.0,,,,9.0,,6.5,,0.0,,,,,600.0,,,,,,0.0,,,,54.0,,39.0,,0.0,
1522,9/24/2021,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,146.0,146.0,130.0,107.1,107.1,34.7,29.7,-999999.0,0.0,130.0,9.0,9.0,9.1,9.1,0.0,0.0,,,,1022.0,1022.0,910.0,750.0,750.0,243.0,208.0,-999999.0,0.0,910.0,63.0,63.0,64.0,64.0,0.0,0.0
1948,10/1/2021,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,146.0,146.0,130.0,99.4,99.4,29.4,27.0,0.0,0.0,130.0,9.0,9.0,9.6,9.6,0.0,0.0,,,,730.0,730.0,650.0,497.0,497.0,147.0,135.0,0.0,0.0,650.0,45.0,45.0,48.0,48.0,0.0,0.0
2006,9/24/2021,GU,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,Short Term,223.0,162.0,152.0,133.7,108.9,32.7,31.7,-999999.0,-999999.0,213.0,24.0,18.0,19.3,14.0,8.9,8.7,-999999.0,0.0,-999999.0,1561.0,1134.0,1064.0,936.0,762.0,229.0,222.0,6.0,-999999.0,1491.0,168.0,126.0,135.0,98.0,62.0,61.0
13105,10/1/2021,GU,GUAM MEMORIAL HOSPITAL AUTHORITY,TAMUNING,Short Term,223.0,162.0,152.0,142.2,110.8,31.2,30.2,-999999.0,-999999.0,213.0,24.0,18.0,26.3,19.5,10.2,10.2,-999999.0,0.0,0.0,1338.0,972.0,912.0,853.0,665.0,187.0,181.0,17.0,11.0,1278.0,144.0,108.0,158.0,117.0,61.0,61.0
19161,9/3/2021,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,122.1,122.1,106.1,96.4,96.4,23.4,21.0,0.0,0.0,106.1,9.0,9.0,7.9,7.9,0.0,0.0,,,,855.0,855.0,743.0,675.0,675.0,164.0,147.0,0.0,0.0,743.0,63.0,63.0,55.0,55.0,0.0,0.0
19184,9/17/2021,GU,GUAM REGIONAL MEDICAL CITY,DEDEDO,Short Term,140.3,140.3,124.3,111.4,111.4,36.3,31.7,0.0,0.0,124.3,9.0,9.0,8.3,8.3,0.0,0.0,,,,982.0,982.0,870.0,780.0,780.0,254.0,222.0,0.0,0.0,870.0,63.0,63.0,58.0,58.0,0.0,0.0
