,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
41,7/9/2021,IA,MERCYONE OELWEIN MEDICAL CENTER,OELWEIN,Critical Access Hospitals,20.0,20.0,15.0,5.3,5.3,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,140.0,140.0,105.0,37.0,37.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
459,10/1/2021,IA,TRINITY BETTENDORF,BETTENDORF,Short Term,129.7,90.7,74.7,53.7,41.4,6.1,6.1,-999999.0,-999999.0,113.7,13.7,5.9,8.1,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,908.0,635.0,523.0,376.0,290.0,43.0,43.0,-999999.0,-999999.0,796.0,96.0,41.0,57.0,26.0,13.0,13.0
461,10/1/2021,IA,WAVERLY HEALTH CENTER,WAVERLY,Critical Access Hospitals,25.0,25.0,25.0,9.1,9.1,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,175.0,175.0,175.0,64.0,64.0,10.0,10.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
567,9/24/2021,IA,LAKES REGIONAL HEALTHCARE,SPIRIT LAKE,Short Term,49.0,43.0,36.0,11.9,11.7,-999999.0,-999999.0,0.0,0.0,42.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,343.0,301.0,252.0,83.0,82.0,17.0,17.0,0.0,0.0,294.0,21.0,21.0,5.0,5.0,-999999.0,-999999.0
596,9/24/2021,IA,HANCOCK COUNTY HEALTH SYSTEM,BRITT,Critical Access Hospitals,37.0,37.0,20.0,13.1,13.1,-999999.0,-999999.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,259.0,140.0,92.0,92.0,10.0,10.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
604,10/1/2021,IA,MAHASKA  HEALTH PARTNERSHIP,OSKALOOSA,Critical Access Hospitals,30.4,30.4,24.0,13.3,13.3,6.4,6.4,0.0,0.0,24.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,,,,213.0,213.0,168.0,93.0,93.0,45.0,45.0,0.0,0.0,168.0,14.0,14.0,0.0,0.0,0.0,0.0
623,9/17/2021,IA,BOONE COUNTY HOSPITAL,BOONE,Critical Access Hospitals,33.0,33.0,26.0,13.3,13.3,-999999.0,-999999.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,231.0,231.0,182.0,93.0,93.0,9.0,9.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
675,9/17/2021,IA,MITCHELL COUNTY REGIONAL HEALTH,OSAGE,Critical Access Hospitals,23.0,23.0,18.0,4.1,4.1,-999999.0,-999999.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,126.0,29.0,29.0,4.0,4.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
701,9/24/2021,IA,MANNING REGIONAL HEALTHCARE CENTER,MANNING,Critical Access Hospitals,10.0,10.0,10.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,23.0,23.0,5.0,5.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
735,9/24/2021,IA,MERCY HOSPITAL,IOWA CITY,Short Term,202.0,184.0,105.0,90.1,83.4,10.4,10.4,0.0,0.0,119.0,12.0,8.0,6.1,5.9,-999999.0,-999999.0,,,,1414.0,1288.0,735.0,631.0,584.0,73.0,73.0,0.0,0.0,833.0,84.0,56.0,43.0,41.0,16.0,16.0
