,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
104,4/2/2021,IL,KINDRED HOSPITAL - SYCAMORE,SYCAMORE,Long Term,69.0,69.0,32.0,30.3,30.3,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,483.0,224.0,212.0,212.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1/1/2021,IL,LARABIDA CHILDRENS HOSPITAL I,CHICAGO,Childrens Hospitals,30.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
173,12/11/2020,IL,LARABIDA CHILDRENS HOSPITAL I,CHICAGO,Childrens Hospitals,30.0,0.0,0.0,26.9,0.0,0.0,0.0,-999999.0,-999999.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,188.0,0.0,0.0,0.0,-999999.0,-999999.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
185,11/27/2020,IL,SAINT ANTHONY HOSPITAL,CHICAGO,Short Term,151.0,133.0,133.0,101.0,98.1,35.0,31.3,0.0,0.0,151.0,34.0,34.0,16.3,16.3,16.3,16.3,,,,1057.0,931.0,931.0,707.0,687.0,245.0,219.0,0.0,0.0,1057.0,238.0,238.0,114.0,114.0,114.0,114.0
198,11/6/2020,IL,PARIS COMMUNITY HOSPITAL,PARIS,Critical Access Hospitals,31.0,25.0,25.0,12.5,12.5,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,62.0,50.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
210,10/30/2020,IL,LARABIDA CHILDRENS HOSPITAL I,CHICAGO,Childrens Hospitals,30.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
277,9/4/2020,IL,CARLINVILLE AREA HOSPITAL,CARLINVILLE,Critical Access Hospitals,25.0,,,7.5,,,,,,25.0,,,,,,,,,,100.0,,,30.0,,,,,,100.0,,,,,,
294,8/28/2020,IL,MIDWEST MEDICAL CENTER,GALENA,Critical Access Hospitals,19.0,,,9.0,,0.0,0.0,0.0,0.0,13.0,0.0,,0.0,,,,,,,76.0,,,36.0,,0.0,0.0,0.0,0.0,52.0,0.0,,0.0,,,
295,8/28/2020,IL,GREATER PEORIA SPECIALTY HOSPITAL,PEORIA,Long Term,50.0,50.0,29.0,22.7,22.7,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,350.0,350.0,203.0,159.0,159.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
327,8/21/2020,IL,CARLINVILLE AREA HOSPITAL,CARLINVILLE,Critical Access Hospitals,25.0,,,6.4,,,,,,25.0,,,,,,,,,,125.0,,,32.0,,,,,,125.0,,,,,,
