,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
105,4/2/2021,IN,ORTHOINDY HOSPITAL,INDIANAPOLIS,Short Term,47.0,47.0,42.0,15.6,14.1,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,329.0,294.0,109.0,99.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0
176,12/4/2020,IN,ASCENSION ST VINCENT CLAY,BRAZIL,Critical Access Hospitals,25.0,6.0,6.0,4.4,-999999.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,175.0,42.0,42.0,31.0,24.0,-999999.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
177,12/4/2020,IN,ASCENSION ST VINCENT DUNN,BEDFORD,Critical Access Hospitals,25.0,25.0,25.0,8.0,4.7,-999999.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,175.0,175.0,175.0,56.0,33.0,-999999.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
397,7/31/2020,IN,BLUFFTON REGIONAL MEDICAL CENTER,BLUFFTON,Short Term,45.0,45.0,35.0,13.3,13.3,,,,,35.0,-999999.0,-999999.0,-999999.0,-999999.0,,,,,,315.0,315.0,245.0,93.0,93.0,,,,,245.0,14.0,14.0,6.0,6.0,,
472,10/1/2021,IN,ASCENSION ST VINCENT JENNINGS,NORTH VERNON,Critical Access Hospitals,8.6,8.6,8.6,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,21.0,21.0,-999999.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
476,9/17/2021,IN,FRANCISCAN HEALTH MOORESVILLE,MOORESVILLE,Short Term,84.6,84.6,61.4,33.6,33.6,12.7,9.9,0.0,0.0,61.4,7.3,7.3,7.3,7.3,5.1,4.1,0.0,0.0,0.0,592.0,592.0,430.0,235.0,235.0,89.0,69.0,0.0,0.0,430.0,51.0,51.0,51.0,51.0,36.0,29.0
488,9/24/2021,IN,ST ELIZABETH DEARBORN HOSPITAL,LAWRENCEBURG,Short Term,72.0,59.0,59.0,46.7,46.7,18.0,18.0,0.0,0.0,59.0,8.0,8.0,7.9,7.9,5.4,5.4,0.0,0.0,0.0,504.0,413.0,413.0,327.0,327.0,126.0,126.0,0.0,0.0,413.0,56.0,56.0,55.0,55.0,38.0,38.0
494,9/24/2021,IN,ASCENSION ST VINCENT FISHERS,FISHERS,Short Term,23.3,23.3,23.3,11.0,11.0,-999999.0,-999999.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,163.0,163.0,77.0,77.0,13.0,7.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
503,10/1/2021,IN,NORTHWEST HEALTH- STARKE,KNOX,Short Term,26.0,14.9,13.0,9.6,9.6,-999999.0,-999999.0,0.0,0.0,13.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,104.0,91.0,67.0,67.0,11.0,11.0,0.0,0.0,91.0,7.0,7.0,0.0,0.0,0.0,0.0
512,10/1/2021,IN,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,FORT WAYNE,Short Term,41.0,41.0,39.0,15.0,15.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,287.0,273.0,105.0,105.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
