,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
151,1/8/2021,KS,MORTON COUNTY HOSPITAL,ELKHART,Short Term,22.0,21.0,21.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,147.0,147.0,16.0,16.0,-999999.0,-999999.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
199,11/6/2020,KS,KPC PROMISE HOSPITAL OF OVERLAND PARK,OVERLAND PARK,Long Term,34.0,34.0,34.0,19.0,19.0,0.0,0.0,0.0,0.0,34.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0,57.0,57.0,0.0,0.0,0.0,0.0,102.0,12.0,12.0,0.0,0.0,0.0,0.0
229,10/16/2020,KS,PHILLIPS COUNTY HEALTH SYSTEMS,PHILLIPSBURG,Critical Access Hospitals,25.0,,,8.2,8.2,0.0,,,,25.0,0.0,,0.0,,,,0.0,0.0,0.0,125.0,,,41.0,41.0,0.0,,,,125.0,0.0,,0.0,,,
235,10/2/2020,KS,SEDAN CITY HOSPITAL,SEDAN,Critical Access Hospitals,22.0,0.0,,-999999.0,-999999.0,0.0,,0.0,,18.0,0.0,,0.0,,,,,,,132.0,0.0,,15.0,15.0,0.0,,0.0,,108.0,0.0,,0.0,,,
239,9/25/2020,KS,KPC PROMISE HOSPITAL OF OVERLAND PARK,OVERLAND PARK,Long Term,34.0,,,25.0,,,,,,,4.0,,0.0,,,,,,,136.0,,,100.0,,,,,,,16.0,,0.0,,,
240,9/25/2020,KS,MORTON COUNTY HOSPITAL,ELKHART,Short Term,22.0,21.0,21.0,-999999.0,-999999.0,0.0,,0.0,,22.0,0.0,,0.0,,,,,,,154.0,147.0,147.0,23.0,22.0,0.0,,0.0,,154.0,0.0,,0.0,,,
247,9/18/2020,KS,HANOVER HOSPITAL,HANOVER,Critical Access Hospitals,25.0,,,4.0,4.0,,,,,25.0,0.0,,0.0,,,,,,,75.0,,,12.0,12.0,,,,,75.0,0.0,,0.0,,,
258,9/11/2020,KS,SAINT LUKE'S SOUTH HOSPITAL,OVERLAND PARK,Short Term,,,,109.1,,,,,,180.0,11.0,,5.6,,,,,,,,,,764.0,,,,,,1260.0,77.0,,39.0,,,
259,9/11/2020,KS,SCOTT COUNTY HOSPITAL,SCOTT CITY,Critical Access Hospitals,25.0,,,7.0,6.6,0.0,0.0,0.0,0.0,20.0,,,,,,,,,,175.0,,,49.0,46.0,0.0,0.0,0.0,0.0,140.0,,,,,,
296,8/28/2020,KS,ELLINWOOD DISTRICT HOSPITAL,ELLINWOOD,Critical Access Hospitals,25.0,,,7.0,7.0,0.0,0.0,0.0,0.0,25.0,0.0,,0.0,,,,,,,125.0,,,35.0,35.0,0.0,0.0,0.0,0.0,125.0,0.0,,0.0,,,
328,8/21/2020,KS,SABETHA COMMUNITY HOSPITAL,SABETHA,Critical Access Hospitals,20.0,,,4.0,-999999.0,,,,,15.0,0.0,,0.0,,,,,,,100.0,,,20.0,19.0,,,,,75.0,0.0,,0.0,,,
329,8/21/2020,KS,HANOVER HOSPITAL,HANOVER,Critical Access Hospitals,25.0,,,-999999.0,,,,,,25.0,0.0,,0.0,,,,,,,25.0,,,-999999.0,,,,,,25.0,0.0,,0.0,,,
348,8/14/2020,KS,MORTON COUNTY HOSPITAL,ELKHART,Short Term,22.0,21.0,21.0,-999999.0,-999999.0,,,,,22.0,0.0,,0.0,,,,,,,88.0,84.0,84.0,8.0,8.0,,,,,88.0,0.0,,0.0,,,
376,8/7/2020,KS,FREDONIA REGIONAL HOSPITAL,FREDONIA,Critical Access Hospitals,25.0,,6.3,6.3,6.3,,,,,6.3,0.0,,0.0,,,,,,,100.0,,25.0,25.0,25.0,,,,,25.0,0.0,,0.0,,,
398,7/31/2020,KS,GRAHAM COUNTY HOSPITAL,HILL CITY,Critical Access Hospitals,15.0,,,-999999.0,,,,,,15.0,0.0,,0.0,,,,,,,45.0,,,8.0,,,,,,45.0,0.0,,0.0,,,
399,7/31/2020,KS,MORRIS COUNTY HOSPITAL,COUNCIL GROVE,Critical Access Hospitals,21.0,,,-999999.0,-999999.0,,,,,-999999.0,0.0,,0.0,,,,,,,84.0,,,11.0,11.0,,,,,11.0,0.0,,0.0,,,
445,10/1/2021,KS,KEARNY COUNTY HOSPITAL,LAKIN,Critical Access Hospitals,25.0,25.0,25.0,6.6,6.6,-999999.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,46.0,46.0,5.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
479,10/1/2021,KS,WESLEY MEDICAL CENTER,WICHITA,Short Term,674.0,543.0,490.0,428.1,370.0,64.9,54.6,-999999.0,-999999.0,621.0,176.0,92.0,106.6,86.0,34.9,30.0,0.0,0.0,0.0,4718.0,3801.0,3430.0,2997.0,2590.0,454.0,382.0,13.0,5.0,4347.0,1232.0,644.0,746.0,602.0,244.0,210.0
517,9/24/2021,KS,SAINT LUKE'S SOUTH HOSPITAL,OVERLAND PARK,Short Term,237.0,237.0,137.3,123.4,123.4,15.3,12.1,0.0,0.0,137.3,12.0,8.0,7.6,7.6,4.0,-999999.0,0.0,0.0,0.0,1659.0,1659.0,961.0,864.0,864.0,107.0,85.0,0.0,0.0,961.0,84.0,56.0,53.0,53.0,28.0,26.0
533,10/1/2021,KS,MEMORIAL HOSPITAL,ABILENE,Critical Access Hospitals,18.0,18.0,18.0,5.1,5.1,-999999.0,-999999.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,36.0,36.0,-999999.0,-999999.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
605,9/24/2021,KS,"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN, INC",MANHATTAN,Short Term,98.0,76.0,64.0,49.1,42.3,4.0,4.0,0.0,0.0,86.0,12.0,12.0,4.6,4.6,-999999.0,-999999.0,0.0,0.0,0.0,686.0,532.0,448.0,344.0,296.0,28.0,28.0,0.0,0.0,602.0,84.0,84.0,32.0,32.0,12.0,12.0
