,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
20,8/13/2021,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,21.3,21.3,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,149.0,149.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
70,6/4/2021,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,12.3,12.3,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,86.0,86.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
73,5/28/2021,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,17.2,17.2,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,138.0,103.0,103.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
93,4/30/2021,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,20.9,20.9,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,146.0,146.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
113,3/26/2021,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,20.6,20.6,0.0,0.0,0.0,0.0,23.0,0.0,0.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,144.0,144.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,19.0,0.0,0.0,0.0
149,1/15/2021,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,20.0,20.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,140.0,140.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
349,8/14/2020,KY,FLEMING COUNTY HOSPITAL,FLEMINGSBURG,Critical Access Hospitals,25.0,,,13.1,13.1,,,,,,4.0,,0.0,,,,,,,175.0,,,92.0,92.0,,,,,,28.0,,0.0,,,
481,9/24/2021,KY,UOFL HEALTH - SHELBYVILLE HOSPITAL,SHELBYVILLE,Short Term,102.0,18.1,18.6,7.7,7.7,-999999.0,-999999.0,0.0,0.0,18.6,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,,,,714.0,127.0,130.0,54.0,54.0,24.0,24.0,0.0,0.0,130.0,25.0,25.0,20.0,20.0,17.0,17.0
523,10/1/2021,KY,TUG VALLEY ARH REGIONAL MEDICAL CENTER,SOUTH WILLIAMSON,Short Term,113.0,39.7,38.6,35.1,34.0,16.3,15.7,0.0,0.0,44.3,6.0,6.0,5.9,5.9,4.0,-999999.0,,,,791.0,278.0,270.0,246.0,238.0,114.0,110.0,0.0,0.0,310.0,42.0,42.0,41.0,41.0,28.0,27.0
590,10/1/2021,KY,SAINT JOSEPH HOSPITAL,LEXINGTON,Short Term,446.0,335.0,263.0,211.3,211.3,65.6,61.9,0.0,0.0,263.0,50.0,50.0,45.4,45.4,29.6,28.3,,,,3122.0,2345.0,1841.0,1479.0,1479.0,459.0,433.0,0.0,0.0,1841.0,350.0,350.0,318.0,318.0,207.0,198.0
