,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
31,7/30/2021,LA,AVALA,COVINGTON,Short Term,43.0,43.0,43.0,11.0,11.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,301.0,77.0,77.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
64,6/11/2021,LA,LASALLE GENERAL HOSPITAL,JENA,Short Term,15.0,15.0,15.0,7.7,7.7,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,54.0,54.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
94,4/30/2021,LA,"OMEGA HOSPITAL, LLC",METAIRIE,Short Term,16.0,16.0,16.0,5.6,5.6,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,112.0,39.0,39.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
96,4/23/2021,LA,Surgery Center of Zachary,,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,4/2/2021,LA,AVALA,COVINGTON,Short Term,43.0,43.0,43.0,11.0,11.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,301.0,77.0,77.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1/22/2021,LA,"OMEGA HOSPITAL, LLC",METAIRIE,Short Term,16.0,16.0,16.0,7.9,7.9,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,112.0,55.0,55.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
230,10/16/2020,LA,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,LAFAYETTE,Short Term,21.0,21.0,21.0,8.3,8.3,0.0,0.0,0.0,0.0,21.0,,,,,0.0,0.0,,,,147.0,147.0,147.0,58.0,58.0,0.0,0.0,0.0,0.0,147.0,,,,,0.0,0.0
254,9/11/2020,LA,Surgery Center of Zachary,,Short Term,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0
260,9/11/2020,LA,LAFAYETTE - A M G SPECIALTY HOSPITAL,LAFAYETTE,Long Term,18.0,18.0,18.0,17.3,17.3,0.0,0.0,0.0,0.0,18.0,,,,,0.0,0.0,,,,126.0,126.0,126.0,121.0,121.0,0.0,0.0,0.0,0.0,126.0,,,,,0.0,0.0
271,9/4/2020,LA,Surgery Center of Zachary,,Short Term,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0
278,9/4/2020,LA,RIVERSIDE HOSPITAL OF LOUISIANA,ALEXANDRIA,Long Term,37.0,37.0,37.0,30.7,30.7,0.0,5.0,0.0,0.0,37.0,,,,,0.0,0.0,,,,259.0,259.0,259.0,215.0,215.0,0.0,35.0,0.0,0.0,259.0,,,,,0.0,0.0
297,8/28/2020,LA,"BLIANT SPECIALTY HOSPITAL, LLC",NEW ORLEANS,Long Term,21.0,21.0,21.0,10.0,10.0,0.0,0.0,0.0,0.0,21.0,,,,,0.0,0.0,,,,147.0,147.0,147.0,70.0,70.0,0.0,0.0,0.0,0.0,147.0,,,,,0.0,0.0
438,9/17/2021,LA,BEAUREGARD MEMORIAL HOSPITAL,DERIDDER,Short Term,37.0,33.0,33.0,20.4,20.4,10.4,10.4,-999999.0,-999999.0,37.0,6.0,6.0,5.9,5.9,5.3,5.3,0.0,0.0,0.0,259.0,231.0,231.0,143.0,143.0,73.0,73.0,4.0,4.0,259.0,42.0,42.0,41.0,41.0,37.0,37.0
474,10/1/2021,LA,KPC PROMISE HOSPITAL OF BATON ROUGE,BATON ROUGE,Long Term,53.0,53.0,53.0,45.4,45.4,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,371.0,371.0,318.0,318.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0
497,9/24/2021,LA,ABBEVILLE GENERAL HOSPITAL,ABBEVILLE,Short Term,36.1,36.1,36.1,17.9,17.9,-999999.0,-999999.0,0.0,0.0,36.1,5.0,5.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,253.0,253.0,253.0,125.0,125.0,25.0,24.0,0.0,0.0,253.0,35.0,35.0,22.0,22.0,4.0,4.0
584,9/24/2021,LA,HOUMA - AMG SPECIALTY HOSPITAL,HOUMA,Long Term,40.0,40.0,40.0,22.0,22.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,154.0,154.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
586,9/17/2021,LA,BATON ROUGE GENERAL MEDICAL CENTER,BATON ROUGE,Short Term,333.6,311.6,311.6,245.1,237.6,31.4,31.4,0.0,0.0,333.6,74.6,56.6,47.6,40.0,15.6,15.6,0.0,0.0,0.0,2335.0,2181.0,2181.0,1716.0,1663.0,220.0,220.0,0.0,0.0,2335.0,522.0,396.0,333.0,280.0,109.0,109.0
619,9/17/2021,LA,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,LAFAYETTE,Short Term,21.0,21.0,21.0,7.9,7.9,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,147.0,55.0,55.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
671,10/1/2021,LA,LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE,LAFAYETTE,Long Term,107.0,107.0,107.0,78.0,78.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,749.0,749.0,546.0,546.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0
674,10/1/2021,LA,OCHSNER ACADIA GENERAL HOSPITAL,CROWLEY,Short Term,82.0,82.0,82.0,43.3,43.3,-999999.0,-999999.0,0.0,0.0,82.0,8.0,8.0,6.9,6.9,0.0,0.0,0.0,0.0,0.0,574.0,574.0,574.0,303.0,303.0,-999999.0,-999999.0,0.0,0.0,574.0,56.0,56.0,48.0,48.0,0.0,0.0
677,9/24/2021,LA,BEAUREGARD MEMORIAL HOSPITAL,DERIDDER,Short Term,37.0,33.0,33.0,17.1,16.9,6.3,5.9,-999999.0,-999999.0,37.0,6.0,6.0,4.4,4.4,-999999.0,-999999.0,0.0,0.0,0.0,259.0,231.0,231.0,120.0,118.0,44.0,41.0,4.0,4.0,259.0,42.0,42.0,31.0,31.0,26.0,26.0
699,10/1/2021,LA,CORNERSTONE SPECIALTY HOSPITALS BOSSIER CITY,BOSSIER CITY,Long Term,43.6,43.6,43.6,38.1,38.1,0.0,0.0,0.0,0.0,43.6,8.0,8.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,305.0,305.0,305.0,267.0,267.0,0.0,0.0,0.0,0.0,305.0,56.0,56.0,39.0,39.0,0.0,0.0
732,9/17/2021,LA,WEST FELICIANA PARISH HOSPITAL,SAINT FRANCISVILLE,Critical Access Hospitals,13.0,13.0,13.0,5.9,5.9,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,41.0,41.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
