,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
201,11/6/2020,MA,LEMUEL SHATTUCK HOSPITAL,JAMAICA PLAIN,Long Term,223.0,223.0,223.0,169.1,169.1,0.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.0,1561.0,1561.0,1184.0,1184.0,0.0,0.0,0.0,0.0,1561.0,0.0,0.0,0.0,0.0,0.0,0.0
400,7/31/2020,MA,VIBRA HOSPITAL OF WESTERN MASS - CENTRAL CAMPUS,ROCHDALE,Long Term,47.0,,,33.6,,,,,,47.0,0.0,,0.0,,,,,,,329.0,,,235.0,,,,,,329.0,0.0,,0.0,,,
435,10/1/2021,MA,LEMUEL SHATTUCK HOSPITAL,JAMAICA PLAIN,Long Term,248.0,248.0,248.0,200.7,200.7,-999999.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1736.0,1736.0,1736.0,1405.0,1405.0,21.0,0.0,0.0,0.0,1736.0,0.0,0.0,0.0,0.0,0.0,0.0
480,10/1/2021,MA,NASHOBA VALLEY MEDICAL CENTER,AYER,Short Term,54.1,54.1,42.1,35.3,35.3,-999999.0,-999999.0,0.0,0.0,42.1,4.1,4.1,-999999.0,-999999.0,-999999.0,-999999.0,,,,379.0,379.0,295.0,247.0,247.0,4.0,4.0,0.0,0.0,295.0,29.0,29.0,26.0,26.0,8.0,8.0
552,10/1/2021,MA,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,Short Term,234.1,231.0,191.0,158.3,155.9,6.9,6.9,0.0,0.0,194.1,16.0,16.0,14.9,14.9,-999999.0,-999999.0,,,,1639.0,1617.0,1337.0,1108.0,1091.0,48.0,48.0,0.0,0.0,1359.0,112.0,112.0,104.0,104.0,10.0,10.0
556,10/1/2021,MA,MILFORD REGIONAL MEDICAL CENTER,MILFORD,Short Term,206.0,191.0,141.0,122.6,116.1,6.7,6.7,0.0,0.0,156.0,10.0,10.0,11.0,11.0,0.0,0.0,,,,1442.0,1337.0,987.0,858.0,813.0,47.0,47.0,0.0,0.0,1092.0,70.0,70.0,77.0,77.0,0.0,0.0
576,10/1/2021,MA,MORTON HOSPITAL,TAUNTON,Short Term,144.3,144.3,102.3,93.6,93.6,10.7,10.7,0.0,0.0,102.3,8.3,8.3,7.9,7.9,-999999.0,-999999.0,,,,1010.0,1010.0,716.0,655.0,655.0,75.0,75.0,0.0,0.0,716.0,58.0,58.0,55.0,55.0,22.0,22.0
597,9/17/2021,MA,MARLBOROUGH HOSPITAL,MARLBOROUGH,Short Term,95.0,95.0,75.0,63.9,63.9,-999999.0,-999999.0,0.0,0.0,75.0,8.3,8.3,7.7,7.7,-999999.0,-999999.0,,,,665.0,665.0,525.0,447.0,447.0,9.0,7.0,0.0,0.0,525.0,58.0,58.0,54.0,54.0,12.0,12.0
641,9/17/2021,MA,EMERSON HOSPITAL -,W CONCORD,Short Term,215.6,178.6,158.6,92.4,90.6,-999999.0,-999999.0,0.0,0.0,195.6,19.0,14.0,10.0,5.1,-999999.0,0.0,,,,1509.0,1250.0,1110.0,647.0,634.0,22.0,14.0,0.0,0.0,1369.0,133.0,98.0,70.0,36.0,-999999.0,0.0
661,9/24/2021,MA,SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB,CAMBRIDGE,Long Term,120.0,120.0,120.0,106.3,106.3,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,840.0,840.0,840.0,744.0,744.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0
