,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
32,7/30/2021,MD,"GRACE MEDICAL CENTER, INC",BALTIMORE,Short Term,33.0,33.0,8.0,4.7,4.7,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,231.0,231.0,56.0,33.0,33.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
38,7/16/2021,MD,"GRACE MEDICAL CENTER, INC",BALTIMORE,Short Term,33.0,33.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,231.0,231.0,56.0,28.0,28.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
42,7/9/2021,MD,"GRACE MEDICAL CENTER, INC",BALTIMORE,Short Term,33.0,33.0,8.1,6.0,6.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,231.0,231.0,57.0,42.0,42.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
350,8/14/2020,MD,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS,BALTIMORE,Short Term,114.0,,,42.3,,,,,,53.6,12.9,,10.0,,,,,,,798.0,,,296.0,,,,,,375.0,90.0,,70.0,,,
506,9/17/2021,MD,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,SILVER SPRING,Short Term,336.0,336.0,290.0,237.1,237.1,62.7,51.6,0.0,0.0,290.0,44.0,44.0,22.0,22.0,8.1,7.3,0.0,0.0,0.0,2352.0,2352.0,2030.0,1660.0,1660.0,439.0,361.0,0.0,0.0,2030.0,308.0,308.0,154.0,154.0,57.0,51.0
520,9/17/2021,MD,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,FORT WASHINGTON,Short Term,66.0,66.0,49.0,30.9,30.9,7.0,6.4,0.0,0.0,49.0,16.0,16.0,4.9,4.9,-999999.0,-999999.0,0.0,0.0,0.0,462.0,462.0,343.0,216.0,216.0,49.0,45.0,0.0,0.0,343.0,112.0,112.0,34.0,34.0,18.0,18.0
561,10/1/2021,MD,UMD SHORE MEDICAL CTR AT CHESTERTOWN,CHESTERTOWN,Short Term,31.7,31.7,9.4,8.1,8.1,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,222.0,66.0,57.0,57.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
866,9/24/2021,MD,HOLY CROSS GERMANTOWN HOSPITAL,GERMANTOWN,Short Term,110.0,102.0,91.0,84.6,83.0,9.4,9.0,0.0,0.0,99.0,23.0,15.0,13.6,12.0,6.7,6.7,0.0,0.0,0.0,770.0,714.0,637.0,592.0,581.0,66.0,63.0,0.0,0.0,693.0,161.0,105.0,95.0,84.0,47.0,47.0
1002,9/17/2021,MD,CALVERTHEALTH MEDICAL CENTER,PRINCE FREDERICK,Short Term,86.3,86.0,66.4,56.1,55.9,9.9,9.7,0.0,0.0,66.7,6.0,6.0,5.9,5.9,-999999.0,-999999.0,0.0,0.0,0.0,604.0,602.0,465.0,393.0,391.0,69.0,68.0,0.0,0.0,467.0,42.0,42.0,41.0,41.0,21.0,21.0
1012,10/1/2021,MD,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,BALTIMORE,Short Term,384.3,352.5,352.5,294.8,267.7,25.5,25.2,-999999.0,-999999.0,384.3,67.2,50.8,63.5,45.5,4.5,4.3,-999999.0,0.0,-999999.0,2306.0,2115.0,2115.0,1769.0,1606.0,153.0,151.0,6.0,6.0,2306.0,403.0,305.0,381.0,273.0,27.0,26.0
1362,10/1/2021,MD,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,ROCKVILLE,Short Term,546.0,546.0,431.0,351.9,346.7,36.4,6.4,-999999.0,-999999.0,431.0,36.0,36.0,20.3,20.3,4.7,-999999.0,0.0,0.0,0.0,3822.0,3822.0,3017.0,2463.0,2427.0,255.0,45.0,-999999.0,-999999.0,3017.0,252.0,252.0,142.0,142.0,33.0,27.0
1558,9/24/2021,MD,SAINT AGNES HOSPITAL,BALTIMORE,Short Term,209.3,196.7,168.4,162.9,152.6,8.6,8.6,-999999.0,-999999.0,181.0,21.7,13.7,19.6,12.4,-999999.0,-999999.0,0.0,0.0,0.0,1465.0,1377.0,1179.0,1140.0,1068.0,60.0,60.0,-999999.0,-999999.0,1267.0,152.0,96.0,137.0,87.0,18.0,18.0
1589,9/17/2021,MD,MEDSTAR GOOD SAMARITAN HOSPITAL,BALTIMORE,Short Term,316.0,316.0,168.6,172.9,172.9,14.7,12.6,0.0,0.0,168.6,15.9,15.9,13.3,13.3,-999999.0,-999999.0,,,,2212.0,2212.0,1180.0,1210.0,1210.0,103.0,88.0,0.0,0.0,1180.0,111.0,111.0,93.0,93.0,19.0,19.0
1593,10/1/2021,MD,MEDSTAR SAINT MARY'S HOSPITAL,LEONARDTOWN,Short Term,190.0,170.0,105.4,114.1,108.1,23.3,18.9,0.0,0.0,113.1,10.1,10.1,9.6,9.6,5.1,4.7,,,,1330.0,1190.0,738.0,799.0,757.0,163.0,132.0,0.0,0.0,792.0,71.0,71.0,67.0,67.0,36.0,33.0
1654,9/24/2021,MD,GREATER BALTIMORE MEDICAL CENTER,BALTIMORE,Short Term,371.0,357.0,215.0,190.6,187.4,22.4,21.6,0.0,0.0,229.0,24.0,24.0,16.7,16.7,5.6,5.6,0.0,0.0,0.0,2597.0,2499.0,1505.0,1334.0,1312.0,157.0,151.0,0.0,0.0,1603.0,168.0,168.0,117.0,117.0,39.0,39.0
1706,10/1/2021,MD,"TIDALHEALTH PENINSULA REGIONAL, INC",SALISBURY,Short Term,460.0,460.0,325.0,282.9,260.4,53.0,42.7,-999999.0,-999999.0,331.0,68.0,68.0,32.1,31.9,13.4,11.6,0.0,0.0,0.0,3220.0,3220.0,2275.0,1980.0,1823.0,371.0,299.0,4.0,-999999.0,2317.0,476.0,476.0,225.0,223.0,94.0,81.0
1711,9/24/2021,MD,MERCY MEDICAL CENTER INC,BALTIMORE,Short Term,170.0,170.0,149.0,104.1,104.1,4.7,4.7,0.0,0.0,149.0,18.0,18.0,11.3,11.3,-999999.0,-999999.0,0.0,0.0,0.0,1190.0,1190.0,1043.0,729.0,729.0,33.0,33.0,0.0,0.0,1043.0,126.0,126.0,79.0,79.0,6.0,6.0
1781,10/1/2021,MD,NORTHWEST HOSPITAL CENTER,RANDALLSTOWN,Short Term,189.0,189.0,140.0,128.4,128.4,20.1,18.0,0.0,0.0,140.0,22.1,22.1,20.3,20.3,4.4,4.3,0.0,0.0,0.0,1323.0,1323.0,980.0,899.0,899.0,141.0,126.0,0.0,0.0,980.0,155.0,155.0,142.0,142.0,31.0,30.0
