,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
200,11/6/2020,ME,CHARLES A DEAN MEMORIAL HOSPITAL,GREENVILLE,Critical Access Hospitals,30.0,30.0,30.0,17.1,17.1,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,120.0,120.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
231,10/16/2020,ME,NORTHERN MAINE MEDICAL CENTER,FORT KENT,Short Term,74.0,,,19.0,15.3,0.0,0.0,0.0,0.0,49.0,6.0,6.0,-999999.0,-999999.0,0.0,0.0,,,,518.0,,,133.0,107.0,0.0,0.0,0.0,0.0,343.0,42.0,42.0,-999999.0,-999999.0,0.0,0.0
377,8/7/2020,ME,HOULTON REGIONAL HOSPITAL,HOULTON,Critical Access Hospitals,42.0,,14.6,14.6,14.6,,,,,14.6,0.0,,0.0,,,,,,,210.0,,73.0,73.0,73.0,,,,,73.0,0.0,,0.0,,,
592,10/1/2021,ME,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL,BLUE HILL,Critical Access Hospitals,72.0,72.0,25.0,16.1,16.1,0.0,0.0,0.0,0.0,25.0,5.0,5.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,504.0,504.0,175.0,113.0,113.0,0.0,0.0,0.0,0.0,175.0,35.0,35.0,7.0,7.0,0.0,0.0
713,10/1/2021,ME,CENTRAL MAINE MEDICAL CENTER,LEWISTON,Short Term,250.0,250.0,250.0,141.4,141.4,17.3,17.3,0.0,0.0,250.0,39.0,39.0,29.7,29.7,4.6,4.6,0.0,0.0,0.0,1750.0,1750.0,1750.0,990.0,990.0,121.0,121.0,0.0,0.0,1750.0,273.0,273.0,208.0,208.0,32.0,32.0
893,9/17/2021,ME,DOWN EAST COMMUNITY HOSPITAL,MACHIAS,Critical Access Hospitals,25.0,25.0,25.0,8.7,8.7,-999999.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,61.0,61.0,-999999.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
974,9/24/2021,ME,RUMFORD  HOSPITAL,RUMFORD,Critical Access Hospitals,25.0,25.0,25.0,17.6,17.6,0.0,0.0,0.0,0.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,123.0,123.0,0.0,0.0,0.0,0.0,175.0,12.0,12.0,12.0,12.0,0.0,0.0
1106,10/1/2021,ME,SOUTHERN MAINE HEALTH CARE,BIDDEFORD,Short Term,232.0,222.0,178.0,122.3,120.1,15.1,14.6,0.0,0.0,188.0,10.0,10.0,7.9,7.9,-999999.0,-999999.0,,,,1624.0,1554.0,1246.0,856.0,841.0,106.0,102.0,0.0,0.0,1316.0,70.0,70.0,55.0,55.0,14.0,13.0
1235,9/17/2021,ME,NORTHERN LIGHT BLUE HILL MEMORIAL HOSPITAL,BLUE HILL,Critical Access Hospitals,72.0,72.0,25.0,14.1,14.1,-999999.0,-999999.0,0.0,0.0,25.0,5.0,5.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,504.0,504.0,175.0,99.0,99.0,-999999.0,-999999.0,0.0,0.0,175.0,35.0,35.0,8.0,8.0,0.0,0.0
1428,10/1/2021,ME,LINCOLN HEALTH,DAMARISCOTTA,Critical Access Hospitals,41.0,41.0,31.0,24.0,24.0,-999999.0,-999999.0,0.0,0.0,31.0,4.0,4.0,4.0,4.0,-999999.0,-999999.0,,,,287.0,287.0,217.0,168.0,168.0,14.0,14.0,0.0,0.0,217.0,28.0,28.0,28.0,28.0,7.0,7.0
1525,10/1/2021,ME,MAINE MEDICAL CENTER,PORTLAND,Short Term,781.0,670.3,607.3,579.7,489.7,41.7,40.7,-999999.0,-999999.0,718.0,120.1,81.0,95.3,62.6,16.4,16.3,,,,5467.0,4692.0,4251.0,4058.0,3428.0,292.0,285.0,9.0,7.0,5026.0,841.0,567.0,667.0,438.0,115.0,114.0
1554,9/24/2021,ME,MAINE MEDICAL CENTER,PORTLAND,Short Term,781.1,671.7,608.7,584.9,492.9,41.9,40.9,-999999.0,-999999.0,718.1,118.7,79.6,99.4,64.9,18.6,18.0,,,,5468.0,4702.0,4261.0,4094.0,3450.0,293.0,286.0,8.0,6.0,5027.0,831.0,557.0,696.0,454.0,130.0,126.0
1649,9/17/2021,ME,SEBASTICOOK VALLEY HEALTH,PITTSFIELD,Critical Access Hospitals,25.0,25.0,25.0,23.1,23.1,5.9,5.4,0.0,0.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,162.0,162.0,41.0,38.0,0.0,0.0,175.0,21.0,21.0,21.0,21.0,0.0,0.0
1679,9/24/2021,ME,DOWN EAST COMMUNITY HOSPITAL,MACHIAS,Critical Access Hospitals,25.0,25.0,25.0,14.1,14.1,-999999.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,99.0,99.0,5.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
