,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
46,7/2/2021,MI,INSIGHT SURGICAL HOSPITAL,WARREN,Short Term,20.0,20.0,20.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,140.0,8.0,8.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
74,5/28/2021,MI,HEALTHSOURCE SAGINAW,SAGINAW,Short Term,25.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
120,3/12/2021,MI,FOREST HEALTH MEDICAL CENTER,YPSILANTI,Short Term,45.0,45.0,23.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,315.0,161.0,26.0,26.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
186,11/27/2020,MI,INSIGHT SURGICAL HOSPITAL,WARREN,Short Term,20.0,20.0,20.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
190,11/20/2020,MI,INSIGHT SURGICAL HOSPITAL,WARREN,Short Term,20.0,20.0,20.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,13.0,13.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
202,11/6/2020,MI,STRAITH HOSPITAL FOR SPECIAL SURGERY,SOUTHFIELD,Short Term,24.0,24.0,24.0,8.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,168.0,56.0,56.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
298,8/28/2020,MI,CHILDREN'S HOSPITAL OF MICHIGAN,DETROIT,Childrens Hospitals,189.0,,,99.0,,0.0,0.0,-999999.0,-999999.0,189.0,0.0,,0.0,,0.0,0.0,,,,1323.0,,,693.0,,0.0,0.0,20.0,13.0,1323.0,0.0,,0.0,,0.0,0.0
401,7/31/2020,MI,SPARROW EATON HOSPITAL,CHARLOTTE,Critical Access Hospitals,25.0,,,5.0,,,,,,5.0,0.0,,0.0,,,,,,,125.0,,,25.0,,,,,,25.0,0.0,,0.0,,,
426,10/1/2021,MI,MCLAREN NORTHERN MICHIGAN,PETOSKEY,Short Term,238.0,226.0,138.6,124.3,123.1,16.3,16.3,0.0,0.0,138.6,18.0,17.0,15.0,15.0,7.7,7.7,0.0,0.0,0.0,1666.0,1582.0,970.0,870.0,862.0,114.0,114.0,0.0,0.0,970.0,126.0,119.0,105.0,105.0,54.0,54.0
439,10/1/2021,MI,ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS,WARREN,Short Term,599.0,599.0,516.0,380.0,380.0,20.6,20.3,0.0,0.0,516.0,85.0,85.0,55.6,55.6,7.1,7.1,0.0,0.0,0.0,4193.0,4193.0,3612.0,2660.0,2660.0,144.0,142.0,0.0,0.0,3612.0,595.0,595.0,389.0,389.0,50.0,50.0
