,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
121,3/12/2021,MO,FULTON MEDICAL CENTER LLC,FULTON,Short Term,29.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2/19/2021,MO,BELTON REGIONAL MEDICAL CENTER,BELTON,Short Term,68.0,68.0,48.0,25.0,25.0,0.0,0.0,0.0,0.0,48.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,476.0,476.0,336.0,175.0,175.0,0.0,0.0,0.0,0.0,336.0,35.0,35.0,28.0,28.0,0.0,0.0
152,1/8/2021,MO,KINDRED HOSPITAL NORTHLAND,KANSAS CITY,Long Term,50.0,50.0,40.0,34.0,34.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,238.0,238.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
301,8/28/2020,MO,"LANDMARK HOSPITAL OF COLUMBIA, LLC",COLUMBIA,Long Term,23.0,,,19.7,19.7,,,,,23.0,7.0,,-999999.0,-999999.0,,,,,,161.0,,,138.0,138.0,,,,,161.0,49.0,,22.0,22.0,,
332,8/21/2020,MO,OZARKS HEALTHCARE,WEST PLAINS,Short Term,114.0,,,59.0,,-999999.0,-999999.0,0.0,0.0,,12.0,,7.0,,,,,,,798.0,,,413.0,,27.0,27.0,0.0,0.0,,84.0,,49.0,,,
354,8/14/2020,MO,FREEMAN HEALTH SYSTEM - FREEMAN WEST,JOPLIN,Short Term,0.0,,,0.0,,19.6,16.0,0.0,0.0,0.0,0.0,,0.0,,7.4,5.9,,,,0.0,,,0.0,,137.0,112.0,0.0,0.0,0.0,0.0,,0.0,,52.0,41.0
407,7/31/2020,MO,COX BARTON COUNTY HOSPITAL,LAMAR,Critical Access Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,10/1/2021,MO,WASHINGTON COUNTY MEMORIAL HOSPITAL,POTOSI,Critical Access Hospitals,25.0,25.0,15.0,11.3,11.3,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,105.0,79.0,79.0,19.0,10.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
513,9/17/2021,MO,PHELPS HEALTH,ROLLA,Short Term,167.1,162.1,136.7,130.9,126.6,30.7,30.7,0.0,0.0,141.7,16.0,16.0,13.9,13.9,-999999.0,-999999.0,0.0,0.0,0.0,1170.0,1135.0,957.0,916.0,886.0,215.0,215.0,0.0,0.0,992.0,112.0,112.0,97.0,97.0,26.0,26.0
518,9/17/2021,MO,SELECT SPECIALTY HOSPITAL-ST LOUIS,SAINT CHARLES,Long Term,71.0,71.0,71.0,61.9,61.9,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,497.0,497.0,433.0,433.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0
