,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
1,9/24/2021,MS,SELECT SPECIALTY HOSPITAL - BELHAVEN,JACKSON,Long Term,25.0,25.0,25.0,32.4,32.4,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,227.0,227.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8/13/2021,MS,FIELD HEALTH SYSTEM,CENTREVILLE,Critical Access Hospitals,16.0,16.0,16.0,12.6,12.6,4.3,4.3,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,112.0,88.0,88.0,30.0,30.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
33,7/30/2021,MS,SELECT SPECIALTY HOSPITAL - BELHAVEN,JACKSON,Long Term,25.0,25.0,25.0,27.9,27.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,195.0,195.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
34,7/30/2021,MS,WHITFIELD MEDICAL SURGICAL HOSPITAL,WHITFIELD,Short Term,23.0,23.0,20.0,9.1,9.1,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,140.0,64.0,64.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
232,10/9/2020,MS,MISSISSIPPI METHODIST REHAB CTR,JACKSON,Short Term,70.0,,,66.4,,-999999.0,,0.0,,70.0,0.0,,0.0,,,,,,,350.0,,,332.0,,-999999.0,,0.0,,350.0,0.0,,0.0,,,
233,10/9/2020,MS,ALLIANCE HEALTH CENTER,MERIDIAN,Short Term,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
236,10/2/2020,MS,UNIVERSITY OF MISSISSIPPI MED CENTER,JACKSON,Short Term,558.0,,,371.0,,,,,,446.0,112.0,,90.4,,,,,,,3906.0,,,2597.0,,,,,,3122.0,784.0,,633.0,,,
241,9/25/2020,MS,ALLIANCE HEALTH CENTER,MERIDIAN,Short Term,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
242,9/25/2020,MS,YALOBUSHA GENERAL HOSPITAL,WATER VALLEY,Short Term,26.0,26.0,,8.4,8.4,,,,,26.0,0.0,,0.0,,,,,,,182.0,182.0,,59.0,59.0,,,,,182.0,0.0,,0.0,,,
248,9/18/2020,MS,UNIVERSITY OF MISSISSIPPI MED CENTER,JACKSON,Short Term,558.0,,,361.9,,,,,,446.0,112.0,,88.4,,,,,,,3906.0,,,2533.0,,,,,,3122.0,784.0,,619.0,,,
