,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2,9/24/2021,MT,PRAIRIE COMMUNITY HOSPITAL,TERRY,Critical Access Hospitals,26.0,26.0,25.0,17.0,17.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,175.0,119.0,119.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
280,9/4/2020,MT,THE HEALTHCENTER,KALISPELL,Short Term,28.0,28.0,,14.1,14.1,,,,,,,,0.0,,,,,,,196.0,196.0,,99.0,99.0,,,,,,,,0.0,,,
281,9/4/2020,MT,FRANCES MAHON DEACONESS HOSPITAL,GLASGOW,Critical Access Hospitals,19.0,,,,,0.0,,,,19.0,0.0,-999999.0,,,,,,,,19.0,,,,,0.0,,,,19.0,0.0,-999999.0,,,,
302,8/28/2020,MT,DEER LODGE MEDICAL CENTER,DEER LODGE,Critical Access Hospitals,16.0,,,4.1,,,,,,16.0,0.0,,0.0,,,,,,,112.0,,,29.0,,,,,,112.0,0.0,,0.0,,,
303,8/28/2020,MT,FRANCES MAHON DEACONESS HOSPITAL,GLASGOW,Critical Access Hospitals,19.0,,,0.0,,,,,,19.0,,-999999.0,,,,,,,,19.0,,,0.0,,,,,,19.0,,-999999.0,,,,
333,8/21/2020,MT,MOUNTAINVIEW MEDICAL CENTER,WHITE SULPHUR SPRING,Critical Access Hospitals,25.0,,,13.2,,,,,,,4.0,4.0,0.0,,,,,,,125.0,,,66.0,,,,,,,20.0,20.0,0.0,,,
380,8/7/2020,MT,STILLWATER BILLINGS CLINIC,COLUMBUS,Critical Access Hospitals,10.0,10.0,,5.2,5.2,,,,,10.0,,,,,,,,,,50.0,50.0,,26.0,26.0,,,,,50.0,,,,,,
454,10/1/2021,MT,GLENDIVE MEDICAL CENTER,GLENDIVE,Critical Access Hospitals,32.0,32.0,25.0,13.0,13.0,-999999.0,-999999.0,0.0,0.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,175.0,91.0,91.0,22.0,22.0,0.0,0.0,175.0,21.0,21.0,0.0,0.0,0.0,0.0
638,9/24/2021,MT,CLARK FORK VALLEY HOSPITAL,PLAINS,Critical Access Hospitals,20.0,20.0,6.0,11.0,10.0,6.6,6.6,0.0,0.0,16.0,-999999.0,-999999.0,0.0,0.0,-999999.0,-999999.0,0.0,0.0,0.0,140.0,140.0,42.0,77.0,70.0,46.0,46.0,0.0,0.0,112.0,14.0,14.0,0.0,0.0,4.0,4.0
660,9/24/2021,MT,ST PATRICK HOSPITAL,MISSOULA,Short Term,209.0,203.0,203.0,158.3,154.6,35.3,34.7,-999999.0,-999999.0,203.0,23.0,23.0,19.0,19.0,8.3,8.3,0.0,0.0,0.0,1463.0,1421.0,1421.0,1108.0,1082.0,247.0,243.0,-999999.0,-999999.0,1421.0,161.0,161.0,133.0,133.0,58.0,58.0
806,9/17/2021,MT,BENEFIS TETON MEDICAL CENTER,CHOTEAU,Critical Access Hospitals,25.0,5.0,5.0,4.1,4.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,35.0,35.0,29.0,29.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
876,9/17/2021,MT,PHILLIPS COUNTY MEDICAL CENTER,MALTA,Critical Access Hospitals,6.0,6.0,6.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
935,9/17/2021,MT,COMMUNITY HOSPITAL OF ANACONDA,ANACONDA,Critical Access Hospitals,36.0,36.0,36.0,14.4,13.7,-999999.0,-999999.0,0.0,0.0,36.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,252.0,252.0,252.0,101.0,96.0,12.0,12.0,0.0,0.0,252.0,21.0,21.0,-999999.0,-999999.0,-999999.0,-999999.0
963,10/1/2021,MT,BEARTOOTH BILLINGS CLINIC,RED LODGE,Critical Access Hospitals,10.0,10.0,10.0,8.4,8.4,-999999.0,-999999.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,59.0,59.0,23.0,23.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
986,10/1/2021,MT,ST PETERS HOSPITAL,HELENA,Short Term,123.0,88.0,88.0,96.0,88.0,27.6,27.6,0.0,0.0,123.0,8.0,8.0,6.7,6.7,5.0,5.0,0.0,0.0,0.0,861.0,616.0,616.0,672.0,616.0,193.0,193.0,0.0,0.0,861.0,56.0,56.0,47.0,47.0,35.0,35.0
