,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
169,12/18/2020,NC,HIGHLANDS CASHIERS HOSPITAL,HIGHLANDS,Critical Access Hospitals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,12/4/2020,NC,NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,Short Term,31.0,31.0,31.0,13.9,13.9,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,217.0,217.0,217.0,97.0,97.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
180,12/4/2020,NC,WILMINGTON TREATMENT CENTER,WILMINGTON,Short Term,44.0,44.0,44.0,29.1,29.1,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,308.0,308.0,204.0,204.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0
219,10/23/2020,NC,NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,Short Term,31.0,31.0,31.0,9.4,9.4,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,186.0,186.0,217.0,66.0,66.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0
243,9/25/2020,NC,NORTH CAROLINA SPECIALTY HOSPITAL,DURHAM,Short Term,31.0,,10.6,11.9,11.9,,,,,31.0,0.0,,0.0,,,,,,,217.0,,53.0,83.0,83.0,,,,,217.0,0.0,,0.0,,,
490,9/24/2021,NC,ANGEL MEDICAL CENTER,FRANKLIN,Critical Access Hospitals,45.0,45.0,30.0,24.3,24.3,9.6,8.3,0.0,0.0,30.0,9.0,9.0,4.0,4.0,5.6,4.9,0.0,0.0,0.0,315.0,315.0,210.0,170.0,170.0,67.0,58.0,0.0,0.0,210.0,63.0,63.0,28.0,28.0,39.0,34.0
563,9/24/2021,NC,DAVIE MEDICAL CENTER,MOCKSVILLE,Short Term,35.4,35.4,35.4,28.9,28.9,4.7,4.7,0.0,0.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999999.0,248.0,248.0,248.0,202.0,202.0,33.0,33.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0
627,10/1/2021,NC,CAPE FEAR VALLEY HOKE HOSPITAL,RAEFORD,Short Term,49.0,49.0,49.0,15.7,15.7,-999999.0,-999999.0,0.0,0.0,49.0,4.0,4.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,343.0,343.0,343.0,110.0,110.0,21.0,21.0,0.0,0.0,343.0,28.0,28.0,14.0,14.0,4.0,4.0
816,9/24/2021,NC,FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,Short Term,421.0,390.0,390.0,322.0,323.7,63.7,73.0,-999999.0,-999999.0,400.0,46.0,46.0,29.0,32.9,15.9,15.9,0.0,0.0,0.0,2947.0,2730.0,2730.0,2254.0,2266.0,446.0,511.0,-999999.0,-999999.0,2800.0,322.0,322.0,203.0,230.0,111.0,111.0
819,10/1/2021,NC,JOHNSTON HEALTH,SMITHFIELD,Short Term,199.7,176.0,176.0,134.0,134.0,30.0,29.4,0.0,0.0,176.0,59.0,59.0,48.6,48.6,9.6,9.1,0.0,0.0,0.0,1398.0,1232.0,1232.0,938.0,938.0,210.0,206.0,0.0,0.0,1232.0,413.0,413.0,340.0,340.0,67.0,64.0
