,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
65,6/11/2021,NM,ROOSEVELT GENERAL HOSPITAL,PORTALES,Short Term,22.0,22.0,17.7,-999999.0,-999999.0,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,,,,154.0,154.0,124.0,24.0,24.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
75,5/28/2021,NM,UNION COUNTY GENERAL HOSPITAL,CLAYTON,Critical Access Hospitals,29.0,29.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,175.0,18.0,18.0,0.0,0.0,0.0,0.0,175.0,6.0,6.0,0.0,0.0,0.0,0.0
140,2/12/2021,NM,THREE CROSSES REGIONAL HOSPITAL LLC,LAS CRUCES,Short Term,46.0,46.0,10.9,-999999.0,-999999.0,0.0,0.0,0.0,0.0,46.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,322.0,76.0,8.0,8.0,0.0,0.0,0.0,0.0,322.0,14.0,14.0,0.0,0.0,0.0,0.0
211,10/30/2020,NM,MIMBRES MEMORIAL HOSPITAL,DEMING,Critical Access Hospitals,34.0,26.0,8.9,11.6,11.6,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999999.0,238.0,182.0,62.0,81.0,81.0,4.0,4.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
628,9/24/2021,NM,PRESBYTERIAN HOSPITAL,ALBUQUERQUE,Short Term,755.0,665.0,520.0,626.9,504.9,79.6,78.3,-999999.0,-999999.0,704.0,145.0,64.0,112.4,56.6,16.1,16.0,,,,5285.0,4655.0,3640.0,4388.0,3534.0,557.0,548.0,9.0,4.0,4928.0,1015.0,448.0,787.0,396.0,113.0,112.0
647,10/1/2021,NM,CIBOLA GENERAL HOSPITAL,GRANTS,Critical Access Hospitals,17.4,17.4,11.0,7.7,7.7,-999999.0,-999999.0,0.0,0.0,11.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,122.0,122.0,77.0,54.0,54.0,16.0,16.0,0.0,0.0,77.0,14.0,14.0,14.0,14.0,14.0,14.0
912,9/24/2021,NM,COVENANT HEALTH HOBBS HOSPITAL,HOBBS,Short Term,42.3,42.3,24.0,23.3,23.3,9.6,8.7,0.0,0.0,24.0,6.0,6.0,5.7,5.7,-999999.0,-999999.0,,,,296.0,296.0,168.0,163.0,163.0,67.0,61.0,0.0,0.0,168.0,42.0,42.0,40.0,40.0,27.0,26.0
915,10/1/2021,NM,PRESBYTERIAN ESPANOLA HOSPITAL,ESPANOLA,Short Term,32.0,32.0,30.0,21.9,20.6,-999999.0,-999999.0,0.0,0.0,30.0,6.0,6.0,4.4,4.4,-999999.0,-999999.0,,,,224.0,224.0,210.0,153.0,144.0,24.0,24.0,0.0,0.0,210.0,42.0,42.0,31.0,31.0,15.0,15.0
916,9/24/2021,NM,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,LAS CRUCES,Short Term,174.0,142.0,142.0,111.9,100.9,11.1,11.1,-999999.0,0.0,174.0,20.7,20.7,20.7,20.7,5.9,5.9,,,,1218.0,994.0,994.0,783.0,706.0,78.0,78.0,11.0,0.0,1218.0,145.0,145.0,145.0,145.0,41.0,41.0
1005,9/24/2021,NM,UNION COUNTY GENERAL HOSPITAL,CLAYTON,Critical Access Hospitals,29.0,29.0,25.0,4.3,4.3,-999999.0,-999999.0,0.0,0.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,,,,203.0,203.0,175.0,30.0,30.0,8.0,8.0,0.0,0.0,175.0,14.0,14.0,0.0,0.0,0.0,0.0
