,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
13,9/3/2021,NV,NATHAN ADELSON HOSPICE,LAS VEGAS,Short Term,38.0,38.0,38.0,24.0,24.0,-999999.0,-999999.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,266.0,168.0,168.0,19.0,19.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0
22,8/13/2021,NV,HORIZON SPECIALTY HOSPITAL,LAS VEGAS,Long Term,79.0,79.0,79.0,55.0,55.0,-999999.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,553.0,553.0,385.0,385.0,-999999.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8/6/2021,NV,HORIZON SPECIALTY HOSPITAL,LAS VEGAS,Long Term,79.0,79.0,79.0,51.7,51.7,-999999.0,-999999.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,553.0,553.0,362.0,362.0,-999999.0,-999999.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
57,6/18/2021,NV,NATHAN ADELSON HOSPICE,LAS VEGAS,Short Term,38.0,38.0,38.0,20.9,20.9,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,266.0,146.0,146.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0
85,5/14/2021,NV,HORIZON SPECIALTY HOSPITAL,LAS VEGAS,Long Term,79.0,79.0,79.0,55.1,55.1,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,553.0,553.0,386.0,386.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
101,4/16/2021,NV,HORIZON SPECIALTY HOSPITAL,LAS VEGAS,Long Term,79.0,79.0,79.0,62.7,62.7,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,553.0,553.0,439.0,439.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2/26/2021,NV,NATHAN ADELSON HOSPICE,LAS VEGAS,Short Term,38.0,38.0,38.0,18.1,18.1,-999999.0,-999999.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,266.0,127.0,127.0,9.0,9.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2/26/2021,NV,HORIZON SPECIALTY HOSPITAL,LAS VEGAS,Long Term,79.0,79.0,79.0,67.6,67.6,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,553.0,553.0,473.0,473.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,0.0,0.0,0.0
203,11/6/2020,NV,SOUTH LYON MEDICAL CENTER,YERINGTON,Critical Access Hospitals,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
572,10/1/2021,NV,DESERT SPRINGS HOSPITAL,LAS VEGAS,Short Term,315.0,315.0,315.0,175.0,175.0,45.7,41.2,0.0,0.0,315.0,34.0,34.0,28.8,28.8,10.7,10.7,0.0,0.0,0.0,1890.0,1890.0,1890.0,1050.0,1050.0,274.0,247.0,0.0,0.0,1890.0,204.0,204.0,173.0,173.0,64.0,64.0
