,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
40,7/16/2021,NY,MONROE COMMUNITY HOSPITAL,ROCHESTER,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,7/9/2021,NY,N Y EYE AND EAR INFIRMARY,NEW YORK,Short Term,20.0,20.0,4.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,28.0,24.0,24.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
58,6/18/2021,NY,MONROE COMMUNITY HOSPITAL,ROCHESTER,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6/11/2021,NY,O'CONNOR HOSPITAL,DELHI,Critical Access Hospitals,20.0,20.0,20.0,6.3,6.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,140.0,44.0,44.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
76,5/28/2021,NY,HELEN HAYES HOSPITAL,WEST HAVERSTRAW,Short Term,113.0,113.0,113.0,75.1,75.1,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0,791.0,791.0,526.0,526.0,0.0,0.0,0.0,0.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0
168,12/18/2020,NY,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,KINGSTON,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,12/4/2020,NY,CALVARY HOSPITAL INC,BRONX,Long Term,225.0,225.0,225.0,168.6,168.6,28.7,28.7,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1575.0,1575.0,1575.0,1180.0,1180.0,201.0,201.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0
187,11/27/2020,NY,CALVARY HOSPITAL INC,BRONX,Long Term,225.0,225.0,225.0,161.1,161.1,28.9,28.9,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1575.0,1575.0,1575.0,1128.0,1128.0,202.0,202.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0
191,11/20/2020,NY,CALVARY HOSPITAL INC,BRONX,Long Term,225.0,225.0,225.0,170.7,170.7,24.9,24.9,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1575.0,1575.0,1575.0,1195.0,1195.0,174.0,174.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0
204,11/6/2020,NY,CALVARY HOSPITAL INC,BRONX,Long Term,225.0,225.0,225.0,167.1,167.1,18.4,18.4,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1575.0,1575.0,1575.0,1170.0,1170.0,129.0,129.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,0.0,0.0
