,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
23,8/13/2021,OK,J D MCCARTY CENTER FOR CHILDREN,NORMAN,Childrens Hospitals,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
128,3/5/2021,OK,MEMORIAL HOSPITAL,STILWELL,Short Term,49.0,49.0,49.0,12.9,12.9,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,343.0,343.0,90.0,90.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0
267,9/11/2020,OK,O U HEALTH UNIVERSITY OF OKLAHOMA MEDICAL CENTER,OKLAHOMA CITY,Short Term,,,,,,26.5,24.5,4.7,-999999.0,,,,,,7.0,7.0,,,,,,,,,159.0,147.0,28.0,21.0,,,,,,42.0,42.0
358,8/14/2020,OK,MEMORIAL HOSPITAL,STILWELL,Short Term,53.0,,,,,-999999.0,-999999.0,,,,0.0,,0.0,,,,,,,212.0,,,,,9.0,9.0,,,,0.0,,0.0,,,
384,8/7/2020,OK,MCCURTAIN MEMORIAL HOSPITAL,IDABEL,Critical Access Hospitals,35.0,,,,,-999999.0,-999999.0,,,,,,,,,,,,,210.0,,,,,14.0,14.0,,,,,,,,,
385,8/7/2020,OK,FAIRFAX COMMUNITY HOSPITAL,FAIRFAX,Critical Access Hospitals,-999999.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,-999999.0,,,,,0.0,0.0,,,,0.0,0.0,0.0,,,
412,7/31/2020,OK,MCCURTAIN MEMORIAL HOSPITAL,IDABEL,Critical Access Hospitals,34.8,,,,,5.8,5.8,,,,,,0.0,,,,,,,174.0,,,,,29.0,29.0,,,,,,0.0,,,
413,7/31/2020,OK,"SOUTHWESTERN REGIONAL MEDICAL CENTER, LLC",TULSA,Short Term,39.0,,,,,0.0,0.0,0.0,0.0,,4.0,,-999999.0,,0.0,0.0,,,,78.0,,,,,0.0,0.0,0.0,0.0,,8.0,,7.0,,0.0,0.0
442,9/24/2021,OK,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OKLAHOMA CITY,Short Term,439.4,419.4,316.7,280.0,270.7,59.1,55.6,14.4,14.4,336.7,54.6,48.6,47.0,43.6,15.7,15.7,0.0,0.0,0.0,3076.0,2936.0,2217.0,1960.0,1895.0,414.0,389.0,101.0,101.0,2357.0,382.0,340.0,329.0,305.0,110.0,110.0
631,9/24/2021,OK,"MERCY HOSPITAL LOGAN COUNTY, INC",GUTHRIE,Critical Access Hospitals,25.0,25.0,25.0,12.0,12.0,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,84.0,84.0,22.0,20.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
652,10/1/2021,OK,"SAINT FRANCIS HOSPITAL VINITA, INC",VINITA,Short Term,15.0,15.0,15.0,5.9,5.9,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,41.0,41.0,4.0,4.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
669,9/24/2021,OK,STILLWATER MEDICAL-BLACKWELL,BLACKWELL,Short Term,11.0,11.0,6.0,5.1,5.1,-999999.0,-999999.0,-999999.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,42.0,36.0,36.0,5.0,5.0,9.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
763,9/24/2021,OK,"MERCY HOSPITAL HEALDTON, INC.",HEALDTON,Critical Access Hospitals,20.4,20.4,20.4,7.4,7.4,-999999.0,-999999.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,-999999.0,0.0,0.0,143.0,143.0,143.0,52.0,52.0,19.0,16.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
766,10/1/2021,OK,"BAILEY MEDICAL CENTER, LLC",OWASSO,Short Term,40.0,40.0,17.9,12.1,11.0,-999999.0,-999999.0,0.0,0.0,17.9,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,280.0,280.0,125.0,85.0,77.0,6.0,6.0,0.0,0.0,125.0,21.0,21.0,7.0,7.0,6.0,6.0
843,10/1/2021,OK,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OKLAHOMA CITY,Short Term,426.1,406.1,310.7,266.4,260.4,52.6,46.6,14.1,14.1,330.7,57.0,51.0,44.3,41.6,15.7,15.6,0.0,0.0,0.0,2983.0,2843.0,2175.0,1865.0,1823.0,368.0,326.0,99.0,99.0,2315.0,399.0,357.0,310.0,291.0,110.0,109.0
1013,10/1/2021,OK,MCALESTER REGIONAL HEALTH CENTER,MCALESTER,Short Term,92.0,92.0,92.0,58.9,58.9,8.7,8.6,0.0,0.0,92.0,9.7,9.7,9.7,9.7,5.1,5.1,0.0,0.0,0.0,644.0,644.0,644.0,412.0,412.0,61.0,60.0,0.0,0.0,644.0,68.0,68.0,68.0,68.0,36.0,36.0
1029,10/1/2021,OK,FAIRVIEW REGIONAL MEDICAL CENTER AUTHORITY,FAIRVIEW,Critical Access Hospitals,8.0,8.0,7.4,6.6,6.6,-999999.0,-999999.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,52.0,46.0,46.0,22.0,19.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,10/1/2021,OK,OKEENE MUNICIPAL HOSPITAL,OKEENE,Critical Access Hospitals,9.6,9.6,9.6,-999999.0,-999999.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,67.0,16.0,16.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
1173,10/1/2021,OK,STILLWATER MEDICAL-BLACKWELL,BLACKWELL,Short Term,11.0,11.0,6.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,42.0,28.0,28.0,11.0,11.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
1193,9/24/2021,OK,PUSHMATAHA COUNTY TOWN OF ANTLERS HOSPITAL,ANTLERS,Short Term,15.4,15.4,15.4,12.7,12.7,-999999.0,-999999.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0,108.0,89.0,89.0,7.0,7.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
1276,10/1/2021,OK,INTEGRIS HEALTH EDMOND,EDMOND,Short Term,95.0,90.0,73.0,56.9,52.0,11.4,11.4,0.0,0.0,78.0,10.0,10.0,9.4,9.4,-999999.0,-999999.0,0.0,0.0,0.0,665.0,630.0,511.0,398.0,364.0,80.0,80.0,0.0,0.0,546.0,70.0,70.0,66.0,66.0,20.0,20.0
1322,9/24/2021,OK,FAIRFAX COMMUNITY HOSPITAL,FAIRFAX,Critical Access Hospitals,15.0,15.0,15.0,11.3,11.3,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,68.0,68.0,11.0,11.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
1378,9/24/2021,OK,"DUNCAN REGIONAL HOSPITAL, INC",DUNCAN,Short Term,74.9,74.9,56.6,56.1,55.6,20.9,19.7,-999999.0,-999999.0,56.6,10.1,10.1,10.1,9.9,8.3,8.3,0.0,0.0,0.0,524.0,524.0,396.0,393.0,389.0,146.0,138.0,4.0,4.0,396.0,71.0,71.0,71.0,69.0,58.0,58.0
1440,9/24/2021,OK,"WEATHERFORD REGIONAL HOSPITAL, INC OF WEATHERFORD",WEATHERFORD,Critical Access Hospitals,17.9,17.9,17.9,5.0,5.0,-999999.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,35.0,35.0,6.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
1441,9/24/2021,OK,ALLIANCEHEALTH MADILL,MADILL,Critical Access Hospitals,22.0,22.0,22.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,154.0,27.0,27.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
1546,10/1/2021,OK,ALLIANCEHEALTH CLINTON,CLINTON,Short Term,28.0,28.0,12.0,7.7,7.7,-999999.0,-999999.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,84.0,54.0,54.0,11.0,9.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
1552,10/1/2021,OK,"SAINT FRANCIS HOSPITAL, INC",TULSA,Short Term,891.0,729.0,617.0,584.0,518.9,110.9,109.3,7.0,6.7,701.0,190.0,112.0,147.4,100.0,42.3,42.3,0.0,0.0,0.0,6237.0,5103.0,4319.0,4088.0,3632.0,776.0,765.0,49.0,47.0,4907.0,1330.0,784.0,1032.0,700.0,296.0,296.0
1697,10/1/2021,OK,INTEGRIS MIAMI HOSPITAL,MIAMI,Short Term,45.6,35.6,35.6,19.4,17.6,-999999.0,-999999.0,0.0,0.0,45.6,5.0,5.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,319.0,249.0,249.0,136.0,123.0,18.0,18.0,0.0,0.0,319.0,35.0,35.0,20.0,20.0,9.0,9.0
1739,10/1/2021,OK,EASTERN OKLAHOMA MEDICAL CENTER,POTEAU,Critical Access Hospitals,24.0,24.0,14.0,8.9,8.9,-999999.0,-999999.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,98.0,62.0,62.0,11.0,11.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
1758,9/24/2021,OK,SURGICAL HOSPITAL OF OKLAHOMA,OKLAHOMA CITY,Short Term,12.0,12.0,12.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,19.0,19.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
1778,9/24/2021,OK,ASCENSION ST JOHN MEDICAL CENTER,TULSA,Short Term,660.0,660.0,660.0,499.9,446.0,43.7,43.7,-999999.0,-999999.0,660.0,60.0,60.0,60.0,60.0,6.9,6.9,,,,4620.0,4620.0,4620.0,3499.0,3122.0,306.0,306.0,-999999.0,-999999.0,4620.0,420.0,420.0,420.0,420.0,48.0,48.0
1784,10/1/2021,OK,SAINT FRANCIS HOSPITAL MUSKOGEE,MUSKOGEE,Short Term,165.0,165.0,121.0,78.4,78.4,34.6,34.6,0.0,0.0,121.0,44.0,44.0,38.7,38.7,14.0,14.0,-999999.0,-999999.0,0.0,1155.0,1155.0,847.0,549.0,549.0,242.0,242.0,0.0,0.0,847.0,308.0,308.0,271.0,271.0,98.0,98.0
1840,9/24/2021,OK,THE PHYSICIANS' HOSPITAL IN ANADARKO,ANADARKO,Critical Access Hospitals,18.7,18.7,18.7,18.4,18.4,-999999.0,-999999.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,131.0,131.0,129.0,129.0,-999999.0,-999999.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,10/1/2021,OK,"MERCY HOSPITAL HEALDTON, INC.",HEALDTON,Critical Access Hospitals,18.9,18.9,18.9,10.4,10.4,4.9,4.6,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,132.0,73.0,73.0,34.0,32.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,9/24/2021,OK,ASCENSION ST JOHN SAPULPA,SAPULPA,Critical Access Hospitals,35.0,35.0,25.0,17.0,17.0,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,245.0,245.0,175.0,119.0,119.0,15.0,11.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,9/24/2021,OK,INSPIRE SPECIALTY HOSPITAL,MIDWEST CITY,Long Term,31.0,31.0,31.0,19.9,19.9,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,217.0,139.0,139.0,0.0,0.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,9/24/2021,OK,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,ALTUS,Short Term,33.9,33.9,33.9,31.3,31.1,8.4,8.4,0.0,0.0,33.9,4.6,4.6,4.6,4.6,-999999.0,-999999.0,0.0,0.0,0.0,237.0,237.0,237.0,219.0,218.0,59.0,59.0,0.0,0.0,237.0,32.0,32.0,32.0,32.0,12.0,12.0
1993,9/24/2021,OK,ASCENSION ST JOHN JANE PHILLIPS,BARTLESVILLE,Short Term,120.0,120.0,97.0,76.6,73.6,19.1,18.7,0.0,0.0,97.0,8.0,8.0,8.4,7.9,-999999.0,-999999.0,,,,840.0,840.0,679.0,536.0,515.0,134.0,131.0,0.0,0.0,679.0,56.0,56.0,59.0,55.0,26.0,26.0
2066,9/24/2021,OK,HARMON MEMORIAL HOSPITAL,HOLLIS,Critical Access Hospitals,14.0,14.0,14.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,98.0,22.0,22.0,-999999.0,-999999.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2101,9/24/2021,OK,INTEGRIS BASS BAPTIST HEALTH CENTER,ENID,Short Term,83.6,61.6,60.1,35.9,32.3,9.9,9.9,0.0,0.0,82.1,13.7,13.6,7.6,6.4,-999999.0,-999999.0,0.0,0.0,0.0,585.0,431.0,421.0,251.0,226.0,69.0,69.0,0.0,0.0,575.0,96.0,95.0,53.0,45.0,24.0,24.0
2180,10/1/2021,OK,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,ALTUS,Short Term,30.6,30.6,30.6,30.6,30.4,9.6,9.6,0.0,0.0,30.6,5.9,5.9,5.9,5.9,-999999.0,-999999.0,0.0,0.0,0.0,214.0,214.0,214.0,214.0,213.0,67.0,67.0,0.0,0.0,214.0,41.0,41.0,41.0,41.0,21.0,21.0
2184,9/24/2021,OK,MERCY HEALTH LOVE COUNTY,MARIETTA,Critical Access Hospitals,25.0,25.0,25.0,6.9,6.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,48.0,48.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,10/1/2021,OK,SHARE MEDICAL CENTER,ALVA,Critical Access Hospitals,12.0,12.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,14.0,14.0,6.0,5.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2253,10/1/2021,OK,INTEGRIS BASS BAPTIST HEALTH CENTER,ENID,Short Term,69.6,53.6,53.6,33.3,29.6,7.7,7.7,0.0,0.0,69.6,13.1,13.1,5.6,5.6,-999999.0,-999999.0,0.0,0.0,0.0,487.0,375.0,375.0,233.0,207.0,54.0,54.0,0.0,0.0,487.0,92.0,92.0,39.0,39.0,11.0,11.0
2275,9/24/2021,OK,SAINT FRANCIS HOSPITAL MUSKOGEE,MUSKOGEE,Short Term,165.0,165.0,121.0,79.1,79.1,38.0,37.9,0.0,0.0,121.0,44.0,44.0,39.0,39.0,16.6,16.6,-999999.0,-999999.0,0.0,1155.0,1155.0,847.0,554.0,554.0,266.0,265.0,0.0,0.0,847.0,308.0,308.0,273.0,273.0,116.0,116.0
2282,10/1/2021,OK,FAIRFAX COMMUNITY HOSPITAL,FAIRFAX,Critical Access Hospitals,15.0,15.0,15.0,9.9,9.9,-999999.0,-999999.0,-999999.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,69.0,69.0,4.0,4.0,-999999.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2438,10/1/2021,OK,"OKLAHOMA HEART HOSPITAL SOUTH, LLC",OKLAHOMA CITY,Short Term,77.0,77.0,50.4,50.0,50.0,-999999.0,-999999.0,0.0,0.0,50.4,8.0,8.0,7.6,7.6,-999999.0,-999999.0,0.0,0.0,0.0,539.0,539.0,353.0,350.0,350.0,23.0,23.0,0.0,0.0,353.0,56.0,56.0,53.0,53.0,14.0,14.0
