,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
49,7/2/2021,PR,HIMA SAN PABLO HUMACAO,HUMACAO,Short Term,105.0,34.0,34.0,18.3,17.9,0.0,0.0,0.0,0.0,48.0,6.0,6.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0,735.0,238.0,238.0,128.0,125.0,0.0,0.0,0.0,0.0,336.0,42.0,42.0,33.0,33.0,0.0,0.0
56,6/25/2021,PR,HOSPITAL GENERAL DE CASTANER,CASTANER,Short Term,33.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
449,9/24/2021,PR,HOSPITAL GENERAL DE CASTANER,CASTANER,Short Term,33.0,11.7,11.7,-999999.0,-999999.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,82.0,82.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
452,9/24/2021,PR,SAN JUAN MUNICIPAL HOSPITAL,RIO PIEDRAS,Short Term,450.0,81.1,81.1,66.6,46.4,-999999.0,-999999.0,0.0,0.0,111.3,19.7,7.7,12.9,5.7,0.0,0.0,0.0,0.0,0.0,3150.0,568.0,568.0,466.0,325.0,13.0,11.0,0.0,0.0,779.0,138.0,54.0,90.0,40.0,0.0,0.0
761,9/24/2021,PR,HOSPITAL DR CAYETANO COLL Y TOSTE,ARECIBO,Short Term,230.0,112.4,112.4,107.9,79.6,-999999.0,-999999.0,-999999.0,-999999.0,178.0,23.7,8.0,13.3,6.9,-999999.0,0.0,4.0,0.0,0.0,1610.0,787.0,787.0,755.0,557.0,26.0,24.0,-999999.0,-999999.0,1246.0,166.0,56.0,93.0,48.0,-999999.0,0.0
800,10/1/2021,PR,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,CAROLINA,Short Term,109.0,83.6,83.6,97.4,82.7,-999999.0,-999999.0,0.0,0.0,109.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,763.0,585.0,585.0,682.0,579.0,12.0,12.0,0.0,0.0,763.0,42.0,42.0,42.0,42.0,0.0,0.0
1017,10/1/2021,PR,METROPOLITAN HOSPITAL,SAN JUAN,Short Term,180.0,99.7,99.7,42.3,39.3,-999999.0,-999999.0,0.0,0.0,124.1,5.0,5.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,1260.0,698.0,698.0,296.0,275.0,7.0,7.0,0.0,0.0,869.0,35.0,35.0,15.0,15.0,-999999.0,0.0
1097,9/24/2021,PR,AUXILIO MUTUO HOSPITAL,SAN JUAN,Short Term,669.0,379.6,379.6,289.6,258.3,14.4,12.4,0.0,0.0,451.7,69.9,41.0,35.0,31.4,7.3,6.9,0.0,0.0,0.0,4683.0,2657.0,2657.0,2027.0,1808.0,101.0,87.0,0.0,0.0,3162.0,489.0,287.0,245.0,220.0,51.0,48.0
1113,10/1/2021,PR,HOSPITAL MENONITA CAGUAS INC,CAGUAS,Short Term,373.0,186.1,186.1,181.1,165.4,5.0,-999999.0,0.0,0.0,201.9,19.1,11.4,12.7,9.4,-999999.0,-999999.0,-999999.0,0.0,0.0,2611.0,1303.0,1303.0,1268.0,1158.0,35.0,21.0,0.0,0.0,1413.0,134.0,80.0,89.0,66.0,-999999.0,-999999.0
1205,10/1/2021,PR,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,MAYAGUEZ,Short Term,391.0,181.3,181.3,161.7,155.4,-999999.0,-999999.0,0.0,0.0,200.7,41.3,33.3,26.3,21.3,-999999.0,-999999.0,0.0,0.0,0.0,2737.0,1269.0,1269.0,1132.0,1088.0,13.0,6.0,0.0,0.0,1405.0,289.0,233.0,184.0,149.0,4.0,-999999.0
