,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
61,6/18/2021,TN,THREE RIVERS HOSPITAL,WAVERLY,Critical Access Hospitals,31.0,26.0,20.0,5.9,5.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,217.0,182.0,140.0,41.0,41.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
95,4/30/2021,TN,COMPASS INTERVENTION CENTER,MEMPHIS,Short Term,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,4/2/2021,TN,BIG SOUTH FORK MEDICAL CENTER,ONEIDA,Short Term,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
124,3/12/2021,TN,"JELLICO REGIONAL HOSPITAL, LLC",JELLICO,Short Term,24.0,24.0,15.0,0.0,0.0,,,,,15.0,0.0,0.0,0.0,0.0,,,,,,120.0,120.0,75.0,0.0,0.0,,,,,75.0,0.0,0.0,0.0,0.0,,
159,1/1/2021,TN,BIG SOUTH FORK MEDICAL CENTER,ONEIDA,Short Term,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
196,11/13/2020,TN,TRUSTPOINT HOSPITAL,MURFREESBORO,Short Term,160.0,143.0,143.0,136.1,112.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,1001.0,1001.0,953.0,784.0,0.0,0.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0
313,8/28/2020,TN,COMPASS INTERVENTION CENTER,MEMPHIS,Short Term,108.0,,,78.3,,,,,,108.0,0.0,,0.0,,,,,,,324.0,,,235.0,,,,,,324.0,0.0,,0.0,,,
338,8/21/2020,TN,KINDRED HOSPITAL - CHATTANOOGA,CHATTANOOGA,Long Term,49.0,49.0,35.0,33.1,33.1,0.0,0.0,0.0,0.0,35.0,0.0,,0.0,,,,,,,343.0,343.0,245.0,232.0,232.0,0.0,0.0,0.0,0.0,245.0,0.0,,0.0,,,
419,7/31/2020,TN,KINDRED HOSPITAL - CHATTANOOGA,CHATTANOOGA,Long Term,49.0,49.0,35.0,32.0,32.0,0.0,0.0,0.0,0.0,35.0,0.0,,0.0,,,,,,,343.0,343.0,245.0,224.0,224.0,0.0,0.0,0.0,0.0,245.0,0.0,,0.0,,,
464,9/24/2021,TN,BLOUNT MEMORIAL HOSPITAL,MARYVILLE,Short Term,312.0,312.0,269.0,138.6,138.6,48.1,48.0,0.0,0.0,269.0,32.0,32.0,18.9,18.9,14.3,14.3,-999999.0,0.0,-999999.0,2184.0,2184.0,1883.0,970.0,970.0,337.0,336.0,0.0,0.0,1883.0,224.0,224.0,132.0,132.0,100.0,100.0
