,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
12,9/10/2021,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,9.0,9.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,63.0,63.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
15,9/3/2021,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,26.0,26.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4/16/2021,UT,OREM COMMUNITY HOSPITAL,OREM,Short Term,33.0,33.0,26.0,5.0,5.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,182.0,35.0,35.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
109,4/2/2021,UT,OREM COMMUNITY HOSPITAL,OREM,Short Term,33.0,33.0,26.0,4.6,4.6,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,182.0,32.0,32.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
215,10/30/2020,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,9.7,9.7,-999999.0,-999999.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,68.0,68.0,4.0,-999999.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
286,9/4/2020,UT,BLUE MOUNTAIN HOSPITAL,BLANDING,Critical Access Hospitals,11.0,,,4.7,,,,,,11.0,0.0,,0.0,,,,,,,33.0,,,14.0,,,,,,33.0,0.0,,0.0,,,
314,8/28/2020,UT,BLUE MOUNTAIN HOSPITAL,BLANDING,Critical Access Hospitals,11.0,,,-999999.0,,,,,,11.0,0.0,,0.0,,,,,,,55.0,,,15.0,,,,,,55.0,0.0,,0.0,,,
360,8/14/2020,UT,SALT LAKE REGIONAL MEDICAL CENTER,SALT LAKE CITY,Short Term,70.0,,,34.4,,,,,,50.7,20.0,,16.3,,-999999.0,-999999.0,,,,490.0,,,241.0,,,,,,355.0,140.0,,114.0,,13.0,13.0
389,8/7/2020,UT,SAN JUAN HOSPITAL,MONTICELLO,Critical Access Hospitals,25.0,,,-999999.0,,0.0,0.0,0.0,0.0,18.0,-999999.0,,0.0,,,,,,,175.0,,,19.0,,0.0,0.0,0.0,0.0,126.0,14.0,,0.0,,,
390,8/7/2020,UT,UTAH VALLEY SPECIALTY HOSPITAL,PROVO,Long Term,40.0,40.0,,29.9,29.9,-999999.0,-999999.0,0.0,0.0,29.9,0.0,,0.0,,,,,,,280.0,280.0,,209.0,209.0,7.0,7.0,0.0,0.0,209.0,0.0,,0.0,,,
423,7/31/2020,UT,MILFORD MEMORIAL HOSPITAL,MILFORD,Critical Access Hospitals,23.0,,,18.5,18.5,,,,,0.0,0.0,,0.0,,,,,,,46.0,,,37.0,37.0,,,,,0.0,0.0,,0.0,,,
614,9/24/2021,UT,BEAR RIVER VALLEY HOSPITAL,TREMONTON,Short Term,20.0,20.0,14.0,5.0,5.0,-999999.0,-999999.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,98.0,35.0,35.0,14.0,13.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
988,10/1/2021,UT,CEDAR CITY HOSPITAL,CEDAR CITY,Short Term,54.0,54.0,41.0,24.9,24.9,6.3,6.3,0.0,0.0,41.0,5.1,5.1,4.4,4.4,-999999.0,-999999.0,0.0,0.0,0.0,378.0,378.0,287.0,174.0,174.0,44.0,44.0,0.0,0.0,287.0,36.0,36.0,31.0,31.0,8.0,8.0
1250,10/1/2021,UT,SAN JUAN HOSPITAL,MONTICELLO,Critical Access Hospitals,25.0,25.0,25.0,6.0,5.7,-999999.0,-999999.0,0.0,0.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,175.0,175.0,175.0,42.0,40.0,17.0,17.0,0.0,0.0,175.0,14.0,14.0,-999999.0,-999999.0,-999999.0,-999999.0
1264,10/1/2021,UT,MOUNTAIN VIEW HOSPITAL,PAYSON,Short Term,136.0,127.0,112.0,42.7,40.3,8.3,8.3,0.0,0.0,121.0,15.0,12.0,10.3,8.3,4.9,4.9,-999999.0,0.0,-999999.0,952.0,889.0,784.0,299.0,282.0,58.0,58.0,0.0,0.0,847.0,105.0,84.0,72.0,58.0,34.0,34.0
1311,9/24/2021,UT,MOAB REGIONAL HOSPITAL,MOAB,Critical Access Hospitals,17.0,17.0,17.0,8.6,8.6,-999999.0,-999999.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,119.0,60.0,60.0,27.0,27.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0
1420,10/1/2021,UT,JORDAN VALLEY MEDICAL CENTER,WEST JORDAN,Short Term,331.0,304.0,238.0,126.6,125.3,27.3,26.9,0.0,0.0,265.0,36.0,36.0,24.0,22.7,13.0,13.0,0.0,0.0,0.0,2317.0,2128.0,1666.0,886.0,877.0,191.0,188.0,0.0,0.0,1855.0,252.0,252.0,168.0,159.0,91.0,91.0
1626,9/24/2021,UT,UNIVERSITY OF UTAH HOSPITALS AND CLINICS,SALT LAKE CITY,Short Term,731.0,731.0,731.0,542.4,542.4,77.7,75.4,-999999.0,0.0,731.0,176.0,176.0,92.7,92.7,25.7,25.6,0.0,0.0,0.0,5117.0,5117.0,5117.0,3797.0,3797.0,544.0,528.0,-999999.0,0.0,5117.0,1232.0,1232.0,649.0,649.0,180.0,179.0
1978,10/1/2021,UT,WESTERN PEAKS SPECIALTY HOSPITAL,BOUNTIFUL,Long Term,43.0,33.0,33.0,32.9,27.9,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,231.0,231.0,230.0,195.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,10/1/2021,UT,ASHLEY REGIONAL MEDICAL CENTER,VERNAL,Short Term,38.0,31.0,23.0,15.4,13.7,7.9,7.9,0.0,0.0,31.0,8.0,8.0,4.3,4.3,4.0,4.0,0.0,0.0,0.0,266.0,217.0,161.0,108.0,96.0,55.0,55.0,0.0,0.0,217.0,56.0,56.0,30.0,30.0,28.0,28.0
2041,10/1/2021,UT,SPANISH FORK HOSPITAL,SPANISH FORK,Short Term,28.0,28.0,28.0,12.9,12.9,-999999.0,-999999.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0,196.0,90.0,90.0,21.0,21.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,10/1/2021,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,7.3,7.3,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,51.0,51.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2156,9/24/2021,UT,MCKAY DEE HOSPITAL,OGDEN,Short Term,339.0,276.0,239.0,259.1,209.4,40.7,32.1,-999999.0,0.0,302.0,48.0,16.0,41.9,14.3,7.1,7.1,0.0,0.0,0.0,2373.0,1932.0,1673.0,1814.0,1466.0,285.0,225.0,14.0,0.0,2114.0,336.0,112.0,293.0,100.0,50.0,50.0
2265,9/24/2021,UT,UTAH VALLEY HOSPITAL,PROVO,Short Term,427.0,351.0,285.0,282.3,228.1,49.1,48.0,-999999.0,0.0,361.0,91.0,36.0,79.1,33.7,21.6,21.6,0.0,0.0,0.0,2989.0,2457.0,1995.0,1976.0,1597.0,344.0,336.0,8.0,0.0,2527.0,637.0,252.0,554.0,236.0,151.0,151.0
