,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
37,7/23/2021,VA,HIRAM W DAVIS MEDICAL CENTER,PETERSBURG,Short Term,4.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,13.0,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
55,6/25/2021,VA,HIRAM W DAVIS MEDICAL CENTER,PETERSBURG,Short Term,4.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
208,11/6/2020,VA,CUMBERLAND HOSPITAL LLC,NEW KENT,Childrens Hospitals,110.0,0.0,0.0,83.7,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,586.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
270,9/11/2020,VA,RUSSELL COUNTY HOSPITAL,LEBANON,Short Term,58.0,,7.7,,4.0,-999999.0,-999999.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,406.0,,54.0,,28.0,7.0,4.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
315,8/28/2020,VA,CHESAPEAKE GENERAL HOSPITAL,CHESAPEAKE,Short Term,310.0,,,251.5,,,,,,310.0,28.0,,24.5,,,,,,,1860.0,,,1509.0,,,,,,1860.0,168.0,,147.0,,,
424,7/31/2020,VA,"CENTRA  HEALTH, INC",LYNCHBURG,Short Term,,,,,,42.9,36.6,0.0,0.0,,,,,,16.0,14.4,,,,,,,,,300.0,256.0,0.0,0.0,,,,,,112.0,101.0
532,10/1/2021,VA,BEDFORD MEMORIAL HOSPITAL,BEDFORD,Short Term,58.9,58.9,28.9,21.0,21.0,0.0,0.0,0.0,0.0,28.9,6.0,6.0,5.1,5.1,0.0,0.0,0.0,0.0,0.0,412.0,412.0,202.0,147.0,147.0,0.0,0.0,0.0,0.0,202.0,42.0,42.0,36.0,36.0,0.0,0.0
539,9/24/2021,VA,HIRAM W DAVIS MEDICAL CENTER,PETERSBURG,Short Term,4.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,9.0,9.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
583,9/24/2021,VA,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,NORFOLK,Long Term,104.0,79.0,79.0,69.6,49.6,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,553.0,553.0,487.0,347.0,0.0,0.0,0.0,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0
882,9/24/2021,VA,SPOTSYLVANIA REGIONAL MEDICAL CENTER,FREDERICKSBURG,Short Term,161.0,157.0,137.0,106.4,94.7,15.6,11.4,0.0,0.0,141.0,20.1,12.0,19.9,8.6,4.6,4.6,0.0,0.0,0.0,1127.0,1099.0,959.0,745.0,663.0,109.0,80.0,0.0,0.0,987.0,141.0,84.0,139.0,60.0,32.0,32.0
