,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
361,8/14/2020,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0
391,8/7/2020,VT,COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,32.6,,,15.8,,,,,,25.0,0.0,,0.0,,,,,,,163.0,,,79.0,,,,,,125.0,0.0,,0.0,,,
469,10/1/2021,VT,CENTRAL VERMONT MEDICAL CENTER,BARRE,Short Term,119.0,119.0,89.0,62.6,62.6,4.6,4.6,0.0,0.0,89.0,14.0,14.0,8.7,8.7,-999999.0,-999999.0,0.0,0.0,0.0,833.0,833.0,623.0,438.0,438.0,32.0,32.0,0.0,0.0,623.0,98.0,98.0,61.0,61.0,16.0,16.0
902,9/24/2021,VT,BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,Short Term,54.0,44.0,31.0,20.4,20.4,-999999.0,-999999.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,308.0,217.0,143.0,143.0,10.0,10.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
1184,9/24/2021,VT,CENTRAL VERMONT MEDICAL CENTER,BARRE,Short Term,119.0,119.0,89.0,64.4,64.4,-999999.0,-999999.0,0.0,0.0,89.0,14.0,14.0,8.9,8.9,-999999.0,-999999.0,0.0,0.0,0.0,833.0,833.0,623.0,451.0,451.0,27.0,27.0,0.0,0.0,623.0,98.0,98.0,62.0,62.0,11.0,11.0
1444,9/24/2021,VT,NORTHEASTERN VERMONT REGIONAL HOSPITAL,SAINT JOHNSBURY,Critical Access Hospitals,25.0,25.0,25.0,22.9,22.0,-999999.0,-999999.0,0.0,-999999.0,25.0,4.0,4.0,-999999.0,4.0,-999999.0,-999999.0,0.0,0.0,0.0,175.0,175.0,175.0,160.0,154.0,6.0,5.0,0.0,-999999.0,175.0,28.0,28.0,26.0,28.0,-999999.0,-999999.0
1502,10/1/2021,VT,SPRINGFIELD HOSPITAL,SPRINGFIELD,Critical Access Hospitals,38.0,38.0,25.0,12.9,12.9,-999999.0,-999999.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,175.0,90.0,90.0,13.0,13.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,10/1/2021,VT,MT ASCUTNEY HOSPITAL,WINDSOR,Critical Access Hospitals,35.0,35.0,35.0,27.3,27.3,-999999.0,-999999.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,191.0,191.0,6.0,6.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2618,10/1/2021,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,50.0,50.0,40.0,18.0,18.0,-999999.0,-999999.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,126.0,126.0,-999999.0,-999999.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
3164,10/1/2021,VT,COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,32.0,32.0,32.0,21.1,21.1,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,148.0,148.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
3737,9/24/2021,VT,RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,Short Term,139.0,139.0,111.0,100.0,98.6,5.7,5.1,0.0,0.0,111.0,12.0,12.0,10.7,10.6,-999999.0,-999999.0,0.0,0.0,0.0,973.0,973.0,777.0,700.0,690.0,40.0,36.0,0.0,0.0,777.0,84.0,84.0,75.0,74.0,19.0,19.0
