,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
35,7/30/2021,WI,MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,FRANKLIN,Short Term,4.6,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
36,7/30/2021,WI,SPOONER HEALTH SYSTEM,SPOONER,Critical Access Hospitals,14.0,14.0,8.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,56.0,25.0,23.0,-999999.0,-999999.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
78,5/28/2021,WI,ST JOSEPHS HOSPITAL,CHIPPEWA FALLS,Short Term,26.0,26.0,26.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,182.0,22.0,22.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1/1/2021,WI,SPOONER HEALTH SYSTEM,SPOONER,Critical Access Hospitals,18.0,18.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,84.0,26.0,26.0,-999999.0,-999999.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
437,9/24/2021,WI,CHILDRENS HOSPITAL OF WISCONSIN FOX VALLEY,NEENAH,Childrens Hospitals,42.0,0.0,0.0,-999999.0,0.0,0.0,0.0,-999999.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,182.0,84.0,0.0,0.0,0.0,0.0,0.0
514,10/1/2021,WI,MILE BLUFF MEDICAL CENTER,MAUSTON,Short Term,26.0,26.0,26.0,13.1,13.1,-999999.0,-999999.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,182.0,92.0,92.0,12.0,11.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
544,9/24/2021,WI,ST CROIX REGIONAL MEDICAL CENTER,SAINT CROIX FALLS,Critical Access Hospitals,31.0,31.0,25.0,16.6,16.6,4.9,4.9,0.0,0.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,175.0,116.0,116.0,34.0,34.0,0.0,0.0,175.0,21.0,21.0,9.0,9.0,0.0,0.0
553,10/1/2021,WI,OAKLEAF SURGICAL HOSPITAL,ALTOONA,Short Term,30.0,30.0,30.0,13.0,13.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,91.0,91.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
560,10/1/2021,WI,FROEDTERT WEST BEND HOSPITAL,WEST BEND,Short Term,108.0,108.0,108.0,51.1,51.1,18.7,17.9,0.0,0.0,108.0,46.0,46.0,5.9,5.9,5.1,5.1,0.0,0.0,0.0,756.0,756.0,756.0,358.0,358.0,131.0,125.0,0.0,0.0,756.0,322.0,322.0,41.0,41.0,36.0,36.0
601,10/1/2021,WI,GUNDERSEN TRI-COUNTY HOSPITAL AND CLINICS,WHITEHALL,Critical Access Hospitals,15.0,15.0,12.0,8.7,8.7,-999999.0,-999999.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,84.0,61.0,61.0,11.0,11.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
