,collection_week,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
537,9/24/2021,WV,ACUITY SPECIALTY HOSPITAL OF MORGANTOWN,MORGANTOWN,Long Term,25.0,25.0,25.0,22.0,22.0,5.0,5.0,0.0,0.0,25.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,175.0,175.0,175.0,154.0,154.0,35.0,35.0,0.0,0.0,175.0,70.0,70.0,70.0,70.0,35.0,35.0
909,9/24/2021,WV,POCAHONTAS MEMORIAL HOSPITAL,BUCKEYE,Critical Access Hospitals,25.0,25.0,20.0,8.7,8.7,-999999.0,-999999.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,140.0,61.0,61.0,22.0,22.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
1053,9/24/2021,WV,ACUITY SPECIALTY HOSPITAL OHIO VALLEY,WEIRTON,Long Term,68.0,68.0,68.0,44.9,44.9,9.4,9.4,0.0,0.0,68.0,33.0,33.0,24.0,24.0,9.4,9.4,0.0,0.0,0.0,476.0,476.0,476.0,314.0,314.0,66.0,66.0,0.0,0.0,476.0,231.0,231.0,168.0,168.0,66.0,66.0
1222,9/24/2021,WV,CORNERSTONE SPECIALTY HOSPITALS HUNTINGTON,HUNTINGTON,Long Term,32.0,32.0,32.0,31.7,31.7,0.0,0.0,0.0,0.0,32.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,222.0,222.0,0.0,0.0,0.0,0.0,224.0,196.0,196.0,0.0,0.0,0.0,0.0
1231,10/1/2021,WV,CORNERSTONE SPECIALTY HOSPITALS HUNTINGTON,HUNTINGTON,Long Term,32.0,32.0,32.0,31.0,31.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,217.0,217.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
1568,9/24/2021,WV,WEBSTER COUNTY MEMORIAL HOSPITAL,WEBSTER SPRINGS,Critical Access Hospitals,20.0,20.0,15.0,4.3,4.3,-999999.0,-999999.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,105.0,30.0,30.0,5.0,5.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
1621,10/1/2021,WV,THOMAS MEMORIAL HOSPITAL,SOUTH CHARLESTON,Short Term,240.0,230.0,140.0,133.7,130.3,39.1,30.0,0.0,0.0,150.0,24.0,14.0,17.9,14.4,9.9,9.6,-999999.0,-999999.0,-999999.0,1680.0,1610.0,980.0,936.0,912.0,274.0,210.0,0.0,0.0,1050.0,168.0,98.0,125.0,101.0,69.0,67.0
1630,9/24/2021,WV,CHARLESTON AREA MEDICAL CENTER,CHARLESTON,Short Term,1055.0,980.0,724.0,560.1,512.3,110.4,109.3,-999999.0,-999999.0,789.0,157.0,118.0,122.9,93.3,35.3,35.1,0.0,0.0,0.0,7385.0,6860.0,5068.0,3921.0,3586.0,773.0,765.0,8.0,7.0,5523.0,1099.0,826.0,860.0,653.0,247.0,246.0
1907,10/1/2021,WV,JEFFERSON MEDICAL CENTER,RANSON,Critical Access Hospitals,25.0,25.0,25.0,20.6,19.4,9.0,9.0,0.0,0.0,25.0,5.0,5.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,175.0,175.0,175.0,144.0,136.0,63.0,63.0,0.0,0.0,175.0,35.0,35.0,27.0,27.0,16.0,16.0
1971,10/1/2021,WV,WEST VIRGINIA UNIVERSITY HOSPITALS,MORGANTOWN,Short Term,676.0,542.0,477.1,583.4,472.1,114.6,110.6,-999999.0,-999999.0,589.1,146.0,82.4,141.4,80.7,40.3,39.7,0.0,0.0,0.0,4732.0,3794.0,3340.0,4084.0,3305.0,802.0,774.0,15.0,15.0,4124.0,1022.0,577.0,990.0,565.0,282.0,278.0
