Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-08-27,AK,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,Critical Access Hospitals,6.0,5.9,4.7,-999999.0,-999999.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.0,33.0,20.0,19.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13,AK,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,Critical Access Hospitals,9.0,9.0,5.0,-999999.0,-999999.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,35.0,19.0,19.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,AK,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,Critical Access Hospitals,4.1,4.1,4.1,-999999.0,-999999.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,22.0,22.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-28,AK,Elmendorf,,Short Term,101.0,,,17.3,,0.0,0.0,83.0,18.0,,-999999.0,,0.0,0.0,707.0,,,121.0,,0.0,0.0,581.0,126.0,,6.0,,0.0,0.0
2020-08-28,AK,PETERSBURG MEDICAL CENTER,PETERSBURG,Critical Access Hospitals,12.0,,,-999999.0,,0.0,0.0,12.0,0.0,,0.0,,0.0,0.0,60.0,,,11.0,,0.0,0.0,60.0,0.0,,0.0,,0.0,0.0
2020-08-14,AK,BARTLETT REGIONAL HOSPITAL,JUNEAU,Short Term,133.0,,,30.0,,-999999.0,-999999.0,133.0,9.0,,5.1,,-999999.0,-999999.0,931.0,,,210.0,,8.0,7.0,931.0,63.0,,36.0,,8.0,7.0
2020-08-07,AK,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,Critical Access Hospitals,13.0,0.0,-999999.0,-999999.0,-999999.0,,,-999999.0,0.0,,0.0,,,,91.0,0.0,-999999.0,-999999.0,-999999.0,,,-999999.0,0.0,,0.0,,,
2021-09-24,AK,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,Critical Access Hospitals,25.1,25.1,25.1,11.7,11.0,-999999.0,-999999.0,25.1,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,176.0,176.0,176.0,82.0,77.0,7.0,7.0,176.0,14.0,14.0,6.0,6.0,0.0,0.0
2021-10-01,AK,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,Short Term,312.1,245.4,245.4,312.1,245.4,34.3,33.1,312.1,67.9,30.0,67.9,26.9,4.9,4.7,2185.0,1718.0,1718.0,2185.0,1718.0,240.0,232.0,2185.0,475.0,210.0,475.0,188.0,34.0,33.0
2021-09-17,AK,SOUTH PENINSULA HOSPITAL,HOMER,Critical Access Hospitals,31.0,31.0,22.0,11.4,11.4,4.0,-999999.0,22.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,217.0,217.0,154.0,80.0,80.0,28.0,26.0,154.0,14.0,14.0,-999999.0,-999999.0,-999999.0,-999999.0
2021-09-24,AK,PETERSBURG MEDICAL CENTER,PETERSBURG,Critical Access Hospitals,12.0,12.0,12.0,5.3,5.3,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,37.0,37.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,AK,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,Short Term,308.3,244.3,244.3,308.3,244.3,44.0,42.9,308.3,71.4,31.9,71.4,29.0,10.0,9.9,2158.0,1710.0,1710.0,2158.0,1710.0,308.0,300.0,2158.0,500.0,223.0,500.0,203.0,70.0,69.0
2021-10-01,AK,PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,Critical Access Hospitals,25.0,25.0,25.0,8.6,8.0,-999999.0,-999999.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,175.0,175.0,175.0,60.0,56.0,7.0,7.0,175.0,14.0,14.0,-999999.0,-999999.0,-999999.0,-999999.0
2021-09-24,AK,ALASKA REGIONAL HOSPITAL,ANCHORAGE,Short Term,209.0,195.0,175.0,142.4,140.9,33.0,33.0,189.0,30.1,20.1,20.7,20.1,8.9,8.9,1463.0,1365.0,1225.0,997.0,986.0,231.0,231.0,1323.0,211.0,141.0,145.0,141.0,62.0,62.0
2021-10-01,AK,BARTLETT REGIONAL HOSPITAL,JUNEAU,Short Term,161.0,161.0,133.0,39.3,36.1,4.4,4.4,133.0,9.0,9.0,4.3,4.1,-999999.0,-999999.0,1127.0,1127.0,931.0,275.0,253.0,31.0,31.0,931.0,63.0,63.0,30.0,29.0,-999999.0,-999999.0
2021-09-24,AK,MAT-SU REGIONAL MEDICAL CENTER,PALMER,Short Term,184.0,173.0,149.0,96.1,92.0,40.4,40.3,160.0,14.0,14.0,14.0,14.0,13.6,13.6,1288.0,1211.0,1043.0,673.0,644.0,283.0,282.0,1120.0,98.0,98.0,98.0,98.0,95.0,95.0
2021-10-01,AK,ST ELIAS SPECIALTY HOSPITAL,ANCHORAGE,Long Term,44.0,44.0,44.0,41.4,41.4,0.0,0.0,44.0,6.0,6.0,6.0,6.0,0.0,0.0,308.0,308.0,308.0,290.0,290.0,0.0,0.0,308.0,42.0,42.0,42.0,42.0,0.0,0.0
2021-09-24,AK,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,Short Term,93.0,93.0,49.7,53.4,53.4,21.3,20.6,49.7,9.0,9.0,8.9,8.9,5.6,5.6,651.0,651.0,348.0,374.0,374.0,149.0,144.0,348.0,63.0,63.0,62.0,62.0,39.0,39.0
2021-09-17,AK,PROVIDENCE VALDEZ MEDICAL CENTER,VALDEZ,Critical Access Hospitals,6.0,5.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,35.0,25.0,22.0,22.0,-999999.0,-999999.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,AK,CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,Short Term,93.0,93.0,51.1,55.1,55.1,21.4,20.1,51.1,9.0,9.0,8.6,8.6,6.1,6.1,651.0,651.0,358.0,386.0,386.0,150.0,141.0,358.0,63.0,63.0,60.0,60.0,43.0,43.0
2021-10-01,AK,KETCHIKAN MEDICAL CENTER,KETCHIKAN,Critical Access Hospitals,25.0,25.0,25.0,14.3,14.3,-999999.0,-999999.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,175.0,175.0,175.0,100.0,100.0,13.0,13.0,175.0,16.0,16.0,16.0,16.0,0.0,0.0
2021-09-17,AK,ALASKA REGIONAL HOSPITAL,ANCHORAGE,Short Term,209.0,195.0,175.0,136.0,134.6,37.0,36.3,189.0,27.1,17.1,18.3,17.1,9.6,9.6,1463.0,1365.0,1225.0,952.0,942.0,259.0,254.0,1323.0,190.0,120.0,128.0,120.0,67.0,67.0
2021-09-24,AK,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,Short Term,305.0,244.7,244.7,305.0,244.7,43.9,42.0,305.0,68.3,31.7,68.3,28.0,8.3,8.3,2135.0,1713.0,1713.0,2135.0,1713.0,307.0,294.0,2135.0,478.0,222.0,478.0,196.0,58.0,58.0
2021-09-17,AK,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA,Critical Access Hospitals,13.0,13.0,13.0,-999999.0,-999999.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,19.0,19.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,AK,BARTLETT REGIONAL HOSPITAL,JUNEAU,Short Term,161.0,161.0,133.0,50.9,45.4,7.1,7.1,133.0,9.0,9.0,6.4,6.3,-999999.0,-999999.0,1127.0,1127.0,931.0,356.0,318.0,50.0,50.0,931.0,63.0,63.0,45.0,44.0,16.0,16.0
2021-10-01,AK,FAIRBANKS MEMORIAL HOSPITAL,FAIRBANKS,Short Term,101.0,82.0,69.0,79.9,72.7,26.9,26.3,81.0,25.0,13.0,10.4,7.0,-999999.0,-999999.0,707.0,574.0,483.0,559.0,509.0,188.0,184.0,567.0,175.0,91.0,73.0,49.0,10.0,10.0
2021-09-17,AK,KETCHIKAN MEDICAL CENTER,KETCHIKAN,Critical Access Hospitals,25.0,25.0,25.0,16.4,16.4,-999999.0,-999999.0,25.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,175.0,175.0,175.0,115.0,115.0,20.0,20.0,175.0,23.0,23.0,23.0,23.0,6.0,6.0
2021-09-24,AK,PROVIDENCE SEWARD MEDICAL CENTER,SEWARD,Critical Access Hospitals,6.0,6.0,6.0,-999999.0,-999999.0,-999999.0,-999999.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,-999999.0,-999999.0,-999999.0,-999999.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
