Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-06-04,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,32.0,0.0,0.0,30.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,30.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,AR,BAPTIST HEALTH - VAN BUREN,VAN BUREN,Short Term,14.0,14.0,7.0,-999999.0,-999999.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,49.0,27.0,27.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,32.0,0.0,0.0,31.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,31.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,32.0,0.0,0.0,31.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,31.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,AR,WOODRIDGE OF THE OZARKS,SPRINGDALE,Short Term,31.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,AR,DELTA MEMORIAL HOSPITAL,DUMAS,Critical Access Hospitals,26.0,26.0,16.0,4.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,112.0,28.0,28.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,AR,LEVI HOSPITAL,HOT SPRINGS,Short Term,45.0,45.0,34.0,16.0,16.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,315.0,238.0,112.0,112.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-11,AR,OZARK HEALTH,CLINTON,Critical Access Hospitals,25.0,,,13.7,13.7,,,25.0,0.0,,0.0,,,,175.0,,,96.0,96.0,,,175.0,0.0,,0.0,,,
2020-08-28,AR,FULTON COUNTY HOSPITAL,SALEM,Critical Access Hospitals,25.0,,,12.0,,,,25.0,-999999.0,,-999999.0,,,,25.0,,,12.0,,,,25.0,-999999.0,,-999999.0,,,
2020-08-28,AR,DARDANELLE HOSPITAL,DARDANELLE,Critical Access Hospitals,14.0,14.0,,14.0,14.0,0.0,0.0,,,,,,,,56.0,56.0,,56.0,56.0,0.0,0.0,,,,,,,
2020-08-21,AR,OZARK HEALTH,CLINTON,Critical Access Hospitals,25.0,,,13.8,13.8,,,25.0,0.0,,0.0,,,,150.0,,,83.0,83.0,,,150.0,0.0,,0.0,,,
2020-08-21,AR,DARDANELLE HOSPITAL,DARDANELLE,Critical Access Hospitals,12.0,12.0,,12.0,12.0,0.0,0.0,,,,,,,,24.0,24.0,,24.0,24.0,0.0,0.0,,,,,,,
2020-08-14,AR,"IZARD COUNTY MEDICAL CENTER, LLC",CALICO ROCK,Critical Access Hospitals,25.0,,5.0,5.0,5.0,,,5.0,0.0,,0.0,,,,25.0,,5.0,5.0,5.0,,,5.0,0.0,,0.0,,,
2020-08-07,AR,LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,Critical Access Hospitals,25.0,,,9.7,9.7,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,,,68.0,68.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-31,AR,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,FAYETTEVILLE,Short Term,13.0,13.0,13.0,4.7,4.7,,,13.0,0.0,0.0,0.0,0.0,,,91.0,91.0,91.0,33.0,33.0,,,91.0,0.0,0.0,0.0,0.0,,
2021-09-17,AR,HELENA REGIONAL MEDICAL CENTER,HELENA,Short Term,24.0,18.0,18.0,-999999.0,-999999.0,-999999.0,-999999.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,126.0,126.0,14.0,13.0,-999999.0,-999999.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,AR,FIVE RIVERS MEDICAL CENTER,POCAHONTAS,Short Term,46.0,46.0,40.0,16.3,16.3,-999999.0,-999999.0,40.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,322.0,322.0,280.0,114.0,114.0,22.0,22.0,280.0,21.0,21.0,0.0,0.0,0.0,0.0
2021-09-17,AR,CORNERSTONE HOSPITAL LITTLE ROCK,LITTLE ROCK,Long Term,30.0,30.0,30.0,29.6,29.6,-999999.0,-999999.0,30.0,19.0,19.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,207.0,207.0,-999999.0,-999999.0,210.0,133.0,133.0,0.0,0.0,0.0,0.0
2021-09-17,AR,BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,Short Term,23.0,23.0,23.0,16.1,16.1,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,113.0,113.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,AR,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,Short Term,782.2,709.5,662.0,569.5,504.0,81.3,63.2,749.3,200.0,127.0,179.5,114.0,41.8,38.3,4693.0,4257.0,3972.0,3417.0,3024.0,488.0,379.0,4496.0,1200.0,762.0,1077.0,684.0,251.0,230.0
