Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2020-09-25,AZ,ARIZONA SPECIALTY HOSPITAL,CHANDLER,Short Term,39.0,,,7.2,,,,,,,0.0,,,,195.0,,,36.0,,,,,,,0.0,,,
2020-09-04,AZ,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Short Term,322.0,,,,,,12.7,,38.0,,34.3,,,,966.0,,,,,,38.0,,114.0,,103.0,,,
2020-08-28,AZ,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,PHOENIX,Short Term,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,
2020-08-21,AZ,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,PHOENIX,Short Term,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,
2020-08-21,AZ,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,Short Term,235.0,,,,,,6.0,,14.0,,13.0,,,,470.0,,,,,,12.0,,28.0,,26.0,,,
2020-08-21,AZ,TUCSON MEDICAL CENTER,TUCSON,Short Term,610.0,,,402.0,,21.7,17.4,,45.0,,26.3,,7.6,7.6,4270.0,,,2814.0,,152.0,122.0,,315.0,,184.0,,53.0,53.0
2020-08-14,AZ,KINGMAN REGIONAL MEDICAL CENTER,KINGMAN,Short Term,235.0,,,,,,8.7,,12.7,,6.6,,,,1410.0,,,,,,52.0,,76.0,,33.0,,,
2020-08-14,AZ,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Short Term,322.0,,,,,,16.8,,38.0,,34.0,,,,1932.0,,,,,,101.0,,228.0,,204.0,,,
2020-08-07,AZ,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,Short Term,22.0,22.0,,8.8,8.8,,,,,,0.0,0.0,,,110.0,110.0,,44.0,44.0,,,,,,0.0,0.0,,
2020-08-07,AZ,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,Short Term,322.0,,,,,,14.3,,38.0,,33.7,,,,1932.0,,,,,,86.0,,228.0,,202.0,,,
2021-09-17,AZ,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,Short Term,943.0,930.0,823.0,546.1,531.0,109.3,78.6,823.0,217.0,217.0,115.9,114.6,25.7,22.3,6601.0,6510.0,5761.0,3823.0,3717.0,765.0,550.0,5761.0,1519.0,1519.0,811.0,802.0,180.0,156.0
2021-10-01,AZ,ABRAZO WEST CAMPUS,GOODYEAR,Short Term,233.9,209.7,180.0,207.6,180.0,53.6,53.3,207.6,85.1,59.0,26.1,24.0,18.3,18.3,1637.0,1468.0,1260.0,1453.0,1260.0,375.0,373.0,1453.0,596.0,413.0,183.0,168.0,128.0,128.0
2021-09-24,AZ,CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,Short Term,519.4,503.0,475.3,478.4,464.0,69.9,69.3,491.7,80.6,70.1,74.4,65.6,18.6,18.3,3636.0,3521.0,3327.0,3349.0,3248.0,489.0,485.0,3442.0,564.0,491.0,521.0,459.0,130.0,128.0
2021-09-17,AZ,ST LUKE'S MEDICAL CENTER,PHOENIX,Short Term,94.0,94.0,74.0,35.7,35.7,10.0,10.0,74.0,10.0,10.0,9.1,9.1,4.9,4.9,658.0,658.0,518.0,250.0,250.0,70.0,70.0,518.0,70.0,70.0,64.0,64.0,34.0,34.0
2021-09-17,AZ,COPPER QUEEN COMMUNITY HOSPITAL,BISBEE,Critical Access Hospitals,43.0,43.0,21.0,10.7,10.7,-999999.0,-999999.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,301.0,147.0,75.0,75.0,23.0,20.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,AZ,LA PAZ REGIONAL HOSPITAL,PARKER,Critical Access Hospitals,35.0,35.0,35.0,10.9,10.9,4.4,4.4,35.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,245.0,245.0,245.0,76.0,76.0,31.0,31.0,245.0,21.0,20.0,16.0,16.0,7.0,7.0
2021-10-01,AZ,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,SHOW LOW,Short Term,142.0,133.4,106.0,79.9,77.3,21.9,21.3,106.0,17.0,17.0,16.9,16.9,12.4,12.4,994.0,934.0,742.0,559.0,541.0,153.0,149.0,742.0,119.0,119.0,118.0,118.0,87.0,87.0
2021-09-17,AZ,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,LAVEEN,Short Term,72.0,72.0,40.0,9.4,9.4,-999999.0,-999999.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,504.0,280.0,66.0,66.0,19.0,19.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,AZ,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,Short Term,942.9,929.9,822.9,557.9,546.6,102.6,81.4,822.9,216.9,216.9,108.6,108.1,24.3,21.9,6600.0,6509.0,5760.0,3905.0,3826.0,718.0,570.0,5760.0,1518.0,1518.0,760.0,757.0,170.0,153.0
2021-10-01,AZ,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,SPRINGERVILLE,Critical Access Hospitals,24.0,24.0,18.0,10.3,10.3,-999999.0,-999999.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,126.0,72.0,72.0,10.0,10.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,AZ,ORO VALLEY HOSPITAL,ORO VALLEY,Short Term,70.0,70.0,41.6,51.7,41.6,8.1,8.1,51.7,10.0,10.0,10.0,10.0,4.4,4.4,490.0,490.0,291.0,362.0,291.0,57.0,57.0,362.0,70.0,70.0,70.0,70.0,31.0,31.0
2021-09-24,AZ,WESTERN REGIONAL MEDICAL CENTER,GOODYEAR,Short Term,38.0,12.0,12.0,5.7,5.7,0.0,0.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,266.0,84.0,84.0,40.0,40.0,0.0,0.0,84.0,16.0,16.0,9.0,9.0,0.0,0.0
2021-09-24,AZ,VALLEY VIEW MEDICAL CENTER,FORT MOHAVE,Short Term,68.0,68.0,58.0,23.3,23.3,-999999.0,-999999.0,58.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,476.0,476.0,406.0,163.0,163.0,12.0,8.0,406.0,14.0,14.0,-999999.0,-999999.0,-999999.0,-999999.0
2021-10-01,AZ,PAGE HOSPITAL,PAGE,Critical Access Hospitals,27.0,27.0,20.0,-999999.0,-999999.0,-999999.0,-999999.0,20.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,189.0,189.0,140.0,18.0,16.0,-999999.0,-999999.0,140.0,21.0,21.0,0.0,0.0,0.0,0.0
2021-09-17,AZ,SELECT SPECIALTY HOSPITAL PHOENIX,PHOENIX,Long Term,48.0,48.0,48.0,44.3,44.3,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,336.0,336.0,310.0,310.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,AZ,BANNER OCOTILLO MEDICAL CENTER,CHANDLER,Short Term,96.0,96.0,96.0,65.7,62.4,16.4,10.7,96.0,12.0,12.0,5.7,5.7,-999999.0,-999999.0,672.0,672.0,672.0,460.0,437.0,115.0,75.0,672.0,84.0,84.0,40.0,40.0,16.0,15.0
2021-09-17,AZ,PAGE HOSPITAL,PAGE,Critical Access Hospitals,27.0,27.0,20.0,-999999.0,-999999.0,-999999.0,-999999.0,20.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,189.0,189.0,140.0,23.0,21.0,8.0,6.0,140.0,21.0,21.0,0.0,0.0,0.0,0.0
2021-09-24,AZ,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,MESA,Short Term,158.0,158.0,75.0,41.6,41.6,23.1,23.1,75.0,4.1,4.1,4.0,4.0,-999999.0,-999999.0,1106.0,1106.0,525.0,291.0,291.0,162.0,162.0,525.0,29.0,29.0,28.0,28.0,24.0,24.0
2021-09-24,AZ,MERCY GILBERT MEDICAL CENTER,GILBERT,Short Term,272.4,262.3,247.3,249.3,242.4,49.7,48.7,257.4,23.4,23.4,22.0,22.0,15.6,15.6,1907.0,1836.0,1731.0,1745.0,1697.0,348.0,341.0,1802.0,164.0,164.0,154.0,154.0,109.0,109.0
2021-09-24,AZ,HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,Short Term,320.0,320.0,242.0,209.0,209.0,42.1,42.0,242.0,40.0,40.0,28.0,28.0,5.6,5.6,2240.0,2240.0,1694.0,1463.0,1463.0,295.0,294.0,1694.0,280.0,280.0,196.0,196.0,39.0,39.0
2021-09-17,AZ,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,Short Term,45.0,45.0,28.0,7.0,-999999.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,315.0,196.0,49.0,26.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,AZ,CORNERSTONE SPECIALTY HOSPITALS TUCSON,TUCSON,Long Term,34.0,34.0,34.0,31.4,31.4,-999999.0,-999999.0,34.0,10.0,10.0,0.0,0.0,0.0,0.0,238.0,238.0,238.0,220.0,220.0,27.0,27.0,238.0,70.0,70.0,0.0,0.0,0.0,0.0
