Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-17,CO,KINDRED HOSPITAL-DENVER,DENVER,Long Term,81.0,81.0,48.0,44.7,44.7,0.0,0.0,48.0,4.0,4.0,0.0,0.0,0.0,0.0,567.0,567.0,336.0,313.0,313.0,0.0,0.0,336.0,28.0,28.0,0.0,0.0,0.0,0.0
2021-04-30,CO,NATIONAL JEWISH HEALTH,DENVER,Short Term,25.0,18.0,6.0,-999999.0,-999999.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,126.0,42.0,20.0,18.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,CO,KINDRED HOSPITAL AURORA,AURORA,Long Term,37.0,37.0,37.0,35.4,35.4,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,259.0,259.0,248.0,248.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,CO,CRAIG HOSPITAL,ENGLEWOOD,Long Term,88.0,88.0,88.0,86.1,86.1,-999999.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,616.0,616.0,603.0,603.0,-999999.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,CO,"ANIMAS SURGICAL HOSPITAL, LLC",DURANGO,Short Term,27.0,27.0,12.0,4.3,4.3,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,84.0,30.0,30.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-11,CO,NATIONAL JEWISH HEALTH,DENVER,Short Term,28.0,,,-999999.0,-999999.0,,,28.0,0.0,,0.0,,,,112.0,,,6.0,4.0,,,112.0,0.0,,0.0,,,
2020-09-04,CO,CRAIG HOSPITAL,ENGLEWOOD,Long Term,88.0,88.0,88.0,87.0,87.0,,,88.0,0.0,,0.0,,,,440.0,440.0,440.0,435.0,435.0,,,440.0,0.0,,0.0,,,
2020-08-21,CO,CRAIG HOSPITAL,ENGLEWOOD,Long Term,88.0,88.0,88.0,85.5,85.5,,,88.0,0.0,,0.0,,,,176.0,176.0,176.0,171.0,171.0,,,176.0,0.0,,0.0,,,
2020-08-07,CO,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,LITTLETON,Short Term,,,,,,-999999.0,-999999.0,,,,,,-999999.0,-999999.0,,,,,,11.0,11.0,,,,,,4.0,-999999.0
2020-08-07,CO,FOOTHILLS HOSPITAL,BOULDER,Short Term,165.0,,,107.6,,,,,18.0,,12.0,,,,1155.0,,,753.0,,,,,126.0,,84.0,,,
