Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-10-01,DC,MEDSTAR WASHINGTON HOSPITAL CENTER,WASHINGTON,Short Term,896.0,832.0,771.1,773.0,723.9,53.4,34.4,835.1,138.0,114.0,122.6,101.9,9.1,6.1,6272.0,5824.0,5398.0,5411.0,5067.0,374.0,241.0,5846.0,966.0,798.0,858.0,713.0,64.0,43.0
2021-09-17,DC,HOWARD UNIVERSITY HOSPITAL,WASHINGTON,Short Term,288.0,258.0,228.0,145.0,130.4,16.9,16.9,250.0,36.3,28.0,21.1,20.0,4.0,4.0,2016.0,1806.0,1596.0,1015.0,913.0,118.0,118.0,1750.0,254.0,196.0,148.0,140.0,28.0,28.0
2021-10-01,DC,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,Short Term,408.0,390.0,390.0,293.4,293.4,15.0,15.0,408.0,74.0,56.0,54.1,37.1,0.0,0.0,2856.0,2730.0,2730.0,2054.0,2054.0,105.0,105.0,2856.0,518.0,392.0,379.0,260.0,0.0,0.0
2021-09-17,DC,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,Short Term,408.0,390.0,390.0,320.9,320.9,21.9,21.9,408.0,74.0,56.0,53.4,36.4,0.0,0.0,2856.0,2730.0,2730.0,2246.0,2246.0,153.0,153.0,2856.0,518.0,392.0,374.0,255.0,0.0,0.0
2021-09-24,DC,MEDSTAR WASHINGTON HOSPITAL CENTER,WASHINGTON,Short Term,896.0,832.0,760.9,742.9,696.0,52.1,30.7,824.9,145.1,121.1,120.0,98.4,7.0,4.9,6272.0,5824.0,5326.0,5200.0,4872.0,365.0,215.0,5774.0,1016.0,848.0,840.0,689.0,49.0,34.0
2021-09-24,DC,BRIDGEPOINT -NATIONAL HARBOR,WASHINGTON,Long Term,52.0,52.0,52.0,39.3,39.3,0.0,0.0,52.0,10.0,10.0,9.0,9.0,0.0,0.0,364.0,364.0,364.0,275.0,275.0,0.0,0.0,364.0,70.0,70.0,63.0,63.0,0.0,0.0
2021-10-01,DC,Hospital for Sick Children Pediatric Center (AKA HSC Pediatric Center),Washington,Childrens Hospitals,66.0,0.0,0.0,26.9,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,188.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,DC,Hospital for Sick Children Pediatric Center (AKA HSC Pediatric Center),Washington,Childrens Hospitals,66.0,0.0,0.0,27.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0.0,0.0,189.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,DC,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,Short Term,408.0,390.0,390.0,307.6,307.6,16.7,16.7,408.0,74.0,56.0,54.4,37.0,0.0,0.0,2856.0,2730.0,2730.0,2153.0,2153.0,117.0,117.0,2856.0,518.0,392.0,381.0,259.0,0.0,0.0
2021-09-17,DC,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,Short Term,453.0,352.9,352.9,356.9,321.6,16.6,10.1,400.9,105.7,70.7,75.3,58.7,6.3,4.3,3171.0,2470.0,2470.0,2498.0,2251.0,116.0,71.0,2806.0,740.0,495.0,527.0,411.0,44.0,30.0
