Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-10,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,60.9,60.9,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,525.0,525.0,426.0,426.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,60.0,60.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,-999999.0,0.0,525.0,525.0,525.0,420.0,420.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,21.0,0.0
2021-04-30,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,58.7,58.7,0.0,0.0,75.0,0.0,0.0,0.0,0.0,-999999.0,0.0,525.0,525.0,525.0,411.0,411.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,21.0,0.0
2021-04-23,FL,DOUGLAS GARDENS HOSPITAL,MIAMI,Short Term,32.0,32.0,8.9,-999999.0,-999999.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,62.0,8.0,8.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,FL,ADVENTHEALTH WAUCHULA,WAUCHULA,Critical Access Hospitals,40.0,40.0,25.0,24.1,24.1,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,175.0,169.0,169.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,FL,ADVENTHEALTH WAUCHULA,WAUCHULA,Critical Access Hospitals,40.0,40.0,25.0,23.9,23.9,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,175.0,167.0,167.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,FL,CURAHEALTH JACKSONVILLE LLC,JACKSONVILLE,Long Term,107.0,22.5,22.5,20.2,20.2,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,135.0,135.0,121.0,121.0,0.0,0.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,FL,BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,Short Term,50.0,50.0,50.0,37.1,37.1,6.6,6.6,50.0,8.0,8.0,6.7,6.7,-999999.0,-999999.0,350.0,350.0,350.0,260.0,260.0,46.0,46.0,350.0,56.0,56.0,47.0,47.0,5.0,-999999.0
2021-09-17,FL,ORANGE PARK MEDICAL CENTER,ORANGE PARK,Short Term,416.0,395.0,351.0,321.0,313.3,62.3,61.1,372.0,54.6,47.0,54.6,47.0,12.7,12.3,2912.0,2765.0,2457.0,2247.0,2193.0,436.0,428.0,2604.0,382.0,329.0,382.0,329.0,89.0,86.0
2021-09-24,FL,CITRUS MEMORIAL HOSPITAL,INVERNESS,Short Term,237.0,237.0,204.0,140.0,138.6,36.0,32.1,204.0,24.0,24.0,19.1,19.1,7.3,6.9,1659.0,1659.0,1428.0,980.0,970.0,252.0,225.0,1428.0,168.0,168.0,134.0,134.0,51.0,48.0
2021-09-17,FL,ORLANDO HEALTH ORLANDO REGIONAL MEDICAL CENTER,ORLANDO,Short Term,1851.4,1488.7,1290.4,1473.6,1236.6,228.9,190.7,1588.1,294.1,98.1,261.3,92.4,45.6,44.9,12960.0,10421.0,9033.0,10315.0,8656.0,1602.0,1335.0,11117.0,2059.0,687.0,1829.0,647.0,319.0,314.0
2021-10-01,FL,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,Short Term,282.0,282.0,282.0,225.3,225.3,29.3,29.3,282.0,32.0,32.0,24.4,24.4,8.6,8.6,1974.0,1974.0,1974.0,1577.0,1577.0,205.0,205.0,1974.0,224.0,224.0,171.0,171.0,60.0,60.0
2021-09-24,FL,WELLINGTON REGIONAL MEDICAL CENTER,WELLINGTON,Short Term,280.0,249.0,207.0,203.4,188.0,37.6,37.6,224.0,45.0,28.0,39.3,24.0,12.6,12.6,1960.0,1743.0,1449.0,1424.0,1316.0,263.0,263.0,1568.0,315.0,196.0,275.0,168.0,88.0,88.0
2021-09-24,FL,ADVENTHEALTH WATERMAN,TAVARES,Short Term,316.0,308.0,257.0,219.4,216.0,29.0,28.3,265.0,28.0,28.0,24.4,24.4,4.6,4.6,2212.0,2156.0,1799.0,1536.0,1512.0,203.0,198.0,1855.0,196.0,196.0,171.0,171.0,32.0,32.0
2021-09-24,FL,MARINERS HOSPITAL,TAVERNIER,Critical Access Hospitals,25.0,25.0,21.0,21.0,21.0,-999999.0,-999999.0,21.0,4.0,4.0,4.0,4.0,0.0,0.0,175.0,175.0,147.0,147.0,147.0,12.0,8.0,147.0,28.0,28.0,28.0,28.0,0.0,0.0
2021-10-01,FL,KINDRED HOSPITAL THE PALM BEACHES,RIVIERA BEACH,Long Term,70.0,70.0,55.4,49.6,49.6,0.0,0.0,55.4,10.0,10.0,5.0,5.0,0.0,0.0,490.0,490.0,388.0,347.0,347.0,0.0,0.0,388.0,70.0,70.0,35.0,35.0,0.0,0.0
2021-09-24,FL,ADVENTHEALTH HEART OF FLORIDA,DAVENPORT,Short Term,192.0,192.0,166.0,147.7,147.7,37.6,33.3,166.0,16.0,16.0,19.9,19.9,6.6,6.3,1344.0,1344.0,1162.0,1034.0,1034.0,263.0,233.0,1162.0,112.0,112.0,139.0,139.0,46.0,44.0
2021-10-01,FL,SEBASTIAN RIVER MEDICAL CENTER,SEBASTIAN,Short Term,96.0,96.0,79.0,67.6,67.6,17.1,15.3,79.0,16.0,16.0,12.1,12.1,5.6,4.0,672.0,672.0,553.0,473.0,473.0,120.0,107.0,553.0,112.0,112.0,85.0,85.0,39.0,28.0
2021-10-01,FL,TWIN CITIES HOSPITAL,NICEVILLE,Short Term,53.0,53.0,43.0,28.4,28.4,-999999.0,-999999.0,43.0,8.0,8.0,6.0,6.0,0.0,0.0,371.0,371.0,301.0,199.0,199.0,13.0,13.0,301.0,56.0,56.0,42.0,42.0,0.0,0.0
2021-09-17,FL,MEMORIAL HOSPITAL WEST,PEMBROKE PINES,Short Term,454.9,444.9,371.6,362.3,352.3,81.7,81.7,387.7,53.1,43.1,53.1,43.1,24.6,24.6,3184.0,3114.0,2601.0,2536.0,2466.0,572.0,572.0,2714.0,372.0,302.0,372.0,302.0,172.0,172.0
2021-09-17,FL,MORTON PLANT NORTH BAY HOSPITAL,NEW PORT RICHEY,Short Term,219.0,219.0,219.0,201.7,178.1,45.4,45.4,219.0,22.0,22.0,18.6,18.6,6.4,6.4,1533.0,1533.0,1533.0,1412.0,1247.0,318.0,318.0,1533.0,154.0,154.0,130.0,130.0,45.0,45.0
2021-10-01,FL,LAKE BUTLER HOSPITAL,LAKE BUTLER,Critical Access Hospitals,25.0,25.0,15.0,6.3,6.3,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,105.0,44.0,44.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,FL,ED FRASER MEMORIAL HOSPITAL,MACCLENNY,Short Term,37.0,37.0,22.0,-999999.0,-999999.0,-999999.0,-999999.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,259.0,154.0,18.0,18.0,-999999.0,-999999.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,FL,ADVENTHEALTH LAKE WALES,LAKE WALES,Short Term,90.0,90.0,90.0,69.3,69.3,10.1,9.4,90.0,8.0,8.0,5.0,5.0,-999999.0,-999999.0,630.0,630.0,630.0,485.0,485.0,71.0,66.0,630.0,56.0,56.0,35.0,35.0,15.0,15.0
2021-10-01,FL,HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,Short Term,620.7,585.0,532.7,407.0,397.6,32.3,31.4,560.7,78.0,68.0,51.9,43.9,8.3,8.3,4345.0,4095.0,3729.0,2849.0,2783.0,226.0,220.0,3925.0,546.0,476.0,363.0,307.0,58.0,58.0
2021-09-17,FL,UF HEALTH THE VILLAGES HOSPITAL,THE VILLAGES,Short Term,256.0,256.0,220.0,206.6,206.6,29.9,29.9,220.0,32.0,32.0,31.4,31.4,7.1,7.1,1792.0,1792.0,1540.0,1446.0,1446.0,209.0,209.0,1540.0,224.0,224.0,220.0,220.0,50.0,50.0
2021-09-17,FL,ADVENTHEALTH DAYTONA BEACH,DAYTONA BEACH,Short Term,461.0,427.0,313.0,348.1,338.0,42.4,41.6,322.0,58.0,46.0,59.7,51.3,14.1,13.9,3227.0,2989.0,2191.0,2437.0,2366.0,297.0,291.0,2254.0,406.0,322.0,418.0,359.0,99.0,97.0
2021-09-17,FL,DOCTORS HOSPITAL,CORAL GABLES,Short Term,152.0,152.0,125.0,99.6,99.6,13.0,13.0,125.0,12.0,12.0,11.7,11.7,5.0,5.0,1064.0,1064.0,875.0,697.0,697.0,91.0,91.0,875.0,84.0,84.0,82.0,82.0,35.0,35.0
2021-09-17,FL,SELECT SPECIALTY HOSPITAL - PANAMA CITY,PANAMA CITY,Long Term,30.0,30.0,30.0,27.3,27.3,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,191.0,191.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,FL,FLORIDA STATE HOSPITAL UNIT 31 MED,CHATTAHOOCHEE,Short Term,44.0,44.0,44.0,5.1,5.1,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,308.0,308.0,36.0,36.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,FL,FISHERMEN'S COMMUNITY HOSPITAL,MARATHON,Critical Access Hospitals,15.0,15.0,4.0,-999999.0,-999999.0,-999999.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,28.0,-999999.0,-999999.0,18.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,FL,STEWARD REGIONAL MEDICAL CENTER,MELBOURNE,Short Term,108.0,108.0,96.0,54.3,54.3,17.9,16.9,96.0,12.0,12.0,8.9,8.9,-999999.0,-999999.0,756.0,756.0,672.0,380.0,380.0,125.0,118.0,672.0,84.0,84.0,62.0,62.0,25.0,24.0
2021-09-24,FL,UF HEALTH JACKSONVILLE,JACKSONVILLE,Short Term,585.0,577.0,562.0,584.3,578.0,73.3,51.7,570.0,124.0,124.0,105.1,106.0,25.3,24.1,4095.0,4039.0,3934.0,4090.0,4046.0,513.0,362.0,3990.0,868.0,868.0,736.0,742.0,177.0,169.0
2021-09-17,FL,BAPTIST MEDICAL CENTER JACKSONVILLE,JACKSONVILLE,Short Term,970.0,771.0,771.0,910.4,731.0,133.9,132.7,970.0,139.0,107.0,122.3,97.4,46.6,46.6,6790.0,5397.0,5397.0,6373.0,5117.0,937.0,929.0,6790.0,973.0,749.0,856.0,682.0,326.0,326.0
2021-09-17,FL,JUPITER MEDICAL CENTER,JUPITER,Short Term,242.0,230.0,230.0,195.7,193.0,34.4,34.4,242.0,31.0,31.0,17.7,17.7,-999999.0,-999999.0,1694.0,1610.0,1610.0,1370.0,1351.0,241.0,241.0,1694.0,217.0,217.0,124.0,124.0,25.0,25.0
2021-09-24,FL,ST JOSEPHS HOSPITAL,TAMPA,Short Term,1046.0,957.0,957.0,986.1,810.1,121.7,121.6,1046.0,151.0,128.0,104.6,90.9,21.6,21.4,7322.0,6699.0,6699.0,6903.0,5671.0,852.0,851.0,7322.0,1057.0,896.0,732.0,636.0,151.0,150.0
2021-09-17,FL,TWIN CITIES HOSPITAL,NICEVILLE,Short Term,53.0,53.0,43.0,31.1,31.1,8.6,8.6,43.0,8.4,8.4,8.3,8.3,-999999.0,-999999.0,371.0,371.0,301.0,218.0,218.0,60.0,60.0,301.0,59.0,59.0,58.0,58.0,25.0,25.0
2021-09-24,FL,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,HIALEAH,Short Term,158.0,158.0,158.0,84.4,84.4,84.4,25.7,158.0,14.0,14.0,9.1,9.1,6.3,5.7,1106.0,1106.0,1106.0,591.0,591.0,591.0,180.0,1106.0,98.0,98.0,64.0,64.0,44.0,40.0
2021-09-24,FL,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,FORT LAUDERDALE,Long Term,238.0,238.0,157.6,141.6,141.6,-999999.0,-999999.0,157.6,23.0,23.0,18.3,18.3,0.0,0.0,1666.0,1666.0,1103.0,991.0,991.0,12.0,12.0,1103.0,161.0,161.0,128.0,128.0,0.0,0.0
2021-08-06,FL,SELECT SPECIALTY HOSPITAL PENSACOLA,PENSACOLA,Long Term,75.0,75.0,75.0,59.6,59.6,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,525.0,525.0,417.0,417.0,0.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,FL,MEMORIAL HOSPITAL JACKSONVILLE,JACKSONVILLE,Short Term,501.0,491.0,437.0,352.6,346.3,72.1,69.3,447.0,52.0,42.4,47.9,41.6,19.6,19.6,3507.0,3437.0,3059.0,2468.0,2424.0,505.0,485.0,3129.0,364.0,297.0,335.0,291.0,137.0,137.0
2021-10-01,FL,HOMESTEAD HOSPITAL,HOMESTEAD,Short Term,180.0,180.0,180.0,130.7,130.7,13.4,13.4,180.0,16.0,16.0,12.9,12.9,9.0,9.0,1260.0,1260.0,1260.0,915.0,915.0,94.0,94.0,1260.0,112.0,112.0,90.0,90.0,63.0,63.0
2021-10-01,FL,JACKSON MEMORIAL HOSPITAL,MIAMI,Short Term,1408.0,1274.6,1239.6,1226.6,1104.1,135.7,131.4,1373.0,329.0,238.9,250.7,168.6,42.9,42.0,9856.0,8922.0,8677.0,8586.0,7729.0,950.0,920.0,9611.0,2303.0,1672.0,1755.0,1180.0,300.0,294.0
2021-09-17,FL,AVENTURA HOSPITAL AND MEDICAL CENTER,AVENTURA,Short Term,515.0,515.0,467.0,324.1,324.0,58.4,52.3,467.0,52.0,52.0,48.0,48.0,15.4,14.3,3605.0,3605.0,3269.0,2269.0,2268.0,409.0,366.0,3269.0,364.0,364.0,336.0,336.0,108.0,100.0
2021-09-17,FL,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,TALLAHASSEE,Long Term,48.0,48.0,48.0,40.1,40.1,-999999.0,-999999.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,336.0,336.0,281.0,281.0,7.0,7.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,FL,BROWARD HEALTH CORAL SPRINGS,CORAL SPRINGS,Short Term,236.0,209.4,172.4,184.3,170.0,56.7,53.3,189.0,30.9,22.9,29.4,21.6,20.0,19.7,1652.0,1466.0,1207.0,1290.0,1190.0,397.0,373.0,1323.0,216.0,160.0,206.0,151.0,140.0,138.0
2021-10-01,FL,LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,Short Term,105.3,105.3,105.3,98.7,98.7,17.6,17.6,105.3,17.9,17.9,14.4,14.4,7.0,7.0,737.0,737.0,737.0,691.0,691.0,123.0,123.0,737.0,125.0,125.0,101.0,101.0,49.0,49.0
2021-09-24,FL,SELECT SPECIALTY HOSPITAL - THE VILLAGES INC,OXFORD,Long Term,40.0,40.0,40.0,27.1,27.1,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,190.0,190.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,FL,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,NAPLES,Long Term,50.0,50.0,40.0,13.6,13.6,15.1,15.0,40.0,10.0,10.0,8.7,8.7,6.7,6.7,350.0,350.0,280.0,95.0,95.0,106.0,105.0,280.0,70.0,70.0,61.0,61.0,47.0,47.0
2021-09-17,FL,ADVENTHEALTH LAKE WALES,LAKE WALES,Short Term,90.0,90.0,90.0,80.7,80.7,16.3,16.1,90.0,8.0,8.0,6.9,6.9,-999999.0,-999999.0,630.0,630.0,630.0,565.0,565.0,114.0,113.0,630.0,56.0,56.0,48.0,48.0,20.0,20.0
2021-09-24,FL,NEMOURS CHILDREN'S HOSPITAL,ORLANDO,Childrens Hospitals,130.0,0.0,0.0,85.4,-999999.0,-999999.0,-999999.0,130.0,50.0,0.0,46.7,0.0,0.0,0.0,910.0,0.0,0.0,598.0,25.0,4.0,4.0,910.0,350.0,0.0,327.0,0.0,0.0,0.0
2021-09-17,FL,ADVENTHEALTH WATERMAN,TAVARES,Short Term,316.0,308.0,257.0,226.9,223.9,56.1,54.9,265.0,28.0,28.0,23.4,23.4,9.3,9.0,2212.0,2156.0,1799.0,1588.0,1567.0,393.0,384.0,1855.0,196.0,196.0,164.0,164.0,65.0,63.0
2021-09-17,FL,LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,Short Term,115.1,115.1,115.1,112.9,112.9,33.0,33.0,115.1,18.4,18.4,16.4,16.4,5.6,5.6,806.0,806.0,806.0,790.0,790.0,231.0,231.0,806.0,129.0,129.0,115.0,115.0,39.0,39.0
2021-10-01,FL,HOLY CROSS HOSPITAL,FORT LAUDERDALE,Short Term,1517.7,1508.7,397.0,215.3,213.4,16.9,16.9,406.0,63.0,54.0,25.6,23.7,6.1,6.1,10624.0,10561.0,2779.0,1507.0,1494.0,118.0,118.0,2842.0,441.0,378.0,179.0,166.0,43.0,43.0
2021-09-17,FL,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,VERO BEACH,Short Term,245.0,245.0,245.0,232.3,232.3,35.4,35.4,245.0,45.0,45.0,20.3,20.3,10.0,10.0,1715.0,1715.0,1715.0,1626.0,1626.0,248.0,248.0,1715.0,315.0,315.0,142.0,142.0,70.0,70.0
2021-10-01,FL,BAPTIST MEDICAL CENTER - BEACHES,JACKSONVILLE BEACH,Short Term,135.0,135.0,135.0,128.7,128.7,20.3,19.9,135.0,24.0,24.0,22.0,22.0,8.0,8.0,945.0,945.0,945.0,901.0,901.0,142.0,139.0,945.0,168.0,168.0,154.0,154.0,56.0,56.0
2021-09-17,FL,REGIONAL MEDICAL CENTER BAYONET POINT,HUDSON,Short Term,309.0,309.0,290.0,231.6,231.6,40.3,40.3,290.0,60.0,60.0,56.4,56.4,12.3,12.3,2163.0,2163.0,2030.0,1621.0,1621.0,282.0,282.0,2030.0,420.0,420.0,395.0,395.0,86.0,86.0
2021-09-17,FL,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,Short Term,282.0,282.0,282.0,219.4,219.4,55.9,55.9,282.0,32.0,32.0,23.7,23.7,15.1,15.1,1974.0,1974.0,1974.0,1536.0,1536.0,391.0,391.0,1974.0,224.0,224.0,166.0,166.0,106.0,106.0
2021-10-01,FL,BOCA RATON REGIONAL HOSPITAL,BOCA RATON,Short Term,426.0,390.0,347.0,326.4,324.1,14.1,14.1,383.0,50.0,40.0,37.4,31.1,-999999.0,-999999.0,2982.0,2730.0,2429.0,2285.0,2269.0,99.0,99.0,2681.0,350.0,280.0,262.0,218.0,23.0,23.0
2021-10-01,FL,FLAGLER HOSPITAL,SAINT AUGUSTINE,Short Term,335.0,335.0,335.0,227.0,227.0,27.6,26.0,335.0,43.0,43.0,23.9,23.9,9.1,8.6,2345.0,2345.0,2345.0,1589.0,1589.0,193.0,182.0,2345.0,301.0,301.0,167.0,167.0,64.0,60.0
2021-09-24,FL,KINDRED HOSPITAL MELBOURNE,MELBOURNE,Long Term,60.0,60.0,46.0,44.9,44.9,0.0,0.0,46.0,8.0,8.0,6.4,6.4,0.0,0.0,420.0,420.0,322.0,314.0,314.0,0.0,0.0,322.0,56.0,56.0,45.0,45.0,0.0,0.0
2021-10-01,FL,PALMS OF PASADENA HOSPITAL,SAINT PETERSBURG,Short Term,205.0,205.0,187.0,62.9,62.9,12.0,12.0,187.0,18.0,18.0,6.9,6.9,-999999.0,-999999.0,1435.0,1435.0,1309.0,440.0,440.0,84.0,84.0,1309.0,126.0,126.0,48.0,48.0,8.0,8.0
2021-09-17,FL,KINDRED HOSPITAL-CENTRAL TAMPA,TAMPA,Long Term,102.0,102.0,68.0,67.6,67.6,0.0,0.0,68.0,6.0,6.0,6.0,6.0,0.0,0.0,714.0,714.0,476.0,473.0,473.0,0.0,0.0,476.0,42.0,42.0,42.0,42.0,0.0,0.0
2021-10-01,FL,HENDRY REGIONAL MEDICAL CENTER,CLEWISTON,Critical Access Hospitals,18.0,18.0,18.0,8.6,8.6,-999999.0,-999999.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,60.0,60.0,11.0,10.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,FL,ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,OCOEE,Short Term,215.4,215.4,196.9,188.6,188.6,40.6,33.0,196.9,14.4,14.4,14.4,14.4,4.7,4.7,1508.0,1508.0,1378.0,1320.0,1320.0,284.0,231.0,1378.0,101.0,101.0,101.0,101.0,33.0,33.0
2021-09-24,FL,SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,Short Term,86.0,86.0,86.0,77.3,50.3,16.7,16.7,86.0,6.0,6.0,8.6,8.6,7.4,7.4,602.0,602.0,602.0,541.0,352.0,117.0,117.0,602.0,42.0,42.0,60.0,60.0,52.0,52.0
2021-09-17,FL,ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,Short Term,116.0,116.0,88.0,71.4,71.4,28.0,25.9,88.0,7.9,7.9,7.9,7.9,7.1,7.1,812.0,812.0,616.0,500.0,500.0,196.0,181.0,616.0,55.0,55.0,55.0,55.0,50.0,50.0
2021-09-24,FL,ST PETERSBURG GENERAL HOSPITAL,SAINT PETERSBURG,Short Term,194.0,194.0,168.0,62.0,61.7,14.6,14.4,168.0,21.0,21.0,7.1,6.9,-999999.0,-999999.0,1358.0,1358.0,1176.0,434.0,432.0,102.0,101.0,1176.0,147.0,147.0,50.0,48.0,23.0,23.0
2021-09-17,FL,LOWER KEYS MEDICAL CENTER,KEY WEST,Short Term,118.0,118.0,103.0,43.6,43.6,16.6,16.6,103.0,9.0,9.0,4.9,4.9,4.1,4.1,826.0,826.0,721.0,305.0,305.0,116.0,116.0,721.0,63.0,63.0,34.0,34.0,29.0,29.0
2021-10-01,FL,KINDRED HOSPITAL MELBOURNE,MELBOURNE,Long Term,58.0,58.0,47.0,43.0,43.0,0.0,0.0,47.0,8.0,8.0,5.9,5.9,0.0,0.0,406.0,406.0,329.0,301.0,301.0,0.0,0.0,329.0,56.0,56.0,41.0,41.0,0.0,0.0
2021-10-01,FL,SOUTH BAY HOSPITAL,SUN CITY CENTER,Short Term,155.0,155.0,138.0,65.0,65.0,14.6,14.3,138.0,12.0,12.0,9.3,9.3,5.0,5.0,1085.0,1085.0,966.0,455.0,455.0,102.0,100.0,966.0,84.0,84.0,65.0,65.0,35.0,35.0
2021-10-01,FL,DOCTORS HOSPITAL,CORAL GABLES,Short Term,152.0,152.0,125.0,88.6,88.6,4.0,4.0,125.0,12.0,12.0,10.9,10.9,4.3,4.3,1064.0,1064.0,875.0,620.0,620.0,28.0,28.0,875.0,84.0,84.0,76.0,76.0,30.0,30.0
