Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-06-25,GA,LIGHTHOUSE CARE CENTER OF AUGUSTA,AUGUSTA,Short Term,28.0,0.0,0.0,12.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,84.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,GA,SGMC BERRIEN CAMPUS,NASHVILLE,Short Term,35.0,35.0,27.0,-999999.0,-999999.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,189.0,14.0,8.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,GA,"COLUMBUS SPECIALTY HOSPITAL, INC",COLUMBUS,Long Term,18.0,18.0,15.4,18.0,18.0,7.6,7.6,15.4,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,108.0,126.0,126.0,53.0,53.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,GA,SGMC BERRIEN CAMPUS,NASHVILLE,Short Term,34.0,34.0,27.0,-999999.0,-999999.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,189.0,12.0,9.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13,GA,TURNING POINT HOSPITAL,MOULTRIE,Short Term,79.0,79.0,79.0,65.0,65.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,474.0,474.0,390.0,390.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,GA,LAUREL HEIGHTS HOSPITAL,ATLANTA,Short Term,124.0,0.0,0.0,94.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,94.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-04,GA,JEFFERSON HOSPITAL,LOUISVILLE,Short Term,47.0,,,-999999.0,,,,37.0,0.0,,0.0,,,,235.0,,,17.0,,,,185.0,0.0,,0.0,,,
2020-08-28,GA,SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER,CUTHBERT,Critical Access Hospitals,,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,
2020-08-21,GA,"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21,GA,"PIEDMONT WALTON HOSPITAL, INC",MONROE,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-14,GA,"PIEDMONT WALTON HOSPITAL, INC",MONROE,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,GA,NORTHSIDE HOSPITAL DULUTH,DULUTH,Short Term,,,,,,,,,27.0,,,,,,,,,,,,,,189.0,,,,,
2020-08-07,GA,PIEDMONT COLUMBUS REGIONAL NORTHSIDE,COLUMBUS,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,GA,PIEDMONT ROCKDALE HOSPITAL,CONYERS,Short Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,GA,PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,Short Term,,,,,,78.0,78.0,,,,,,,,,,,,,78.0,78.0,,,,,,,
2021-10-01,GA,WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,Short Term,180.4,180.1,159.1,161.9,159.0,29.6,21.9,159.4,27.0,27.0,26.3,26.3,11.6,10.9,1263.0,1261.0,1114.0,1133.0,1113.0,207.0,153.0,1116.0,189.0,189.0,184.0,184.0,81.0,76.0
2021-09-24,GA,ST FRANCIS HOSPITAL- EMORY HEALTHCARE,COLUMBUS,Short Term,289.0,289.0,237.0,165.3,158.0,47.3,47.1,237.0,37.0,37.0,30.0,30.0,20.0,20.0,2023.0,2023.0,1659.0,1157.0,1106.0,331.0,330.0,1659.0,259.0,259.0,210.0,210.0,140.0,140.0
2021-10-01,GA,WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,Short Term,116.1,116.1,106.1,107.1,105.3,54.0,33.7,106.1,20.9,20.9,20.9,20.9,14.0,10.7,813.0,813.0,743.0,750.0,737.0,378.0,236.0,743.0,146.0,146.0,146.0,146.0,98.0,75.0
2021-10-01,GA,CHATUGE REGIONAL HOSPITAL,HIAWASSEE,Critical Access Hospitals,31.0,31.0,25.0,25.3,21.4,12.1,12.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,175.0,177.0,150.0,85.0,85.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,GA,PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,Short Term,302.0,302.0,244.0,179.9,179.9,61.0,60.9,244.0,44.0,44.0,42.7,42.7,29.7,29.7,2114.0,2114.0,1708.0,1259.0,1259.0,427.0,426.0,1708.0,308.0,308.0,299.0,299.0,208.0,208.0
2021-10-01,GA,WELLSTAR PAULDING HOSPITAL,HIRAM,Short Term,185.7,185.7,131.4,132.7,129.9,69.9,41.0,131.4,27.6,27.6,23.0,23.0,13.7,12.0,1300.0,1300.0,920.0,929.0,909.0,489.0,287.0,920.0,193.0,193.0,161.0,161.0,96.0,84.0
