Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-08-06,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,24.0,0.0,0.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,7.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,24.0,0.0,0.0,-999999.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,15.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,HI,LEAHI HOSPITAL,HONOLULU,Long Term,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-16,HI,The Queen's Medical Center �?West Oahu,Ewa Beach,Short Term,,,,89.0,,,,,10.0,,-999999.0,,,,,,,89.0,,,,,10.0,,-999999.0,,,
2020-10-16,HI,KOHALA HOSPITAL,KAPAAU,Critical Access Hospitals,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,
2020-09-25,HI,SHRINERS HOSPITAL FOR CHILDREN,HONOLULU,Childrens Hospitals,,,,0.0,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,0.0,,,
2020-08-14,HI,SAMUEL MAHELONA MEMORIAL HOSPITAL,KAPAA,Critical Access Hospitals,,,,-999999.0,,,,,0.0,,0.0,,,,,,,6.0,,,,,0.0,,0.0,,,
2020-08-07,HI,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Short Term,,,,,,16.1,0.0,,,,,,,,,,,,,113.0,0.0,,,,,,,
2021-09-24,HI,WILCOX MEMORIAL HOSPITAL,LIHUE,Short Term,97.0,97.0,72.0,51.7,51.7,5.7,-999999.0,72.0,7.0,7.0,5.7,5.7,-999999.0,-999999.0,679.0,679.0,504.0,362.0,362.0,40.0,25.0,504.0,49.0,49.0,40.0,40.0,13.0,9.0
2021-10-01,HI,MAUI MEMORIAL MEDICAL CENTER,WAILUKU,Short Term,249.0,249.0,218.0,159.3,159.3,6.4,6.4,218.0,159.3,18.7,18.7,18.7,-999999.0,-999999.0,1743.0,1743.0,1526.0,1115.0,1115.0,45.0,45.0,1526.0,1115.0,131.0,131.0,131.0,5.0,5.0
