Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2020-08-07,ID,MOUNTAIN VIEW HOSPITAL,IDAHO FALLS,Short Term,125.0,,,9.5,,,,41.0,0.0,,0.0,,,,750.0,,,57.0,,,,246.0,0.0,,0.0,,,
2021-09-24,ID,CASSIA REGIONAL HOSPITAL,BURLEY,Critical Access Hospitals,47.0,47.0,31.0,14.0,14.0,-999999.0,-999999.0,31.0,6.0,6.0,-999999.0,-999999.0,-999999.0,-999999.0,329.0,329.0,217.0,98.0,98.0,24.0,23.0,217.0,42.0,42.0,25.0,25.0,18.0,18.0
2021-10-01,ID,ST LUKE'S JEROME,JEROME,Critical Access Hospitals,33.0,25.0,18.0,5.1,5.1,-999999.0,-999999.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,175.0,126.0,36.0,36.0,5.0,5.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,ID,MADISON MEMORIAL HOSPITAL,REXBURG,Short Term,79.3,70.1,60.3,35.4,27.3,6.3,6.0,69.4,12.0,4.0,9.0,-999999.0,-999999.0,-999999.0,555.0,491.0,422.0,248.0,191.0,44.0,42.0,486.0,84.0,28.0,63.0,7.0,4.0,4.0
2021-09-17,ID,ST LUKE'S JEROME,JEROME,Critical Access Hospitals,29.9,21.9,14.9,14.7,14.7,-999999.0,-999999.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,209.0,153.0,104.0,103.0,103.0,10.0,9.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,ID,BEAR LAKE MEMORIAL HOSPITAL,MONTPELIER,Critical Access Hospitals,14.0,14.0,14.0,7.3,7.1,-999999.0,-999999.0,14.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,98.0,98.0,98.0,51.0,50.0,8.0,8.0,98.0,14.0,14.0,13.0,10.0,0.0,0.0
2021-09-24,ID,NORTH CANYON MEDICAL CENTER,GOODING,Critical Access Hospitals,21.0,21.0,16.0,9.4,9.4,-999999.0,-999999.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,112.0,66.0,66.0,27.0,27.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ID,SHOSHONE MEDICAL CENTER,KELLOGG,Critical Access Hospitals,25.0,25.0,10.0,6.7,6.7,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,70.0,47.0,47.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,ID,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,NAMPA,Short Term,89.9,86.1,86.1,85.4,82.4,39.0,38.7,89.9,20.9,17.1,19.3,16.3,10.7,10.6,629.0,603.0,603.0,598.0,577.0,273.0,271.0,629.0,146.0,120.0,135.0,114.0,75.0,74.0
2021-10-01,ID,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,NAMPA,Short Term,89.4,87.4,87.4,84.0,83.0,41.0,39.7,89.4,17.9,15.9,16.7,15.7,9.3,8.7,626.0,612.0,612.0,588.0,581.0,287.0,278.0,626.0,125.0,111.0,117.0,110.0,65.0,61.0
2021-09-24,ID,NORTHWEST SPECIALTY HOSPITAL,POST FALLS,Short Term,32.0,32.0,32.0,10.0,10.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,70.0,70.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ID,BOUNDARY COMMUNITY HOSPITAL,BONNERS FERRY,Critical Access Hospitals,12.0,12.0,7.0,-999999.0,-999999.0,-999999.0,-999999.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,49.0,24.0,24.0,5.0,5.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ID,TREASURE VALLEY HOSPITAL,BOISE,Short Term,28.0,28.0,28.0,6.0,6.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,168.0,36.0,36.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ID,STEELE MEMORIAL MEDICAL CENTER,SALMON,Critical Access Hospitals,18.0,18.0,18.0,5.1,5.1,-999999.0,-999999.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,36.0,36.0,9.0,9.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ID,VALOR HEALTH,EMMETT,Critical Access Hospitals,20.0,20.0,16.0,5.0,4.7,-999999.0,-999999.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,96.0,30.0,28.0,5.0,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,ID,VIBRA HOSPITAL OF BOISE,BOISE,Long Term,40.0,40.0,40.0,28.7,28.7,13.6,13.6,40.0,6.0,6.0,6.0,6.0,6.0,6.0,280.0,280.0,280.0,201.0,201.0,95.0,95.0,280.0,42.0,42.0,42.0,42.0,42.0,42.0
2021-09-17,ID,MOUNTAIN VIEW HOSPITAL,IDAHO FALLS,Short Term,125.0,125.0,41.0,21.9,19.7,0.0,0.0,41.0,-999999.0,0.0,-999999.0,0.0,0.0,0.0,875.0,875.0,287.0,153.0,138.0,0.0,0.0,287.0,19.0,0.0,15.0,0.0,0.0,0.0
2021-09-24,ID,MINIDOKA MEMORIAL HOSPITAL,RUPERT,Critical Access Hospitals,23.0,23.0,23.0,14.1,14.1,4.6,4.6,23.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,99.0,99.0,32.0,32.0,161.0,7.0,7.0,0.0,0.0,0.0,0.0
2021-09-17,ID,CASSIA REGIONAL HOSPITAL,BURLEY,Critical Access Hospitals,47.0,47.0,31.0,15.7,15.7,8.0,8.0,31.0,6.0,6.0,4.7,4.7,-999999.0,-999999.0,329.0,329.0,217.0,110.0,110.0,56.0,56.0,217.0,42.0,42.0,33.0,33.0,26.0,26.0
2021-09-17,ID,ST LUKE'S MCCALL,MCCALL,Critical Access Hospitals,27.6,23.6,14.6,6.3,5.9,-999999.0,-999999.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,193.0,165.0,102.0,44.0,41.0,6.0,5.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,ID,NORTH CANYON MEDICAL CENTER,GOODING,Critical Access Hospitals,21.0,21.0,16.0,7.7,7.7,-999999.0,-999999.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,147.0,112.0,54.0,54.0,21.0,21.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ID,BENEWAH COMMUNITY HOSPITAL,ST MARIES,Critical Access Hospitals,8.0,8.0,8.0,-999999.0,-999999.0,-999999.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,18.0,18.0,6.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ID,VIBRA HOSPITAL OF BOISE,BOISE,Long Term,40.0,40.0,40.0,30.6,30.6,18.0,18.0,40.0,6.0,6.0,6.0,6.0,6.0,6.0,280.0,280.0,280.0,214.0,214.0,126.0,126.0,280.0,42.0,42.0,42.0,42.0,42.0,42.0
2021-09-17,ID,PORTNEUF MEDICAL CENTER,POCATELLO,Short Term,325.0,165.0,142.0,129.6,109.7,42.7,42.7,165.0,22.0,20.0,16.6,16.6,11.9,11.9,2275.0,1155.0,994.0,907.0,768.0,299.0,299.0,1155.0,154.0,140.0,116.0,116.0,83.0,83.0
