Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-01-08,KS,MORTON COUNTY HOSPITAL,ELKHART,Short Term,22.0,21.0,21.0,-999999.0,-999999.0,-999999.0,-999999.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,147.0,147.0,16.0,16.0,-999999.0,-999999.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,KS,KPC PROMISE HOSPITAL OF OVERLAND PARK,OVERLAND PARK,Long Term,34.0,34.0,34.0,19.0,19.0,0.0,0.0,34.0,4.0,4.0,0.0,0.0,0.0,0.0,102.0,102.0,102.0,57.0,57.0,0.0,0.0,102.0,12.0,12.0,0.0,0.0,0.0,0.0
2020-10-16,KS,PHILLIPS COUNTY HEALTH SYSTEMS,PHILLIPSBURG,Critical Access Hospitals,25.0,,,8.2,8.2,0.0,,25.0,0.0,,0.0,,,,125.0,,,41.0,41.0,0.0,,125.0,0.0,,0.0,,,
2020-10-02,KS,SEDAN CITY HOSPITAL,SEDAN,Critical Access Hospitals,22.0,0.0,,-999999.0,-999999.0,0.0,,18.0,0.0,,0.0,,,,132.0,0.0,,15.0,15.0,0.0,,108.0,0.0,,0.0,,,
2020-09-25,KS,KPC PROMISE HOSPITAL OF OVERLAND PARK,OVERLAND PARK,Long Term,34.0,,,25.0,,,,,4.0,,0.0,,,,136.0,,,100.0,,,,,16.0,,0.0,,,
2020-09-25,KS,MORTON COUNTY HOSPITAL,ELKHART,Short Term,22.0,21.0,21.0,-999999.0,-999999.0,0.0,,22.0,0.0,,0.0,,,,154.0,147.0,147.0,23.0,22.0,0.0,,154.0,0.0,,0.0,,,
2020-09-18,KS,HANOVER HOSPITAL,HANOVER,Critical Access Hospitals,25.0,,,4.0,4.0,,,25.0,0.0,,0.0,,,,75.0,,,12.0,12.0,,,75.0,0.0,,0.0,,,
2020-09-11,KS,SAINT LUKE'S SOUTH HOSPITAL,OVERLAND PARK,Short Term,,,,109.1,,,,180.0,11.0,,5.6,,,,,,,764.0,,,,1260.0,77.0,,39.0,,,
2020-09-11,KS,SCOTT COUNTY HOSPITAL,SCOTT CITY,Critical Access Hospitals,25.0,,,7.0,6.6,0.0,0.0,20.0,,,,,,,175.0,,,49.0,46.0,0.0,0.0,140.0,,,,,,
2020-08-28,KS,ELLINWOOD DISTRICT HOSPITAL,ELLINWOOD,Critical Access Hospitals,25.0,,,7.0,7.0,0.0,0.0,25.0,0.0,,0.0,,,,125.0,,,35.0,35.0,0.0,0.0,125.0,0.0,,0.0,,,
2020-08-21,KS,SABETHA COMMUNITY HOSPITAL,SABETHA,Critical Access Hospitals,20.0,,,4.0,-999999.0,,,15.0,0.0,,0.0,,,,100.0,,,20.0,19.0,,,75.0,0.0,,0.0,,,
2020-08-21,KS,HANOVER HOSPITAL,HANOVER,Critical Access Hospitals,25.0,,,-999999.0,,,,25.0,0.0,,0.0,,,,25.0,,,-999999.0,,,,25.0,0.0,,0.0,,,
2020-08-14,KS,MORTON COUNTY HOSPITAL,ELKHART,Short Term,22.0,21.0,21.0,-999999.0,-999999.0,,,22.0,0.0,,0.0,,,,88.0,84.0,84.0,8.0,8.0,,,88.0,0.0,,0.0,,,
