Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-08-13,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,21.3,21.3,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,149.0,149.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,12.3,12.3,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,86.0,86.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,17.2,17.2,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,138.0,103.0,103.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,20.9,20.9,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,146.0,146.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,20.6,20.6,0.0,0.0,23.0,0.0,0.0,-999999.0,0.0,0.0,0.0,161.0,161.0,161.0,144.0,144.0,0.0,0.0,161.0,0.0,0.0,19.0,0.0,0.0,0.0
2021-01-15,KY,"CONTINUING CARE HOSPITAL, INC",LEXINGTON,Long Term,23.0,23.0,23.0,20.0,20.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,161.0,161.0,140.0,140.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-14,KY,FLEMING COUNTY HOSPITAL,FLEMINGSBURG,Critical Access Hospitals,25.0,,,13.1,13.1,,,,4.0,,0.0,,,,175.0,,,92.0,92.0,,,,28.0,,0.0,,,
2021-09-24,KY,UOFL HEALTH - SHELBYVILLE HOSPITAL,SHELBYVILLE,Short Term,102.0,18.1,18.6,7.7,7.7,-999999.0,-999999.0,18.6,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,714.0,127.0,130.0,54.0,54.0,24.0,24.0,130.0,25.0,25.0,20.0,20.0,17.0,17.0
2021-10-01,KY,TUG VALLEY ARH REGIONAL MEDICAL CENTER,SOUTH WILLIAMSON,Short Term,113.0,39.7,38.6,35.1,34.0,16.3,15.7,44.3,6.0,6.0,5.9,5.9,4.0,-999999.0,791.0,278.0,270.0,246.0,238.0,114.0,110.0,310.0,42.0,42.0,41.0,41.0,28.0,27.0
2021-10-01,KY,SAINT JOSEPH HOSPITAL,LEXINGTON,Short Term,446.0,335.0,263.0,211.3,211.3,65.6,61.9,263.0,50.0,50.0,45.4,45.4,29.6,28.3,3122.0,2345.0,1841.0,1479.0,1479.0,459.0,433.0,1841.0,350.0,350.0,318.0,318.0,207.0,198.0
2021-09-24,KY,MEADOWVIEW REGIONAL MEDICAL CENTER,MAYSVILLE,Short Term,65.0,100.0,32.0,21.1,21.1,9.3,9.3,32.0,5.0,8.9,4.4,4.4,-999999.0,-999999.0,455.0,700.0,224.0,148.0,148.0,65.0,65.0,224.0,35.0,62.0,31.0,31.0,26.0,27.0
2021-09-24,KY,BLUEGRASS COMMUNITY HOSPITAL,VERSAILLES,Critical Access Hospitals,22.0,14.0,14.0,6.9,6.9,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,98.0,98.0,48.0,48.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,KY,"PINEVILLE COMMUNITY HEALTH CENTER, INC",PINEVILLE,Short Term,90.0,36.9,12.9,10.0,10.0,-999999.0,-999999.0,12.9,4.0,4.0,-999999.0,-999999.0,-999999.0,-999999.0,630.0,258.0,90.0,70.0,70.0,21.0,21.0,90.0,28.0,28.0,21.0,21.0,11.0,11.0
2021-10-01,KY,FLAGET MEMORIAL HOSPITAL,BARDSTOWN,Short Term,40.0,40.0,36.6,27.6,27.6,9.6,9.6,36.6,12.0,12.0,10.0,10.0,4.1,4.6,280.0,280.0,256.0,193.0,193.0,67.0,67.0,256.0,84.0,84.0,70.0,70.0,29.0,32.0
2021-09-17,KY,FLEMING COUNTY HOSPITAL,FLEMINGSBURG,Critical Access Hospitals,25.0,25.0,14.0,9.3,9.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,98.0,65.0,65.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,KY,WHITESBURG ARH HOSPITAL,WHITESBURG,Short Term,90.0,55.4,50.0,49.4,49.4,18.6,17.1,50.0,5.4,5.4,4.4,4.4,-999999.0,-999999.0,630.0,388.0,350.0,346.0,346.0,130.0,120.0,350.0,38.0,38.0,31.0,31.0,15.0,15.0
2021-10-01,KY,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,DANVILLE,Short Term,225.0,169.4,169.4,88.7,88.7,26.7,26.7,170.6,12.6,12.6,11.6,11.6,-999999.0,-999999.0,1575.0,1186.0,1186.0,621.0,621.0,187.0,187.0,1194.0,88.0,88.0,81.0,81.0,16.0,16.0
2021-09-24,KY,THE MEDICAL CENTER AT CAVERNA,HORSE CAVE,Critical Access Hospitals,25.0,25.0,12.0,10.7,10.7,-999999.0,-999999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,84.0,75.0,75.0,-999999.0,-999999.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,KY,CHI SAINT JOSEPH BEREA NF,BEREA,Critical Access Hospitals,25.0,16.4,18.7,17.9,17.9,7.3,7.3,18.7,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,175.0,115.0,131.0,125.0,125.0,51.0,51.0,131.0,27.0,27.0,27.0,27.0,14.0,14.0
2021-09-24,KY,LOURDES HOSPITAL,PADUCAH,Short Term,358.0,184.0,159.3,126.3,125.6,32.3,31.1,159.3,38.6,40.0,16.3,16.3,9.1,9.1,2506.0,1288.0,1115.0,884.0,879.0,226.0,218.0,1115.0,270.0,280.0,114.0,114.0,64.0,64.0
2021-09-24,KY,NORTON HOSPITAL / NORTON HEALTHCARE PAVILION / NOR,LOUISVILLE,Short Term,1721.0,1142.1,970.4,1073.9,913.6,248.7,106.7,1138.3,158.4,117.4,106.9,106.9,46.3,29.4,12047.0,7995.0,6793.0,7517.0,6395.0,1741.0,747.0,7968.0,1109.0,822.0,748.0,748.0,324.0,206.0
2021-09-24,KY,UOFL HEALTH - JEWISH HOSPITAL,LOUISVILLE,Short Term,783.7,444.6,444.6,387.1,387.1,62.9,62.7,444.6,61.0,61.0,57.3,57.3,19.1,19.1,5486.0,3112.0,3112.0,2710.0,2710.0,440.0,439.0,3112.0,427.0,427.0,401.0,401.0,134.0,134.0
2021-09-24,KY,SAINT JOSEPH HOSPITAL,LEXINGTON,Short Term,446.0,335.0,263.0,220.6,220.6,67.6,64.3,263.0,50.0,50.0,46.9,46.9,30.4,30.4,3122.0,2345.0,1841.0,1544.0,1544.0,473.0,450.0,1841.0,350.0,350.0,328.0,328.0,213.0,213.0
2021-09-24,KY,TUG VALLEY ARH REGIONAL MEDICAL CENTER,SOUTH WILLIAMSON,Short Term,113.0,40.0,40.4,40.4,39.9,14.9,14.4,42.7,6.0,6.0,6.0,6.0,4.0,-999999.0,791.0,280.0,283.0,283.0,279.0,104.0,101.0,299.0,42.0,42.0,42.0,42.0,28.0,26.0
2021-10-01,KY,PAUL B HALL REGIONAL MEDICAL CENTER,PAINTSVILLE,Short Term,72.0,72.0,27.6,27.6,27.6,7.7,6.9,27.6,7.0,7.0,7.0,7.0,-999999.0,-999999.0,504.0,504.0,193.0,193.0,193.0,54.0,48.0,193.0,49.0,49.0,49.0,49.0,17.0,14.0
2021-10-01,KY,KINDRED HOSPITAL LOUISVILLE,LOUISVILLE,Long Term,414.0,414.0,96.9,86.6,86.6,-999999.0,-999999.0,96.9,9.1,9.1,4.7,4.7,-999999.0,-999999.0,2898.0,2898.0,678.0,606.0,606.0,5.0,5.0,678.0,64.0,64.0,33.0,33.0,5.0,5.0
2021-09-24,KY,CARROLL COUNTY MEMORIAL HOSPITAL,CARROLLTON,Critical Access Hospitals,29.0,25.0,12.0,7.6,7.6,-999999.0,-999999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,175.0,84.0,53.0,53.0,15.0,15.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,KY,THE MEDICAL CENTER AT FRANKLIN,FRANKLIN,Critical Access Hospitals,25.0,25.0,18.0,13.3,13.3,-999999.0,-999999.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,126.0,93.0,93.0,-999999.0,-999999.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,KY,ST ELIZABETH FT THOMAS,FORT THOMAS,Short Term,190.0,128.0,116.7,110.4,110.4,37.1,43.0,116.7,12.6,12.6,12.4,12.4,10.4,-999999.0,1330.0,896.0,817.0,773.0,773.0,260.0,301.0,817.0,88.0,88.0,87.0,87.0,73.0,26.0
2021-10-01,KY,ADVENTHEALTH MANCHESTER,MANCHESTER,Short Term,49.0,46.3,38.0,17.0,17.0,12.9,12.9,38.0,12.0,12.0,10.9,6.0,7.6,7.6,343.0,324.0,266.0,119.0,119.0,90.0,90.0,266.0,84.0,84.0,76.0,42.0,53.0,53.0
2021-09-24,KY,BRECKINRIDGE MEMORIAL HOSPITAL,HARDINSBURG,Critical Access Hospitals,30.0,25.0,25.0,11.1,11.1,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,175.0,175.0,78.0,78.0,16.0,13.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,KY,BARBOURVILLE ARH HOSPITAL,BARBOURVILLE,Critical Access Hospitals,35.0,25.0,25.0,18.9,18.9,6.7,6.7,25.0,6.0,6.0,5.3,5.3,-999999.0,-999999.0,245.0,175.0,175.0,132.0,132.0,47.0,47.0,175.0,42.0,42.0,37.0,37.0,19.0,18.0
2021-09-17,KY,SAINT JOSEPH HOSPITAL,LEXINGTON,Short Term,446.0,335.0,263.0,206.3,206.3,65.3,61.9,263.0,50.0,50.0,45.7,45.7,25.7,25.7,3122.0,2345.0,1841.0,1444.0,1444.0,457.0,433.0,1841.0,350.0,350.0,320.0,320.0,180.0,180.0
2021-09-17,KY,CHI SAINT JOSEPH LONDON,LONDON,Short Term,203.0,123.1,123.1,109.4,109.4,63.4,63.4,123.1,48.0,48.0,43.4,43.4,18.3,18.3,1421.0,862.0,862.0,766.0,766.0,444.0,444.0,862.0,336.0,336.0,304.0,304.0,128.0,128.0
2021-10-01,KY,ST ELIZABETH FLORENCE,FLORENCE,Short Term,218.0,175.0,131.6,131.1,131.1,24.9,24.6,131.6,16.7,16.7,16.6,16.6,7.7,7.7,1526.0,1225.0,921.0,918.0,918.0,174.0,172.0,921.0,117.0,117.0,116.0,116.0,54.0,54.0
2021-10-01,KY,THE MEDICAL CENTER AT BOWLING GREEN,BOWLING GREEN,Short Term,316.0,310.0,245.7,235.7,235.7,33.7,33.7,252.6,63.3,56.4,56.4,56.4,12.3,10.1,2212.0,2170.0,1720.0,1650.0,1650.0,236.0,236.0,1768.0,443.0,395.0,395.0,395.0,86.0,71.0
2021-09-17,KY,MORGAN COUNTY ARH HOSPITAL,WEST LIBERTY,Critical Access Hospitals,25.0,25.0,20.3,4.4,4.4,-999999.0,-999999.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,142.0,31.0,31.0,27.0,27.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,KY,HARLAN ARH HOSPITAL,HARLAN,Short Term,120.0,53.7,53.3,46.1,46.1,19.4,16.0,53.3,7.1,7.1,6.7,6.7,-999999.0,-999999.0,840.0,376.0,373.0,323.0,323.0,136.0,112.0,373.0,50.0,50.0,47.0,47.0,19.0,18.0
2021-09-24,KY,BOURBON COMMUNITY HOSPITAL,PARIS,Short Term,58.0,21.0,13.6,11.1,11.1,6.3,6.3,13.6,5.4,5.4,-999999.0,-999999.0,-999999.0,-999999.0,406.0,147.0,95.0,78.0,78.0,44.0,44.0,95.0,38.0,38.0,14.0,14.0,10.0,10.0
2021-10-01,KY,"LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC",SALEM,Critical Access Hospitals,25.0,25.0,18.0,9.4,9.4,-999999.0,-999999.0,18.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,175.0,175.0,126.0,66.0,66.0,5.0,5.0,126.0,14.0,14.0,11.0,11.0,-999999.0,-999999.0
2021-09-17,KY,THE JAMES B HAGGIN MEMORIAL HOSPITAL,HARRODSBURG,Critical Access Hospitals,46.0,25.0,25.0,18.6,18.6,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,175.0,175.0,130.0,130.0,14.0,14.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,KY,JENNIE STUART MEDICAL CENTER,HOPKINSVILLE,Short Term,126.0,98.0,98.0,78.6,78.6,33.7,32.4,120.0,8.0,8.0,8.0,8.0,5.9,5.0,882.0,686.0,686.0,550.0,550.0,236.0,227.0,840.0,56.0,56.0,56.0,56.0,41.0,35.0
2021-10-01,KY,UNIVERSITY OF LOUISVILLE HOSPITAL,LOUISVILLE,Short Term,404.0,346.0,346.0,280.6,280.6,28.3,28.3,346.0,78.0,78.0,74.7,74.7,7.3,7.3,2828.0,2422.0,2422.0,1964.0,1964.0,198.0,198.0,2422.0,546.0,546.0,523.0,523.0,51.0,51.0
2021-09-17,KY,ST CLAIRE REGIONAL MEDICAL CENTER,MOREHEAD,Short Term,159.0,135.9,116.6,74.0,73.9,40.9,40.9,116.6,21.1,21.1,15.9,15.9,14.3,14.3,1113.0,951.0,816.0,518.0,517.0,286.0,286.0,816.0,148.0,148.0,111.0,111.0,100.0,100.0
2021-10-01,KY,CLARK REGIONAL MEDICAL CENTER,WINCHESTER,Short Term,79.0,52.0,42.0,39.9,38.6,15.4,15.4,52.0,12.0,12.0,9.9,9.9,7.4,5.6,553.0,364.0,294.0,279.0,270.0,108.0,108.0,364.0,84.0,84.0,69.0,69.0,52.0,39.0
2021-09-17,KY,JANE TODD CRAWFORD HOSPITAL,GREENSBURG,Critical Access Hospitals,25.0,24.6,17.1,16.6,16.6,-999999.0,-999999.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,175.0,172.0,120.0,116.0,116.0,7.0,-999999.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,KY,THREE RIVERS MEDICAL CENTER,LOUISA,Short Term,66.0,38.6,38.6,27.3,27.3,14.3,14.0,38.6,6.0,6.0,6.0,6.0,5.6,5.6,462.0,270.0,270.0,191.0,191.0,100.0,98.0,270.0,42.0,42.0,42.0,42.0,39.0,39.0
