Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-07-02,MI,INSIGHT SURGICAL HOSPITAL,WARREN,Short Term,20.0,20.0,20.0,-999999.0,-999999.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,140.0,8.0,8.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,MI,HEALTHSOURCE SAGINAW,SAGINAW,Short Term,25.0,0.0,0.0,15.7,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,110.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-12,MI,FOREST HEALTH MEDICAL CENTER,YPSILANTI,Short Term,45.0,45.0,23.0,-999999.0,-999999.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,315.0,161.0,26.0,26.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,MI,INSIGHT SURGICAL HOSPITAL,WARREN,Short Term,20.0,20.0,20.0,-999999.0,-999999.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,-999999.0,-999999.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,MI,INSIGHT SURGICAL HOSPITAL,WARREN,Short Term,20.0,20.0,20.0,-999999.0,-999999.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,13.0,13.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,MI,STRAITH HOSPITAL FOR SPECIAL SURGERY,SOUTHFIELD,Short Term,24.0,24.0,24.0,8.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,168.0,56.0,56.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-28,MI,CHILDREN'S HOSPITAL OF MICHIGAN,DETROIT,Childrens Hospitals,189.0,,,99.0,,0.0,0.0,189.0,0.0,,0.0,,0.0,0.0,1323.0,,,693.0,,0.0,0.0,1323.0,0.0,,0.0,,0.0,0.0
2020-07-31,MI,SPARROW EATON HOSPITAL,CHARLOTTE,Critical Access Hospitals,25.0,,,5.0,,,,5.0,0.0,,0.0,,,,125.0,,,25.0,,,,25.0,0.0,,0.0,,,
2021-10-01,MI,MCLAREN NORTHERN MICHIGAN,PETOSKEY,Short Term,238.0,226.0,138.6,124.3,123.1,16.3,16.3,138.6,18.0,17.0,15.0,15.0,7.7,7.7,1666.0,1582.0,970.0,870.0,862.0,114.0,114.0,970.0,126.0,119.0,105.0,105.0,54.0,54.0
2021-10-01,MI,ASCENSION MACOMB OAKLAND HOSP-WARREN CAMPUS,WARREN,Short Term,599.0,599.0,516.0,380.0,380.0,20.6,20.3,516.0,85.0,85.0,55.6,55.6,7.1,7.1,4193.0,4193.0,3612.0,2660.0,2660.0,144.0,142.0,3612.0,595.0,595.0,389.0,389.0,50.0,50.0
2021-09-24,MI,VIBRA HOSPITAL OF SOUTHEASTERN MI-TAYLOR CAMPUS,TAYLOR,Long Term,68.0,68.0,68.0,51.9,51.9,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,476.0,476.0,363.0,363.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,MI,CHILDREN'S HOSPITAL OF MICHIGAN,DETROIT,Childrens Hospitals,228.0,0.0,0.0,198.7,0.0,0.0,0.0,198.7,91.0,0.0,81.1,0.0,0.0,0.0,1596.0,0.0,0.0,1391.0,0.0,0.0,0.0,1391.0,637.0,0.0,568.0,0.0,0.0,0.0
2021-09-17,MI,MIDMICHIGAN MEDICAL CENTER-GRATIOT,ALMA,Short Term,81.0,81.0,59.0,42.9,42.9,9.4,8.9,59.0,18.0,18.0,17.0,17.0,-999999.0,-999999.0,567.0,567.0,413.0,300.0,300.0,66.0,62.0,413.0,126.0,126.0,119.0,119.0,11.0,11.0
