Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-01-29,MN,OLIVIA HOSPITAL & CLINIC,OLIVIA,Critical Access Hospitals,16.0,14.0,14.0,5.6,5.6,-999999.0,-999999.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,98.0,98.0,39.0,39.0,7.0,7.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,MN,LAKEWOOD HEALTH CENTER,BAUDETTE,Critical Access Hospitals,15.0,15.0,8.0,-999999.0,-999999.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,56.0,22.0,22.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,MN,LAKE VIEW MEMORIAL HOSPITAL,TWO HARBORS,Critical Access Hospitals,32.0,,,6.6,,0.0,0.0,32.0,0.0,,0.0,,0.0,0.0,224.0,,,46.0,,0.0,0.0,64.0,0.0,,0.0,,0.0,0.0
2020-08-14,MN,SWIFT COUNTY BENSON HOSPITAL,BENSON,Critical Access Hospitals,11.0,,,0.0,,,,7.6,0.0,,0.0,,,,55.0,,,0.0,,,,38.0,0.0,,0.0,,,
2020-07-31,MN,LAKE VIEW MEMORIAL HOSPITAL,TWO HARBORS,Critical Access Hospitals,32.0,,,8.8,,,,32.0,0.0,,0.0,,,,224.0,,,53.0,,,,96.0,0.0,,0.0,,,
2020-07-31,MN,HUTCHINSON HEALTH,HUTCHINSON,Short Term,86.0,,,11.3,,,,86.0,5.4,,-999999.0,,,,602.0,,,79.0,,,,602.0,38.0,,8.0,,,
2020-07-31,MN,STEVENS COMMUNITY MEDICAL CENTER,MORRIS,Critical Access Hospitals,30.0,30.0,25.0,5.1,5.1,,,25.0,0.0,,0.0,,,,210.0,210.0,175.0,36.0,36.0,,,175.0,0.0,,0.0,,,
2020-07-31,MN,LAKEVIEW MEMORIAL HOSPITAL,STILLWATER,Short Term,75.0,,,29.1,,,,75.0,13.0,,9.1,,,,525.0,,,204.0,,,,525.0,91.0,,64.0,,,
2021-09-24,MN,LIFECARE MEDICAL CENTER,ROSEAU,Critical Access Hospitals,25.0,25.0,25.0,12.0,12.0,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,84.0,84.0,8.0,8.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,MN,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,BRAINERD,Short Term,86.0,85.0,67.3,63.4,63.1,12.7,12.7,68.1,10.0,10.0,5.9,5.9,-999999.0,-999999.0,602.0,595.0,471.0,444.0,442.0,89.0,89.0,477.0,70.0,70.0,41.0,41.0,27.0,27.0
2021-09-24,MN,DISTRICT ONE HOSPITAL,FARIBAULT,Short Term,20.9,20.9,16.9,16.9,15.0,5.9,4.6,16.9,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,118.0,118.0,105.0,41.0,32.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
