Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-03-12,MO,FULTON MEDICAL CENTER LLC,FULTON,Short Term,29.0,29.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,175.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,MO,BELTON REGIONAL MEDICAL CENTER,BELTON,Short Term,68.0,68.0,48.0,25.0,25.0,0.0,0.0,48.0,5.0,5.0,4.0,4.0,0.0,0.0,476.0,476.0,336.0,175.0,175.0,0.0,0.0,336.0,35.0,35.0,28.0,28.0,0.0,0.0
2021-01-08,MO,KINDRED HOSPITAL NORTHLAND,KANSAS CITY,Long Term,50.0,50.0,40.0,34.0,34.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,238.0,238.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-28,MO,"LANDMARK HOSPITAL OF COLUMBIA, LLC",COLUMBIA,Long Term,23.0,,,19.7,19.7,,,23.0,7.0,,-999999.0,-999999.0,,,161.0,,,138.0,138.0,,,161.0,49.0,,22.0,22.0,,
2020-08-21,MO,OZARKS HEALTHCARE,WEST PLAINS,Short Term,114.0,,,59.0,,-999999.0,-999999.0,,12.0,,7.0,,,,798.0,,,413.0,,27.0,27.0,,84.0,,49.0,,,
2020-08-14,MO,FREEMAN HEALTH SYSTEM - FREEMAN WEST,JOPLIN,Short Term,0.0,,,0.0,,19.6,16.0,0.0,0.0,,0.0,,7.4,5.9,0.0,,,0.0,,137.0,112.0,0.0,0.0,,0.0,,52.0,41.0
2020-07-31,MO,COX BARTON COUNTY HOSPITAL,LAMAR,Critical Access Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,MO,WASHINGTON COUNTY MEMORIAL HOSPITAL,POTOSI,Critical Access Hospitals,25.0,25.0,15.0,11.3,11.3,-999999.0,-999999.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,105.0,79.0,79.0,19.0,10.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,MO,PHELPS HEALTH,ROLLA,Short Term,167.1,162.1,136.7,130.9,126.6,30.7,30.7,141.7,16.0,16.0,13.9,13.9,-999999.0,-999999.0,1170.0,1135.0,957.0,916.0,886.0,215.0,215.0,992.0,112.0,112.0,97.0,97.0,26.0,26.0
2021-09-17,MO,SELECT SPECIALTY HOSPITAL-ST LOUIS,SAINT CHARLES,Long Term,71.0,71.0,71.0,61.9,61.9,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,497.0,497.0,433.0,433.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,MO,IRON COUNTY MEDICAL CENTER,PILOT KNOB,Critical Access Hospitals,19.0,19.0,10.0,10.7,10.7,-999999.0,-999999.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,70.0,75.0,75.0,27.0,27.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,MO,SSM HEALTH ST CLARE HOSPITAL - FENTON,FENTON,Short Term,189.6,189.6,153.6,149.1,149.1,25.6,20.7,153.6,16.0,16.0,15.3,15.3,7.0,6.9,1327.0,1327.0,1075.0,1044.0,1044.0,179.0,145.0,1075.0,112.0,112.0,107.0,107.0,49.0,48.0
2021-09-17,MO,COX MONETT HOSPITAL,MONETT,Critical Access Hospitals,17.3,15.0,13.0,12.3,11.0,-999999.0,-999999.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,121.0,105.0,91.0,86.0,77.0,5.0,5.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,MO,ST MARY'S MEDICAL CENTER,BLUE SPRINGS,Short Term,58.0,58.0,58.0,37.7,37.7,9.3,9.3,58.0,8.0,8.0,6.1,6.1,4.0,4.0,406.0,406.0,406.0,264.0,264.0,65.0,65.0,406.0,56.0,56.0,43.0,43.0,28.0,28.0
2021-10-01,MO,RANKEN JORDAN PEDIATRIC BRIDGE HOSPITAL,MARYLAND HEIGHTS,Childrens Hospitals,60.0,0.0,0.0,46.9,0.0,0.0,0.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,328.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,MO,NEVADA REGIONAL MEDICAL CENTER,NEVADA,Short Term,26.9,26.9,26.9,26.9,26.9,-999999.0,-999999.0,26.9,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,188.0,188.0,188.0,188.0,188.0,18.0,18.0,188.0,5.0,5.0,5.0,5.0,-999999.0,-999999.0
2021-10-01,MO,"LANDMARK HOSPITAL OF JOPLIN, LLC",JOPLIN,Long Term,19.1,19.1,19.1,17.4,17.4,9.6,9.6,19.1,0.0,0.0,0.0,0.0,0.0,0.0,134.0,134.0,134.0,122.0,122.0,67.0,67.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,MO,OZARKS HEALTHCARE,WEST PLAINS,Short Term,90.0,90.0,90.0,69.9,65.9,10.9,7.1,90.0,12.0,12.0,10.3,10.3,4.4,-999999.0,630.0,630.0,630.0,489.0,461.0,76.0,50.0,630.0,84.0,84.0,72.0,72.0,31.0,24.0
2021-09-17,MO,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,RICHMOND HEIGHTS,Short Term,477.0,251.6,218.4,419.7,217.1,28.0,24.0,424.9,124.6,19.6,122.9,18.3,7.7,7.7,3339.0,1761.0,1529.0,2938.0,1520.0,196.0,168.0,2974.0,872.0,137.0,860.0,128.0,54.0,54.0
2021-09-24,MO,HARRISON COUNTY COMMUNITY HOSPITAL,BETHANY,Critical Access Hospitals,17.0,17.0,12.0,4.1,4.1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,84.0,29.0,29.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
