Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2020-10-09,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,,,48.7,,0.0,0.0,48.7,8.0,,-999999.0,,,,525.0,,,341.0,,0.0,0.0,341.0,56.0,,12.0,,,
2020-08-28,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,,,53.7,,0.0,0.0,53.7,8.0,,-999999.0,,,,525.0,,,376.0,,0.0,0.0,376.0,56.0,,11.0,,,
2021-10-01,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,48.0,48.0,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,336.0,336.0,5.0,5.0,525.0,56.0,56.0,4.0,4.0,0.0,0.0
2021-09-24,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,51.9,51.9,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,363.0,363.0,7.0,7.0,525.0,56.0,56.0,10.0,10.0,0.0,0.0
2021-09-10,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,47.3,47.3,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,331.0,331.0,7.0,7.0,525.0,56.0,56.0,16.0,16.0,0.0,0.0
2021-09-17,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,52.0,52.0,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,364.0,364.0,7.0,7.0,525.0,56.0,56.0,19.0,19.0,0.0,0.0
2021-09-03,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,44.4,44.4,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,311.0,311.0,7.0,7.0,525.0,56.0,56.0,16.0,16.0,0.0,0.0
2021-08-27,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,60.4,60.4,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,423.0,423.0,7.0,7.0,525.0,56.0,56.0,17.0,17.0,0.0,0.0
2021-08-20,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,48.0,48.0,-999999.0,-999999.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,336.0,336.0,7.0,7.0,525.0,56.0,56.0,14.0,14.0,0.0,0.0
2021-07-30,MP,COMMONWEALTH HEALTH CENTER,GARAPAN,Short Term,75.0,60.0,60.0,47.3,47.3,0.0,0.0,75.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,525.0,420.0,420.0,331.0,331.0,0.0,0.0,525.0,56.0,56.0,18.0,18.0,0.0,0.0
