Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-24,MT,PRAIRIE COMMUNITY HOSPITAL,TERRY,Critical Access Hospitals,26.0,26.0,25.0,17.0,17.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,175.0,119.0,119.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-04,MT,THE HEALTHCENTER,KALISPELL,Short Term,28.0,28.0,,14.1,14.1,,,,,,0.0,,,,196.0,196.0,,99.0,99.0,,,,,,0.0,,,
2020-09-04,MT,FRANCES MAHON DEACONESS HOSPITAL,GLASGOW,Critical Access Hospitals,19.0,,,,,0.0,,19.0,0.0,-999999.0,,,,,19.0,,,,,0.0,,19.0,0.0,-999999.0,,,,
2020-08-28,MT,DEER LODGE MEDICAL CENTER,DEER LODGE,Critical Access Hospitals,16.0,,,4.1,,,,16.0,0.0,,0.0,,,,112.0,,,29.0,,,,112.0,0.0,,0.0,,,
2020-08-28,MT,FRANCES MAHON DEACONESS HOSPITAL,GLASGOW,Critical Access Hospitals,19.0,,,0.0,,,,19.0,,-999999.0,,,,,19.0,,,0.0,,,,19.0,,-999999.0,,,,
2020-08-21,MT,MOUNTAINVIEW MEDICAL CENTER,WHITE SULPHUR SPRING,Critical Access Hospitals,25.0,,,13.2,,,,,4.0,4.0,0.0,,,,125.0,,,66.0,,,,,20.0,20.0,0.0,,,
2020-08-07,MT,STILLWATER BILLINGS CLINIC,COLUMBUS,Critical Access Hospitals,10.0,10.0,,5.2,5.2,,,10.0,,,,,,,50.0,50.0,,26.0,26.0,,,50.0,,,,,,
2021-10-01,MT,GLENDIVE MEDICAL CENTER,GLENDIVE,Critical Access Hospitals,32.0,32.0,25.0,13.0,13.0,-999999.0,-999999.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,224.0,224.0,175.0,91.0,91.0,22.0,22.0,175.0,21.0,21.0,0.0,0.0,0.0,0.0
2021-09-24,MT,CLARK FORK VALLEY HOSPITAL,PLAINS,Critical Access Hospitals,20.0,20.0,6.0,11.0,10.0,6.6,6.6,16.0,-999999.0,-999999.0,0.0,0.0,-999999.0,-999999.0,140.0,140.0,42.0,77.0,70.0,46.0,46.0,112.0,14.0,14.0,0.0,0.0,4.0,4.0
2021-09-24,MT,ST PATRICK HOSPITAL,MISSOULA,Short Term,209.0,203.0,203.0,158.3,154.6,35.3,34.7,203.0,23.0,23.0,19.0,19.0,8.3,8.3,1463.0,1421.0,1421.0,1108.0,1082.0,247.0,243.0,1421.0,161.0,161.0,133.0,133.0,58.0,58.0
