Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-06-11,ND,NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,Critical Access Hospitals,10.0,10.0,8.0,-999999.0,-999999.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,24.0,11.0,11.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,ND,NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,Critical Access Hospitals,10.0,10.0,8.0,4.3,4.3,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,56.0,30.0,30.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,CHI LISBON HEALTH,LISBON,Critical Access Hospitals,20.0,20.0,13.0,10.7,10.7,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,91.0,75.0,75.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,SOUTHWEST HEALTHCARE SERVICES,BOWMAN,Critical Access Hospitals,8.0,8.0,8.0,7.6,7.6,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,53.0,53.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,SANFORD MEDICAL CENTER MAYVILLE,MAYVILLE,Critical Access Hospitals,8.0,8.0,8.0,4.7,4.7,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,33.0,33.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,NELSON COUNTY HEALTH SYSTEM,MCVILLE,Critical Access Hospitals,8.0,8.0,8.0,-999999.0,-999999.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,12.0,12.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,CAVALIER COUNTY MEMORIAL HOSPITAL ASSOCIATION,LANGDON,Critical Access Hospitals,8.0,8.0,6.0,-999999.0,-999999.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,42.0,16.0,16.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,GARRISON MEMORIAL HOSPITAL,GARRISON,Critical Access Hospitals,17.7,17.7,17.7,6.0,6.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0,124.0,42.0,42.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,SOUTHWEST HEALTHCARE SERVICES,BOWMAN,Critical Access Hospitals,9.4,9.4,8.0,7.0,7.0,-999999.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,56.0,49.0,49.0,4.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,MCKENZIE COUNTY HEALTHCARE SYSTEMS INC,WATFORD CITY,Critical Access Hospitals,12.0,12.0,10.0,9.4,9.4,-999999.0,-999999.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,70.0,66.0,66.0,11.0,11.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,CHI ST ALEXIUS HEALTH TURTLE LAKE,TURTLE LAKE,Critical Access Hospitals,25.3,25.3,20.0,17.0,17.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,177.0,140.0,119.0,119.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,SANFORD MEDICAL CENTER MAYVILLE,MAYVILLE,Critical Access Hospitals,8.0,8.0,8.0,-999999.0,-999999.0,-999999.0,-999999.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,56.0,26.0,26.0,-999999.0,-999999.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,VIBRA HOSPITAL OF FARGO,FARGO,Long Term,31.0,31.0,31.0,26.6,26.6,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,217.0,217.0,186.0,186.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,GARRISON MEMORIAL HOSPITAL,GARRISON,Critical Access Hospitals,18.0,18.0,18.0,7.7,7.7,-999999.0,-999999.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,54.0,54.0,-999999.0,-999999.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,ND,TIOGA MEDICAL CENTER,TIOGA,Critical Access Hospitals,10.6,10.6,7.6,5.7,5.7,-999999.0,-999999.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,53.0,40.0,40.0,-999999.0,-999999.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,SANFORD MEDICAL CENTER BISMARCK,BISMARCK,Short Term,267.0,267.0,267.0,224.1,170.4,47.6,39.3,267.0,28.0,14.0,20.1,11.1,6.4,6.3,1869.0,1869.0,1869.0,1569.0,1193.0,333.0,275.0,1869.0,196.0,98.0,141.0,78.0,45.0,44.0
2021-09-24,ND,JACOBSON MEMORIAL HOSPITAL CARE CENTER,ELGIN,Critical Access Hospitals,25.0,25.0,25.0,20.9,20.9,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,146.0,146.0,11.0,11.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,ST ALOISIUS MEDICAL CENTER,HARVEY,Critical Access Hospitals,9.0,9.0,9.0,4.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,28.0,28.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,ND,PRESENTATION MEDICAL CENTER,ROLLA,Critical Access Hospitals,17.0,17.0,14.0,7.3,7.3,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,98.0,51.0,51.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
