Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2020-09-11,NE,WARREN MEMORIAL HOSPITAL,FRIEND,Critical Access Hospitals,,,17.0,-999999.0,-999999.0,,,17.0,0.0,0.0,0.0,0.0,,,,,17.0,-999999.0,-999999.0,,,17.0,0.0,0.0,0.0,0.0,,
2020-09-04,NE,MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,LINCOLN,Long Term,76.0,76.0,76.0,31.3,31.3,-999999.0,,76.0,0.0,,0.0,,,,532.0,532.0,532.0,219.0,219.0,-999999.0,,532.0,0.0,,0.0,,,
2020-08-28,NE,THE NEBRASKA MEDICAL CENTER,OMAHA,Short Term,,,757.6,640.6,605.4,,,813.4,152.9,112.0,112.9,91.1,,,,,5303.0,4484.0,4238.0,,,5694.0,1070.0,784.0,790.0,638.0,,
2020-08-28,NE,MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,LINCOLN,Long Term,76.0,76.0,76.0,35.1,35.1,0.0,,76.0,0.0,,0.0,,,,532.0,532.0,532.0,246.0,246.0,0.0,,532.0,0.0,,0.0,,,
2020-08-28,NE,VALLEY COUNTY HEALTH SYSTEM,ORD,Critical Access Hospitals,,,17.0,4.0,4.0,,,17.0,0.0,0.0,0.0,0.0,,,,,68.0,16.0,16.0,,,68.0,0.0,0.0,0.0,0.0,,
2020-07-31,NE,COZAD COMMUNITY HOSPITAL,COZAD,Critical Access Hospitals,18.0,,,-999999.0,,,,,-999999.0,,0.0,,,,126.0,,,18.0,,,,,7.0,,0.0,,,
2021-09-24,NE,CHI HEALTH MIDLANDS,PAPILLION,Short Term,40.0,40.0,24.3,14.1,14.1,-999999.0,-999999.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,170.0,99.0,99.0,23.0,23.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,NE,CHI HEALTH ST MARY'S,NEBRASKA CITY,Critical Access Hospitals,18.0,15.0,15.0,10.9,10.4,-999999.0,-999999.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,105.0,105.0,76.0,73.0,22.0,22.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NE,JENNIE M MELHAM MEMORIAL MEDICAL CENTER,BROKEN BOW,Critical Access Hospitals,15.4,14.7,7.6,6.6,5.9,-999999.0,-999999.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,108.0,103.0,53.0,46.0,41.0,21.0,21.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NE,METHODIST HOSPITAL,OMAHA,Short Term,439.0,329.0,307.4,248.7,248.7,33.1,33.1,307.4,44.3,44.3,34.1,34.1,10.1,10.1,3073.0,2303.0,2152.0,1741.0,1741.0,232.0,232.0,2152.0,310.0,310.0,239.0,239.0,71.0,71.0
2021-09-24,NE,CHI HEALTH GOOD SAMARITAN,KEARNEY,Short Term,130.0,110.0,105.9,103.7,94.9,19.3,18.6,119.9,25.7,15.7,18.9,13.7,6.4,6.4,910.0,770.0,741.0,726.0,664.0,135.0,130.0,839.0,180.0,110.0,132.0,96.0,45.0,45.0
2021-09-17,NE,LINCOLN SURGICAL HOSPITAL,LINCOLN,Short Term,52.0,52.0,21.0,-999999.0,-999999.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,364.0,147.0,6.0,6.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NE,FILLMORE COUNTY HOSPITAL,GENEVA,Critical Access Hospitals,17.0,15.0,11.7,5.6,5.6,-999999.0,-999999.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,119.0,105.0,82.0,39.0,39.0,17.0,17.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NE,BOX BUTTE GENERAL HOSPITAL,ALLIANCE,Critical Access Hospitals,30.4,24.4,23.0,12.1,12.1,5.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,171.0,161.0,85.0,85.0,35.0,35.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NE,MEMORIAL HOSPITAL,AURORA,Critical Access Hospitals,16.0,12.0,10.0,4.4,4.4,-999999.0,-999999.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,84.0,70.0,31.0,31.0,-999999.0,-999999.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NE,GRAND ISLAND REGIONAL MEDICAL CENTER,GRAND ISLAND,Short Term,50.3,27.3,19.3,18.1,18.1,-999999.0,-999999.0,19.3,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,352.0,191.0,135.0,127.0,127.0,25.0,25.0,135.0,19.0,19.0,18.0,18.0,25.0,25.0
2021-09-17,NE,WARREN MEMORIAL HOSPITAL,FRIEND,Critical Access Hospitals,5.0,5.0,-999999.0,-999999.0,-999999.0,0.0,0.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,21.0,14.0,14.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
