Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-10-01,NH,ALICE PECK DAY MEMORIAL HOSPITAL,LEBANON,Critical Access Hospitals,39.0,39.0,23.0,17.1,17.1,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,273.0,161.0,120.0,120.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,NH,WENTWORTH-DOUGLASS HOSPITAL,DOVER,Short Term,242.0,212.0,155.0,168.0,153.1,15.0,13.6,185.0,10.0,10.0,8.6,8.6,-999999.0,-999999.0,1694.0,1484.0,1085.0,1176.0,1072.0,105.0,95.0,1295.0,70.0,70.0,60.0,60.0,22.0,22.0
2021-09-17,NH,CONCORD HOSPITAL- FRANKLIN,FRANKLIN,Critical Access Hospitals,38.0,38.0,30.0,15.6,15.4,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,210.0,109.0,108.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NH,SOUTHERN NH MEDICAL CENTER,NASHUA,Short Term,189.0,155.0,131.0,133.0,123.3,7.3,7.3,165.0,11.0,11.0,9.7,9.7,-999999.0,-999999.0,1323.0,1085.0,917.0,931.0,863.0,51.0,51.0,1155.0,77.0,77.0,68.0,68.0,19.0,19.0
2021-09-24,NH,"MEMORIAL HOSPITAL, THE",NORTH CONWAY,Critical Access Hospitals,45.0,45.0,35.0,17.7,17.7,-999999.0,-999999.0,35.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,315.0,315.0,245.0,124.0,124.0,-999999.0,-999999.0,245.0,21.0,21.0,10.0,10.0,0.0,0.0
2021-09-24,NH,NEW LONDON HOSPITAL,NEW LONDON,Critical Access Hospitals,21.3,20.0,17.4,12.3,12.3,-999999.0,-999999.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,149.0,140.0,122.0,86.0,86.0,-999999.0,-999999.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,NH,CONCORD HOSPITAL- LACONIA,LACONIA,Short Term,68.0,68.0,68.0,47.4,47.4,7.6,7.0,68.0,8.7,8.7,5.7,5.6,-999999.0,-999999.0,476.0,476.0,476.0,332.0,332.0,53.0,49.0,476.0,61.0,61.0,40.0,39.0,19.0,12.0
2021-10-01,NH,COTTAGE HOSPITAL,WOODSVILLE,Critical Access Hospitals,35.0,35.0,35.0,22.6,16.9,0.0,0.0,35.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,245.0,245.0,245.0,158.0,118.0,0.0,0.0,245.0,21.0,21.0,7.0,7.0,0.0,0.0
2021-10-01,NH,ANDROSCOGGIN VALLEY HOSPITAL,BERLIN,Critical Access Hospitals,25.0,25.0,25.0,17.6,17.6,7.0,6.9,25.0,5.0,5.0,-999999.0,-999999.0,-999999.0,-999999.0,175.0,175.0,175.0,123.0,123.0,49.0,48.0,175.0,35.0,35.0,26.0,26.0,16.0,16.0
2021-09-17,NH,SPEARE MEMORIAL HOSPITAL,PLYMOUTH,Critical Access Hospitals,38.0,38.0,25.0,20.9,20.4,0.0,0.0,25.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,266.0,266.0,175.0,146.0,143.0,0.0,0.0,175.0,28.0,28.0,27.0,27.0,0.0,0.0
2021-10-01,NH,CONCORD HOSPITAL- LACONIA,LACONIA,Short Term,68.0,68.0,68.0,45.4,45.4,5.4,4.9,68.0,8.0,8.0,6.9,6.9,-999999.0,-999999.0,476.0,476.0,476.0,318.0,318.0,38.0,34.0,476.0,56.0,56.0,48.0,48.0,26.0,20.0
