Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-07-16,NJ,"MATHENY SCHOOL & HOSPITAL, THE",PEAPACK,Long Term,101.0,69.7,69.7,101.0,69.7,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,488.0,488.0,707.0,488.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-21,NJ,SILVER LAKE HOSPITAL,NEWARK,Long Term,136.0,136.0,136.0,58.4,58.4,182.0,57.0,136.0,0.0,,0.0,,,,680.0,680.0,680.0,292.0,292.0,910.0,285.0,680.0,0.0,,0.0,,,
2020-08-14,NJ,VIRTUA OUR LADY OF LOURDES HOSPITAL,CAMDEN,Short Term,318.0,247.0,247.0,196.9,168.7,,6.1,318.0,73.0,,35.6,,,4.0,2226.0,1729.0,1729.0,1378.0,1181.0,,43.0,2226.0,511.0,,249.0,,,28.0
2020-08-07,NJ,ST JOSEPH'S UNIVERSITY MEDICAL CENTER,PATERSON,Short Term,631.0,,,400.6,,,,,101.0,,35.3,,,,4417.0,,,2804.0,,,,,303.0,,247.0,,,
2021-10-01,NJ,RIVERVIEW MEDICAL CENTER,RED BANK,Short Term,408.0,403.0,335.3,199.9,199.9,6.7,6.4,335.3,61.0,61.0,9.9,9.9,-999999.0,-999999.0,2856.0,2821.0,2347.0,1399.0,1399.0,47.0,45.0,2347.0,427.0,427.0,69.0,69.0,-999999.0,-999999.0
2021-09-24,NJ,CHILDREN'S SPECIALIZED HOSPITAL,NEW BRUNSWICK,Childrens Hospitals,68.0,0.0,0.0,51.7,0.0,-999999.0,-999999.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,362.0,0.0,4.0,-999999.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NJ,HACKENSACK UNIVERSITY MEDICAL CENTER,HACKENSACK,Short Term,889.0,801.0,801.0,571.1,517.1,54.3,50.4,866.0,208.0,193.0,58.7,46.1,11.3,11.3,6223.0,5607.0,5607.0,3998.0,3620.0,380.0,353.0,6062.0,1456.0,1351.0,411.0,323.0,79.0,79.0
2021-10-01,NJ,CAPITAL HEALTH REGIONAL MEDICAL CENTER,TRENTON,Short Term,226.0,225.0,189.0,157.4,157.4,20.0,20.0,190.0,40.0,40.0,34.4,34.4,6.6,6.6,1582.0,1575.0,1323.0,1102.0,1102.0,140.0,140.0,1330.0,280.0,280.0,241.0,241.0,46.0,46.0
2021-09-24,NJ,SOUTHERN OCEAN MEDICAL CENTER,MANAHAWKIN,Short Term,246.0,246.0,205.0,125.1,125.1,13.6,13.0,205.0,44.0,44.0,9.0,9.0,-999999.0,-999999.0,1722.0,1722.0,1435.0,876.0,876.0,95.0,91.0,1435.0,308.0,308.0,63.0,63.0,27.0,27.0
2021-09-24,NJ,RARITAN BAY MEDICAL CENTER,PERTH AMBOY,Short Term,287.0,287.0,252.4,175.0,175.0,14.1,13.6,252.4,68.0,68.0,7.7,7.7,-999999.0,-999999.0,2009.0,2009.0,1767.0,1225.0,1225.0,99.0,95.0,1767.0,476.0,476.0,54.0,54.0,24.0,22.0
2021-09-24,NJ,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,HAMILTON,Short Term,153.0,153.0,153.0,77.0,77.0,7.7,7.7,153.0,20.0,20.0,9.0,9.0,-999999.0,-999999.0,1071.0,1071.0,1071.0,539.0,539.0,54.0,54.0,1071.0,140.0,140.0,63.0,63.0,-999999.0,-999999.0
2021-09-24,NJ,SPECIALTY HOSPITAL OF CENTRAL JERSEY,LAKEWOOD,Long Term,50.0,50.0,50.0,27.1,27.1,0.0,0.0,50.0,10.0,10.0,10.0,10.0,0.0,0.0,350.0,350.0,350.0,190.0,190.0,0.0,0.0,350.0,70.0,70.0,70.0,70.0,0.0,0.0
2021-10-01,NJ,OVERLOOK MEDICAL CENTER,SUMMIT,Short Term,546.0,486.9,486.9,326.9,300.6,16.3,16.3,546.0,69.0,54.0,35.6,27.9,-999999.0,-999999.0,3822.0,3408.0,3408.0,2288.0,2104.0,114.0,114.0,3822.0,483.0,378.0,249.0,195.0,24.0,24.0
2021-09-17,NJ,CHILTON MEDICAL CENTER,POMPTON PLAINS,Short Term,242.0,210.0,210.0,137.0,132.6,9.7,9.7,242.0,34.7,30.7,12.1,11.6,4.0,4.0,1694.0,1470.0,1470.0,959.0,928.0,68.0,68.0,1694.0,243.0,215.0,85.0,81.0,28.0,28.0
2021-09-24,NJ,ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,ATLANTIC CITY,Short Term,602.0,592.0,534.0,357.9,352.1,44.7,44.1,544.0,52.0,52.0,39.7,39.7,-999999.0,-999999.0,4214.0,4144.0,3738.0,2505.0,2465.0,313.0,309.0,3808.0,364.0,364.0,278.0,278.0,18.0,18.0
2021-09-17,NJ,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,HAMILTON,Short Term,153.0,153.0,153.0,81.4,81.4,9.3,9.3,153.0,20.0,20.0,8.9,8.9,-999999.0,-999999.0,1071.0,1071.0,1071.0,570.0,570.0,65.0,65.0,1071.0,140.0,140.0,62.0,62.0,11.0,11.0
2021-10-01,NJ,WEISMAN CHILDRENS REHABILITATION HOSPITAL,MARLTON,Childrens Hospitals,18.0,0.0,0.0,6.1,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,43.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NJ,UNIVERSITY HOSPITAL,NEWARK,Short Term,495.0,442.0,385.0,324.4,308.3,10.4,9.3,427.0,85.0,65.0,47.6,37.6,-999999.0,-999999.0,3465.0,3094.0,2695.0,2271.0,2158.0,73.0,65.0,2989.0,595.0,455.0,333.0,263.0,7.0,7.0
2021-09-17,NJ,HOLY NAME MEDICAL CENTER,TEANECK,Short Term,401.0,353.0,231.0,190.7,178.7,10.7,9.6,279.0,66.0,66.0,12.1,12.1,-999999.0,-999999.0,2807.0,2471.0,1617.0,1335.0,1251.0,75.0,67.0,1953.0,462.0,462.0,85.0,85.0,6.0,6.0
2021-10-01,NJ,SALEM MEDICAL CENTER,SALEM,Short Term,126.0,126.0,126.0,31.4,31.4,4.3,-999999.0,126.0,12.0,12.0,6.0,6.0,-999999.0,-999999.0,882.0,882.0,882.0,220.0,220.0,30.0,17.0,882.0,84.0,84.0,42.0,42.0,8.0,6.0
2021-09-24,NJ,CLARA MAASS MEDICAL CENTER,BELLEVILLE,Short Term,455.0,449.0,410.0,280.4,266.1,11.9,11.6,421.0,48.0,48.0,16.0,16.0,-999999.0,-999999.0,3185.0,3143.0,2870.0,1963.0,1863.0,83.0,81.0,2947.0,336.0,336.0,112.0,112.0,18.0,18.0
2021-10-01,NJ,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,ENGLEWOOD,Short Term,346.1,289.1,289.1,214.0,186.1,-999999.0,-999999.0,346.1,31.0,20.0,19.6,11.6,-999999.0,-999999.0,2423.0,2024.0,2024.0,1498.0,1303.0,20.0,20.0,2423.0,217.0,140.0,137.0,81.0,-999999.0,-999999.0
2021-09-24,NJ,VIRTUA WILLINGBORO HOSPITAL,WILLINGBORO,Short Term,169.0,120.0,120.0,97.3,61.6,7.1,6.3,169.0,20.0,20.0,7.3,7.3,-999999.0,-999999.0,1183.0,840.0,840.0,681.0,431.0,50.0,44.0,1183.0,140.0,140.0,51.0,51.0,10.0,8.0
2021-10-01,NJ,CENTRASTATE MEDICAL CENTER,FREEHOLD,Short Term,288.0,273.0,230.0,207.0,201.9,26.7,24.3,237.0,34.0,26.0,11.0,10.6,-999999.0,-999999.0,2016.0,1911.0,1610.0,1449.0,1413.0,187.0,170.0,1659.0,238.0,182.0,77.0,74.0,27.0,25.0
2021-09-24,NJ,HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL,WESTWOOD,Short Term,130.0,130.0,105.0,40.4,40.4,-999999.0,-999999.0,105.0,18.0,18.0,-999999.0,-999999.0,-999999.0,0.0,910.0,910.0,735.0,283.0,283.0,15.0,6.0,735.0,126.0,126.0,23.0,23.0,4.0,0.0
2021-09-24,NJ,ST LUKE'S WARREN HOSPITAL,PHILLIPSBURG,Short Term,103.0,103.0,103.0,68.4,68.4,6.1,6.1,103.0,12.0,12.0,7.4,7.4,-999999.0,-999999.0,721.0,721.0,721.0,479.0,479.0,43.0,43.0,721.0,84.0,84.0,52.0,52.0,21.0,21.0
2021-10-01,NJ,PALISADES MEDICAL CENTER,NORTH BERGEN,Short Term,202.0,202.0,174.0,93.6,93.6,5.0,4.7,174.0,26.0,26.0,7.7,7.7,-999999.0,-999999.0,1414.0,1414.0,1218.0,655.0,655.0,35.0,33.0,1218.0,182.0,182.0,54.0,54.0,14.0,13.0
2021-09-17,NJ,INSPIRA MEDICAL CENTER VINELAND,VINELAND,Short Term,548.0,508.0,508.0,389.1,384.1,69.6,62.9,548.0,56.0,56.0,39.9,39.9,11.7,11.7,3836.0,3556.0,3556.0,2724.0,2689.0,487.0,440.0,3836.0,392.0,392.0,279.0,279.0,82.0,82.0
2021-09-17,NJ,UNIVERSITY HOSPITAL,NEWARK,Short Term,495.0,442.0,385.0,320.1,302.0,14.9,14.7,427.0,85.0,65.0,45.4,36.6,-999999.0,-999999.0,3465.0,3094.0,2695.0,2241.0,2114.0,104.0,103.0,2989.0,595.0,455.0,318.0,256.0,13.0,13.0
2021-09-24,NJ,CARE ONE AT TRINITAS REGIONAL MEDICAL CENTER,ELIZABETH,Long Term,75.0,75.0,75.0,46.7,46.7,-999999.0,-999999.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,525.0,525.0,327.0,327.0,18.0,12.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NJ,CAREPOINT HEALTH-CHRIST HOSPITAL,JERSEY CITY,Short Term,140.0,140.0,140.0,114.7,114.7,-999999.0,-999999.0,140.0,18.0,18.0,13.1,12.3,-999999.0,-999999.0,980.0,980.0,980.0,803.0,803.0,21.0,21.0,980.0,126.0,126.0,92.0,86.0,11.0,11.0
2021-09-17,NJ,SAINT PETER'S UNIVERSITY HOSPITAL,NEW BRUNSWICK,Short Term,599.0,384.0,328.0,281.9,193.9,17.1,17.0,518.0,90.0,28.0,59.4,14.7,-999999.0,-999999.0,4193.0,2688.0,2296.0,1973.0,1357.0,120.0,119.0,3626.0,630.0,196.0,416.0,103.0,21.0,21.0
2021-09-24,NJ,"CAPE REGIONAL MEDICAL CENTER, INC",CAPE MAY COURT HOUSE,Short Term,125.0,125.0,125.0,96.3,94.9,11.0,11.0,125.0,16.0,16.0,9.9,9.9,-999999.0,-999999.0,875.0,875.0,875.0,674.0,664.0,77.0,77.0,875.0,112.0,112.0,69.0,69.0,5.0,5.0
