Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-06-11,NM,ROOSEVELT GENERAL HOSPITAL,PORTALES,Short Term,22.0,22.0,17.7,-999999.0,-999999.0,0.0,0.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,154.0,154.0,124.0,24.0,24.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,NM,UNION COUNTY GENERAL HOSPITAL,CLAYTON,Critical Access Hospitals,29.0,29.0,25.0,-999999.0,-999999.0,0.0,0.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,203.0,203.0,175.0,18.0,18.0,0.0,0.0,175.0,6.0,6.0,0.0,0.0,0.0,0.0
2021-02-12,NM,THREE CROSSES REGIONAL HOSPITAL LLC,LAS CRUCES,Short Term,46.0,46.0,10.9,-999999.0,-999999.0,0.0,0.0,46.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,322.0,322.0,76.0,8.0,8.0,0.0,0.0,322.0,14.0,14.0,0.0,0.0,0.0,0.0
2020-10-30,NM,MIMBRES MEMORIAL HOSPITAL,DEMING,Critical Access Hospitals,34.0,26.0,8.9,11.6,11.6,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,182.0,62.0,81.0,81.0,4.0,4.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NM,PRESBYTERIAN HOSPITAL,ALBUQUERQUE,Short Term,755.0,665.0,520.0,626.9,504.9,79.6,78.3,704.0,145.0,64.0,112.4,56.6,16.1,16.0,5285.0,4655.0,3640.0,4388.0,3534.0,557.0,548.0,4928.0,1015.0,448.0,787.0,396.0,113.0,112.0
2021-10-01,NM,CIBOLA GENERAL HOSPITAL,GRANTS,Critical Access Hospitals,17.4,17.4,11.0,7.7,7.7,-999999.0,-999999.0,11.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,122.0,122.0,77.0,54.0,54.0,16.0,16.0,77.0,14.0,14.0,14.0,14.0,14.0,14.0
2021-09-24,NM,COVENANT HEALTH HOBBS HOSPITAL,HOBBS,Short Term,42.3,42.3,24.0,23.3,23.3,9.6,8.7,24.0,6.0,6.0,5.7,5.7,-999999.0,-999999.0,296.0,296.0,168.0,163.0,163.0,67.0,61.0,168.0,42.0,42.0,40.0,40.0,27.0,26.0
2021-10-01,NM,PRESBYTERIAN ESPANOLA HOSPITAL,ESPANOLA,Short Term,32.0,32.0,30.0,21.9,20.6,-999999.0,-999999.0,30.0,6.0,6.0,4.4,4.4,-999999.0,-999999.0,224.0,224.0,210.0,153.0,144.0,24.0,24.0,210.0,42.0,42.0,31.0,31.0,15.0,15.0
2021-09-24,NM,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,LAS CRUCES,Short Term,174.0,142.0,142.0,111.9,100.9,11.1,11.1,174.0,20.7,20.7,20.7,20.7,5.9,5.9,1218.0,994.0,994.0,783.0,706.0,78.0,78.0,1218.0,145.0,145.0,145.0,145.0,41.0,41.0
2021-09-24,NM,UNION COUNTY GENERAL HOSPITAL,CLAYTON,Critical Access Hospitals,29.0,29.0,25.0,4.3,4.3,-999999.0,-999999.0,25.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,203.0,203.0,175.0,30.0,30.0,8.0,8.0,175.0,14.0,14.0,0.0,0.0,0.0,0.0
2021-10-01,NM,SIERRA VISTA HOSPITAL,T OR C,Critical Access Hospitals,18.0,18.0,11.0,7.7,7.7,-999999.0,-999999.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,77.0,54.0,54.0,20.0,10.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,NM,LOVELACE WOMEN'S HOSPITAL,ALBUQUERQUE,Short Term,173.0,120.0,75.4,103.3,58.9,4.4,4.4,173.0,8.0,7.9,7.4,7.4,-999999.0,-999999.0,1211.0,840.0,528.0,723.0,412.0,31.0,31.0,1211.0,56.0,55.0,52.0,52.0,9.0,9.0
2021-10-01,NM,NOR-LEA HOSPITAL DISTRICT,LOVINGTON,Critical Access Hospitals,27.0,27.0,25.0,8.6,8.6,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,175.0,60.0,60.0,21.0,21.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NM,ROOSEVELT GENERAL HOSPITAL,PORTALES,Short Term,26.0,26.0,18.3,7.7,7.7,-999999.0,-999999.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,128.0,54.0,54.0,18.0,18.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,NM,MIMBRES MEMORIAL HOSPITAL,DEMING,Critical Access Hospitals,34.0,25.0,25.0,10.1,10.1,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,175.0,175.0,71.0,71.0,13.0,13.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,NM,UNM HOSPITAL,ALBUQUERQUE,Short Term,728.0,475.0,445.0,641.3,481.4,29.6,29.1,696.0,135.0,93.0,127.7,86.7,13.1,13.1,5096.0,3325.0,3115.0,4489.0,3370.0,207.0,204.0,4872.0,945.0,651.0,894.0,607.0,92.0,92.0
2021-09-24,NM,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,GALLUP,Short Term,40.0,40.0,25.7,24.0,23.6,5.9,5.7,25.7,6.3,6.3,6.1,6.1,-999999.0,-999999.0,280.0,280.0,180.0,168.0,165.0,41.0,40.0,180.0,44.0,44.0,43.0,43.0,24.0,24.0
