Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-17,OH,AULTMAN SPECIALTY HOSPITAL,CANTON,Long Term,13.0,13.0,13.0,11.1,11.1,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,78.0,78.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,OH,EDWIN SHAW REHAB INSTITUTE,CUYAHOGA FALLS,Short Term,44.0,44.0,44.0,55.3,55.3,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,308.0,308.0,387.0,387.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,OH,"WOODS AT PARKSIDE,THE",COLUMBUS,Short Term,50.0,50.0,50.0,22.3,22.3,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,350.0,156.0,156.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,OH,AULTMAN SPECIALTY HOSPITAL,CANTON,Long Term,13.0,13.0,13.0,7.9,7.9,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,55.0,55.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,OH,KINDRED HOSPITAL LIMA,LIMA,Long Term,26.0,26.0,24.0,21.9,21.9,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,168.0,153.0,153.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-12,OH,EDWIN SHAW REHAB INSTITUTE,CUYAHOGA FALLS,Short Term,60.0,60.0,60.0,58.0,58.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,420.0,420.0,406.0,406.0,0.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,OH,AULTMAN SPECIALTY HOSPITAL,CANTON,Long Term,13.0,13.0,13.0,12.7,12.7,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,89.0,89.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,OH,AULTMAN SPECIALTY HOSPITAL,CANTON,Long Term,13.0,13.0,13.0,11.0,11.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,77.0,77.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,OH,AULTMAN SPECIALTY HOSPITAL,CANTON,Long Term,13.0,13.0,13.0,4.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,28.0,28.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,OH,EAST OHIO REGIONAL HOSPITAL,MARTINS FERRY,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,OH,EAST OHIO REGIONAL HOSPITAL,MARTINS FERRY,Short Term,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,OH,DRAKE CENTER INC,CINCINNATI,Long Term,108.0,108.0,108.0,81.7,81.7,-999999.0,-999999.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,756.0,756.0,572.0,572.0,20.0,16.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0
