Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-08-13,OK,J D MCCARTY CENTER FOR CHILDREN,NORMAN,Childrens Hospitals,18.0,0.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,OK,MEMORIAL HOSPITAL,STILWELL,Short Term,49.0,49.0,49.0,12.9,12.9,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,343.0,343.0,90.0,90.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-11,OK,O U HEALTH UNIVERSITY OF OKLAHOMA MEDICAL CENTER,OKLAHOMA CITY,Short Term,,,,,,26.5,24.5,,,,,,7.0,7.0,,,,,,159.0,147.0,,,,,,42.0,42.0
2020-08-14,OK,MEMORIAL HOSPITAL,STILWELL,Short Term,53.0,,,,,-999999.0,-999999.0,,0.0,,0.0,,,,212.0,,,,,9.0,9.0,,0.0,,0.0,,,
2020-08-07,OK,MCCURTAIN MEMORIAL HOSPITAL,IDABEL,Critical Access Hospitals,35.0,,,,,-999999.0,-999999.0,,,,,,,,210.0,,,,,14.0,14.0,,,,,,,
2020-08-07,OK,FAIRFAX COMMUNITY HOSPITAL,FAIRFAX,Critical Access Hospitals,-999999.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,-999999.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,
2020-07-31,OK,MCCURTAIN MEMORIAL HOSPITAL,IDABEL,Critical Access Hospitals,34.8,,,,,5.8,5.8,,,,0.0,,,,174.0,,,,,29.0,29.0,,,,0.0,,,
2020-07-31,OK,"SOUTHWESTERN REGIONAL MEDICAL CENTER, LLC",TULSA,Short Term,39.0,,,,,0.0,0.0,,4.0,,-999999.0,,0.0,0.0,78.0,,,,,0.0,0.0,,8.0,,7.0,,0.0,0.0
2021-09-24,OK,SSM HEALTH ST ANTHONY HOSPITAL - OKLAHOMA CITY,OKLAHOMA CITY,Short Term,439.4,419.4,316.7,280.0,270.7,59.1,55.6,336.7,54.6,48.6,47.0,43.6,15.7,15.7,3076.0,2936.0,2217.0,1960.0,1895.0,414.0,389.0,2357.0,382.0,340.0,329.0,305.0,110.0,110.0
2021-09-24,OK,"MERCY HOSPITAL LOGAN COUNTY, INC",GUTHRIE,Critical Access Hospitals,25.0,25.0,25.0,12.0,12.0,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,175.0,84.0,84.0,22.0,20.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
