Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-24,OR,SACRED HEART UNIVERSITY DISTRICT,EUGENE,Short Term,93.0,93.0,93.0,79.0,79.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,651.0,651.0,553.0,553.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-11,OR,GRANDE RONDE HOSPITAL,LA GRANDE,Critical Access Hospitals,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0
2020-08-28,OR,ST CHARLES MADRAS,MADRAS,Critical Access Hospitals,42.0,,,12.5,,,,38.0,0.0,,0.0,,,,168.0,,,50.0,,,,152.0,0.0,,0.0,,,
2020-07-31,OR,SACRED HEART UNIVERSITY DISTRICT,EUGENE,Short Term,93.0,93.0,93.0,65.0,11.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,651.0,651.0,455.0,77.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,OR,ASANTE ASHLAND COMMUNITY HOSPITAL,ASHLAND,Short Term,93.1,93.1,67.1,29.9,28.3,11.1,10.4,67.1,4.7,4.7,4.0,4.0,-999999.0,-999999.0,652.0,652.0,470.0,209.0,198.0,78.0,73.0,470.0,33.0,33.0,28.0,28.0,17.0,17.0
2021-09-24,OR,SAMARITAN NORTH LINCOLN HOSPITAL,LINCOLN CITY,Critical Access Hospitals,42.0,42.0,42.0,16.7,16.7,-999999.0,-999999.0,42.0,4.0,4.0,-999999.0,-999999.0,-999999.0,0.0,294.0,294.0,294.0,117.0,117.0,6.0,-999999.0,294.0,28.0,28.0,23.0,23.0,-999999.0,0.0
2021-10-01,OR,COLUMBIA MEMORIAL HOSPITAL,ASTORIA,Critical Access Hospitals,52.0,52.0,42.0,19.0,18.6,-999999.0,-999999.0,42.0,9.0,9.0,-999999.0,-999999.0,0.0,0.0,364.0,364.0,294.0,133.0,130.0,25.0,25.0,294.0,63.0,63.0,-999999.0,-999999.0,0.0,0.0
2021-09-24,OR,PROVIDENCE NEWBERG MEDICAL CENTER,NEWBERG,Short Term,43.3,38.6,38.6,26.6,24.6,-999999.0,-999999.0,38.6,4.0,4.0,-999999.0,-999999.0,0.0,0.0,303.0,270.0,270.0,186.0,172.0,14.0,14.0,270.0,28.0,28.0,24.0,24.0,0.0,0.0
2021-09-24,OR,GRANDE RONDE HOSPITAL,LA GRANDE,Critical Access Hospitals,62.0,62.0,34.0,19.3,19.3,5.9,5.9,34.0,6.0,6.0,-999999.0,-999999.0,-999999.0,-999999.0,434.0,434.0,238.0,135.0,135.0,41.0,41.0,238.0,42.0,42.0,21.0,21.0,9.0,9.0
2021-09-24,OR,SALEM HEALTH WEST VALLEY,DALLAS,Critical Access Hospitals,6.0,6.0,6.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,35.0,35.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
