Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-10,PA,OSS ORTHOPAEDIC HOSPITAL,YORK,Short Term,30.0,30.0,30.0,14.1,14.1,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,99.0,99.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13,PA,UPMC LOCK HAVEN,LOCK HAVEN,Short Term,51.0,51.0,43.0,8.4,8.4,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,357.0,301.0,59.0,59.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,PA,EDGEWOOD SURGICAL HOSPITAL,TRANSFER,Short Term,8.6,8.6,0.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,PA,OSS ORTHOPAEDIC HOSPITAL,YORK,Short Term,30.0,30.0,30.0,16.3,16.3,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,114.0,114.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,PA,ADVANCED SURGICAL HOSPITAL,WASHINGTON,Short Term,14.0,14.0,14.0,5.9,5.9,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,98.0,41.0,41.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-12,PA,SOUTHWOOD PSYCHIATRIC HOSPITAL- CHOICES,PITTSBURGH,Short Term,74.0,0.0,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,PA,UPMC KANE,KANE,Short Term,21.0,21.0,14.0,4.4,4.4,0.0,0.0,14.0,5.0,5.0,-999999.0,-999999.0,0.0,0.0,147.0,147.0,98.0,31.0,31.0,0.0,0.0,98.0,35.0,35.0,5.0,5.0,0.0,0.0
2020-11-13,PA,EAGLEVILLE HOSPITAL,EAGLEVILLE,Short Term,305.0,305.0,305.0,234.7,234.7,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.0,2135.0,2135.0,1643.0,1643.0,0.0,0.0,2135.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,PA,EDGEWOOD SURGICAL HOSPITAL,TRANSFER,Short Term,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,PA,EAGLEVILLE HOSPITAL,EAGLEVILLE,Short Term,305.0,305.0,305.0,233.9,233.9,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.0,2135.0,2135.0,1637.0,1637.0,0.0,0.0,2135.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,PA,"CANCER TREATMENT CENTERS OF AMERICA, PHILADELPHIA",PHILADELPHIA,Short Term,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
2020-09-25,PA,PENN HIGHLANDS CLEARFIELD,CLEARFIELD,Short Term,16.2,,,12.3,,,,13.8,,,0.0,,,,97.0,,,74.0,,,,83.0,,,0.0,,,
