Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-07-02,PR,HIMA SAN PABLO HUMACAO,HUMACAO,Short Term,105.0,34.0,34.0,18.3,17.9,0.0,0.0,48.0,6.0,6.0,4.7,4.7,0.0,0.0,735.0,238.0,238.0,128.0,125.0,0.0,0.0,336.0,42.0,42.0,33.0,33.0,0.0,0.0
2021-06-25,PR,HOSPITAL GENERAL DE CASTANER,CASTANER,Short Term,33.0,12.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,84.0,84.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,PR,HOSPITAL GENERAL DE CASTANER,CASTANER,Short Term,33.0,11.7,11.7,-999999.0,-999999.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,231.0,82.0,82.0,-999999.0,-999999.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,PR,SAN JUAN MUNICIPAL HOSPITAL,RIO PIEDRAS,Short Term,450.0,81.1,81.1,66.6,46.4,-999999.0,-999999.0,111.3,19.7,7.7,12.9,5.7,0.0,0.0,3150.0,568.0,568.0,466.0,325.0,13.0,11.0,779.0,138.0,54.0,90.0,40.0,0.0,0.0
2021-09-24,PR,HOSPITAL DR CAYETANO COLL Y TOSTE,ARECIBO,Short Term,230.0,112.4,112.4,107.9,79.6,-999999.0,-999999.0,178.0,23.7,8.0,13.3,6.9,-999999.0,0.0,1610.0,787.0,787.0,755.0,557.0,26.0,24.0,1246.0,166.0,56.0,93.0,48.0,-999999.0,0.0
2021-10-01,PR,DOCTOR CENTER HOSPITAL SAN FERNANDO DE LA CAROLINA,CAROLINA,Short Term,109.0,83.6,83.6,97.4,82.7,-999999.0,-999999.0,109.0,6.0,6.0,6.0,6.0,0.0,0.0,763.0,585.0,585.0,682.0,579.0,12.0,12.0,763.0,42.0,42.0,42.0,42.0,0.0,0.0
2021-10-01,PR,METROPOLITAN HOSPITAL,SAN JUAN,Short Term,180.0,99.7,99.7,42.3,39.3,-999999.0,-999999.0,124.1,5.0,5.0,-999999.0,-999999.0,-999999.0,0.0,1260.0,698.0,698.0,296.0,275.0,7.0,7.0,869.0,35.0,35.0,15.0,15.0,-999999.0,0.0
2021-09-24,PR,AUXILIO MUTUO HOSPITAL,SAN JUAN,Short Term,669.0,379.6,379.6,289.6,258.3,14.4,12.4,451.7,69.9,41.0,35.0,31.4,7.3,6.9,4683.0,2657.0,2657.0,2027.0,1808.0,101.0,87.0,3162.0,489.0,287.0,245.0,220.0,51.0,48.0
2021-10-01,PR,HOSPITAL MENONITA CAGUAS INC,CAGUAS,Short Term,373.0,186.1,186.1,181.1,165.4,5.0,-999999.0,201.9,19.1,11.4,12.7,9.4,-999999.0,-999999.0,2611.0,1303.0,1303.0,1268.0,1158.0,35.0,21.0,1413.0,134.0,80.0,89.0,66.0,-999999.0,-999999.0
2021-10-01,PR,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,MAYAGUEZ,Short Term,391.0,181.3,181.3,161.7,155.4,-999999.0,-999999.0,200.7,41.3,33.3,26.3,21.3,-999999.0,-999999.0,2737.0,1269.0,1269.0,1132.0,1088.0,13.0,6.0,1405.0,289.0,233.0,184.0,149.0,4.0,-999999.0
2021-09-24,PR,PROFESSIONAL HOSPITAL GUAYNABO INC,GUAYNABO,Short Term,54.0,54.0,54.0,19.9,19.9,0.0,0.0,54.0,8.6,8.6,4.4,4.4,0.0,0.0,378.0,378.0,378.0,139.0,139.0,0.0,0.0,378.0,60.0,60.0,31.0,31.0,0.0,0.0
2021-10-01,PR,HOSPITAL SAN CRISTOBAL,COTO LAUREL,Short Term,138.0,111.1,111.1,70.3,69.1,-999999.0,-999999.0,138.0,21.0,9.0,7.4,6.3,0.0,0.0,966.0,778.0,778.0,492.0,484.0,8.0,8.0,966.0,147.0,63.0,52.0,44.0,0.0,0.0
2021-09-24,PR,HOSPITAL DE LA CONCEPCION,SAN GERMAN,Short Term,187.0,153.7,153.7,116.1,114.9,-999999.0,-999999.0,163.9,25.3,12.0,16.6,11.6,-999999.0,-999999.0,1309.0,1076.0,1076.0,813.0,804.0,14.0,14.0,1147.0,177.0,84.0,116.0,81.0,8.0,8.0
2021-09-24,PR,HOSPITAL MENONITA CAGUAS INC,CAGUAS,Short Term,373.0,197.4,197.4,184.1,175.3,5.1,4.4,206.3,20.7,13.7,13.4,12.0,-999999.0,-999999.0,2611.0,1382.0,1382.0,1289.0,1227.0,36.0,31.0,1444.0,145.0,96.0,94.0,84.0,6.0,4.0
2021-10-01,PR,HIMA-SAN PABLO FAJARDO,FAJARDO,Short Term,221.0,129.3,129.3,27.3,24.1,-999999.0,-999999.0,145.3,7.0,5.0,4.4,4.4,0.0,0.0,1547.0,905.0,905.0,191.0,169.0,-999999.0,-999999.0,1017.0,49.0,35.0,31.0,31.0,0.0,0.0
2021-09-24,PR,HOSPITAL SAN CRISTOBAL,COTO LAUREL,Short Term,138.0,110.6,110.6,65.9,63.9,-999999.0,-999999.0,138.0,21.0,9.0,9.6,7.6,0.0,0.0,966.0,774.0,774.0,461.0,447.0,7.0,5.0,966.0,147.0,63.0,67.0,53.0,0.0,0.0
2021-10-01,PR,BAYAMON MEDICAL CENTER,BAYAMON,Short Term,551.0,288.0,288.0,272.1,190.6,7.1,6.4,383.0,41.0,16.0,34.9,14.9,-999999.0,-999999.0,3857.0,2016.0,2016.0,1905.0,1334.0,50.0,45.0,2681.0,287.0,112.0,244.0,104.0,20.0,20.0
2021-09-24,PR,HOSPITAL SAN CARLOS BORROMEO,MOCA,Short Term,108.0,106.0,106.0,39.7,39.7,-999999.0,-999999.0,106.0,8.0,8.0,6.3,6.3,-999999.0,-999999.0,756.0,742.0,742.0,278.0,278.0,17.0,14.0,742.0,56.0,56.0,44.0,44.0,7.0,7.0
2021-09-24,PR,PRESBYTERIAN COMMUNITY HOSP,SAN JUAN,Short Term,207.0,146.1,146.1,100.1,95.6,4.1,4.1,154.0,24.6,5.1,16.3,5.0,-999999.0,-999999.0,1449.0,1023.0,1023.0,701.0,669.0,29.0,29.0,1078.0,172.0,36.0,114.0,35.0,9.0,9.0
2021-10-01,PR,HOSPITAL DEL CENTRO COMPRENSIVO DE CANCER,SAN JUAN,Short Term,96.0,29.0,29.0,6.0,6.0,0.0,0.0,29.0,5.0,5.0,0.0,0.0,0.0,0.0,672.0,203.0,203.0,42.0,42.0,0.0,0.0,203.0,35.0,35.0,0.0,0.0,0.0,0.0
2021-09-24,PR,HOSPITAL SAN FRANCISCO,SAN JUAN,Short Term,160.0,133.0,133.0,73.0,59.6,-999999.0,-999999.0,160.0,14.9,9.9,4.9,4.9,-999999.0,0.0,1120.0,931.0,931.0,511.0,417.0,20.0,16.0,1120.0,104.0,69.0,34.0,34.0,-999999.0,0.0
2021-10-01,PR,MENNONITE GENERAL HOSPITAL INC,AIBONITO,Short Term,150.0,108.0,108.0,62.3,54.4,0.0,0.0,133.6,6.0,6.0,5.4,5.4,0.0,0.0,1050.0,756.0,756.0,436.0,381.0,0.0,0.0,935.0,42.0,42.0,38.0,38.0,0.0,0.0
