Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2020-09-18,SD,MONUMENT HEALTH SPEARFISH HOSPITAL,SPEARFISH,Short Term,24.0,,,7.7,,,,15.0,4.0,,-999999.0,,,,168.0,,,54.0,,,,105.0,28.0,,7.0,,,
2020-08-21,SD,FALL RIVER HOSPITAL - CAH,HOT SPRINGS,Critical Access Hospitals,25.0,24.0,,25.0,6.0,,,25.0,,,0.0,,,,25.0,24.0,,25.0,6.0,,,25.0,,,0.0,,,
2020-08-07,SD,MONUMENT HEALTH LEAD-DEADWOOD HOSPITAL,DEADWOOD,Critical Access Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,SD,MARSHALL COUNTY HEALTHCARE CENTER - CAH,BRITTON,Critical Access Hospitals,12.0,,,-999999.0,,,,12.0,0.0,,0.0,,,,48.0,,,10.0,,,,48.0,0.0,,0.0,,,
2021-09-24,SD,MADISON REGIONAL HEALTH SYSTEM,MADISON,Critical Access Hospitals,22.0,22.0,22.0,10.4,10.4,-999999.0,-999999.0,22.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,154.0,154.0,154.0,73.0,73.0,10.0,10.0,154.0,14.0,14.0,0.0,0.0,0.0,0.0
2021-10-01,SD,LIFESCAPE,SIOUX FALLS,Childrens Hospitals,18.0,0.0,0.0,11.3,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,79.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,SD,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,SIOUX FALLS,Short Term,524.0,246.0,246.0,322.1,224.0,38.4,38.4,524.0,45.0,40.0,39.3,37.0,16.3,16.3,3668.0,1722.0,1722.0,2255.0,1568.0,269.0,269.0,3668.0,315.0,280.0,275.0,259.0,114.0,114.0
2021-10-01,SD,BOWDLE HOSPITAL - CAH,BOWDLE,Critical Access Hospitals,17.0,17.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,119.0,84.0,19.0,19.0,5.0,5.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,SD,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,MILLER,Critical Access Hospitals,16.0,16.0,16.0,-999999.0,-999999.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,112.0,27.0,27.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,SD,COMMUNITY MEMORIAL HOSPITAL,BURKE,Critical Access Hospitals,16.0,0.0,0.0,-999999.0,-999999.0,-999999.0,-999999.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,18.0,18.0,7.0,7.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
