Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-06-18,TN,THREE RIVERS HOSPITAL,WAVERLY,Critical Access Hospitals,31.0,26.0,20.0,5.9,5.9,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,182.0,140.0,41.0,41.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,TN,COMPASS INTERVENTION CENTER,MEMPHIS,Short Term,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-02,TN,BIG SOUTH FORK MEDICAL CENTER,ONEIDA,Short Term,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-12,TN,"JELLICO REGIONAL HOSPITAL, LLC",JELLICO,Short Term,24.0,24.0,15.0,0.0,0.0,,,15.0,0.0,0.0,0.0,0.0,,,120.0,120.0,75.0,0.0,0.0,,,75.0,0.0,0.0,0.0,0.0,,
2021-01-01,TN,BIG SOUTH FORK MEDICAL CENTER,ONEIDA,Short Term,12.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13,TN,TRUSTPOINT HOSPITAL,MURFREESBORO,Short Term,160.0,143.0,143.0,136.1,112.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,1001.0,1001.0,953.0,784.0,0.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-28,TN,COMPASS INTERVENTION CENTER,MEMPHIS,Short Term,108.0,,,78.3,,,,108.0,0.0,,0.0,,,,324.0,,,235.0,,,,324.0,0.0,,0.0,,,
2020-08-21,TN,KINDRED HOSPITAL - CHATTANOOGA,CHATTANOOGA,Long Term,49.0,49.0,35.0,33.1,33.1,0.0,0.0,35.0,0.0,,0.0,,,,343.0,343.0,245.0,232.0,232.0,0.0,0.0,245.0,0.0,,0.0,,,
2020-07-31,TN,KINDRED HOSPITAL - CHATTANOOGA,CHATTANOOGA,Long Term,49.0,49.0,35.0,32.0,32.0,0.0,0.0,35.0,0.0,,0.0,,,,343.0,343.0,245.0,224.0,224.0,0.0,0.0,245.0,0.0,,0.0,,,
2021-09-24,TN,BLOUNT MEMORIAL HOSPITAL,MARYVILLE,Short Term,312.0,312.0,269.0,138.6,138.6,48.1,48.0,269.0,32.0,32.0,18.9,18.9,14.3,14.3,2184.0,2184.0,1883.0,970.0,970.0,337.0,336.0,1883.0,224.0,224.0,132.0,132.0,100.0,100.0
2021-10-01,TN,TRISTAR CENTENNIAL MEDICAL CENTER,NASHVILLE,Short Term,815.0,708.0,681.0,503.4,426.9,49.0,47.4,788.0,166.0,96.0,123.9,62.4,23.0,23.0,5705.0,4956.0,4767.0,3524.0,2988.0,343.0,332.0,5516.0,1162.0,672.0,867.0,437.0,161.0,161.0
2021-10-01,TN,METHODIST MEDICAL CENTER OF OAK RIDGE,OAK RIDGE,Short Term,198.0,198.0,175.0,143.0,143.0,35.0,34.9,175.0,25.0,25.0,19.9,19.9,10.6,10.6,1386.0,1386.0,1225.0,1001.0,1001.0,245.0,244.0,1225.0,175.0,175.0,139.0,139.0,74.0,74.0
2021-10-01,TN,JACKSON-MADISON COUNTY GENERAL HOSPITAL,JACKSON,Short Term,738.0,682.0,600.0,539.3,500.0,135.1,135.1,656.0,114.0,80.0,97.1,67.9,30.1,30.1,5166.0,4774.0,4200.0,3775.0,3500.0,946.0,946.0,4592.0,798.0,560.0,680.0,475.0,211.0,211.0
2021-10-01,TN,COMPASS INTERVENTION CENTER,MEMPHIS,Short Term,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,TN,TRISTAR SKYLINE MEDICAL CENTER,NASHVILLE,Short Term,707.0,686.0,634.0,229.1,229.1,39.9,38.4,655.0,172.0,172.0,58.4,58.4,10.9,9.4,4949.0,4802.0,4438.0,1604.0,1604.0,279.0,269.0,4585.0,1204.0,1204.0,409.0,409.0,76.0,66.0
2021-10-01,TN,ERLANGER MEDICAL CENTER,CHATTANOOGA,Short Term,823.0,654.0,515.0,405.1,310.0,55.4,51.7,684.0,218.0,98.0,138.9,67.4,21.9,20.6,5761.0,4578.0,3605.0,2836.0,2170.0,388.0,362.0,4788.0,1526.0,686.0,972.0,472.0,153.0,144.0
2021-10-01,TN,SAINT THOMAS WEST HOSPITAL,NASHVILLE,Short Term,368.0,368.0,339.0,320.9,320.9,48.4,43.0,339.0,86.0,86.0,80.0,80.0,24.3,23.7,2576.0,2576.0,2373.0,2246.0,2246.0,339.0,301.0,2373.0,602.0,602.0,560.0,560.0,170.0,166.0
2021-10-01,TN,NORTHCREST MEDICAL CENTER,SPRINGFIELD,Short Term,97.0,92.0,74.0,39.6,39.6,12.8,12.8,79.0,12.0,12.0,7.4,7.4,-999999.0,-999999.0,679.0,644.0,518.0,277.0,277.0,77.0,77.0,553.0,84.0,84.0,52.0,52.0,15.0,15.0
2021-09-24,TN,LECONTE MEDICAL CENTER,SEVIERVILLE,Short Term,120.0,120.0,86.0,58.7,58.7,34.3,33.6,86.0,16.0,16.0,11.7,11.7,11.4,11.4,840.0,840.0,602.0,411.0,411.0,240.0,235.0,602.0,112.0,112.0,82.0,82.0,80.0,80.0
2021-10-01,TN,UNICOI COUNTY  HOSPITAL,ERWIN,Short Term,20.0,20.0,10.0,5.9,5.9,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,70.0,41.0,41.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,TN,THREE RIVERS HOSPITAL,WAVERLY,Critical Access Hospitals,31.0,26.0,20.0,8.1,8.1,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,182.0,140.0,57.0,57.0,19.0,19.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
