Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-09-10,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,9.0,9.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,63.0,63.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,-999999.0,-999999.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,26.0,26.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,UT,OREM COMMUNITY HOSPITAL,OREM,Short Term,33.0,33.0,26.0,5.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,182.0,35.0,35.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-02,UT,OREM COMMUNITY HOSPITAL,OREM,Short Term,33.0,33.0,26.0,4.6,4.6,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,182.0,32.0,32.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,UT,THE ORTHOPEDIC SPECIALTY HOSPITAL,MURRAY,Short Term,40.0,40.0,40.0,9.7,9.7,-999999.0,-999999.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,280.0,68.0,68.0,4.0,-999999.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-04,UT,BLUE MOUNTAIN HOSPITAL,BLANDING,Critical Access Hospitals,11.0,,,4.7,,,,11.0,0.0,,0.0,,,,33.0,,,14.0,,,,33.0,0.0,,0.0,,,
2020-08-28,UT,BLUE MOUNTAIN HOSPITAL,BLANDING,Critical Access Hospitals,11.0,,,-999999.0,,,,11.0,0.0,,0.0,,,,55.0,,,15.0,,,,55.0,0.0,,0.0,,,
2020-08-14,UT,SALT LAKE REGIONAL MEDICAL CENTER,SALT LAKE CITY,Short Term,70.0,,,34.4,,,,50.7,20.0,,16.3,,-999999.0,-999999.0,490.0,,,241.0,,,,355.0,140.0,,114.0,,13.0,13.0
2020-08-07,UT,SAN JUAN HOSPITAL,MONTICELLO,Critical Access Hospitals,25.0,,,-999999.0,,0.0,0.0,18.0,-999999.0,,0.0,,,,175.0,,,19.0,,0.0,0.0,126.0,14.0,,0.0,,,
2020-08-07,UT,UTAH VALLEY SPECIALTY HOSPITAL,PROVO,Long Term,40.0,40.0,,29.9,29.9,-999999.0,-999999.0,29.9,0.0,,0.0,,,,280.0,280.0,,209.0,209.0,7.0,7.0,209.0,0.0,,0.0,,,
