Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-07-23,VA,HIRAM W DAVIS MEDICAL CENTER,PETERSBURG,Short Term,4.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,13.0,13.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,VA,HIRAM W DAVIS MEDICAL CENTER,PETERSBURG,Short Term,4.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,14.0,14.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,VA,CUMBERLAND HOSPITAL LLC,NEW KENT,Childrens Hospitals,110.0,0.0,0.0,83.7,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,0.0,586.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-11,VA,RUSSELL COUNTY HOSPITAL,LEBANON,Short Term,58.0,,7.7,,4.0,-999999.0,-999999.0,,,0.0,,0.0,0.0,0.0,406.0,,54.0,,28.0,7.0,4.0,,,0.0,,0.0,0.0,0.0
2020-08-28,VA,CHESAPEAKE GENERAL HOSPITAL,CHESAPEAKE,Short Term,310.0,,,251.5,,,,310.0,28.0,,24.5,,,,1860.0,,,1509.0,,,,1860.0,168.0,,147.0,,,
2020-07-31,VA,"CENTRA  HEALTH, INC",LYNCHBURG,Short Term,,,,,,42.9,36.6,,,,,,16.0,14.4,,,,,,300.0,256.0,,,,,,112.0,101.0
2021-10-01,VA,BEDFORD MEMORIAL HOSPITAL,BEDFORD,Short Term,58.9,58.9,28.9,21.0,21.0,0.0,0.0,28.9,6.0,6.0,5.1,5.1,0.0,0.0,412.0,412.0,202.0,147.0,147.0,0.0,0.0,202.0,42.0,42.0,36.0,36.0,0.0,0.0
2021-09-24,VA,HIRAM W DAVIS MEDICAL CENTER,PETERSBURG,Short Term,4.0,4.0,4.0,-999999.0,-999999.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,9.0,9.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VA,LAKE TAYLOR TRANSITIONAL CARE HOSPITAL,NORFOLK,Long Term,104.0,79.0,79.0,69.6,49.6,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,728.0,553.0,553.0,487.0,347.0,0.0,0.0,728.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VA,SPOTSYLVANIA REGIONAL MEDICAL CENTER,FREDERICKSBURG,Short Term,161.0,157.0,137.0,106.4,94.7,15.6,11.4,141.0,20.1,12.0,19.9,8.6,4.6,4.6,1127.0,1099.0,959.0,745.0,663.0,109.0,80.0,987.0,141.0,84.0,139.0,60.0,32.0,32.0
2021-09-24,VA,INOVA FAIR OAKS HOSPITAL,FAIRFAX,Short Term,186.0,186.0,186.0,133.4,133.4,13.6,10.9,186.0,23.0,23.0,19.6,19.3,-999999.0,-999999.0,1302.0,1302.0,1302.0,934.0,934.0,95.0,76.0,1302.0,161.0,161.0,137.0,135.0,16.0,15.0
2021-09-24,VA,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,WILLIAMSBURG,Short Term,144.0,144.0,144.0,92.4,92.4,17.4,15.4,144.0,24.0,24.0,10.6,10.6,-999999.0,-999999.0,1008.0,1008.0,1008.0,647.0,647.0,122.0,108.0,1008.0,168.0,168.0,74.0,74.0,22.0,21.0
2021-10-01,VA,NOVANT HEALTH UVA HEALTH HAYMARKET MEDICAL CENTER,HAYMARKET,Short Term,106.6,70.6,70.6,22.3,22.3,-999999.0,-999999.0,70.6,8.0,8.0,5.3,5.3,-999999.0,-999999.0,746.0,494.0,494.0,156.0,156.0,14.0,10.0,494.0,56.0,56.0,37.0,37.0,-999999.0,-999999.0
2021-10-01,VA,JOHNSTON MEMORIAL HOSPITAL,ABINGDON,Short Term,129.0,129.0,81.4,82.1,79.1,26.6,26.3,82.6,10.7,10.7,10.0,10.0,8.0,8.0,903.0,903.0,570.0,575.0,554.0,186.0,184.0,578.0,75.0,75.0,70.0,70.0,56.0,56.0
2021-10-01,VA,BON SECOURS SOUTHAMPTON MEMORIAL HOSPITAL,FRANKLIN,Short Term,59.6,59.6,38.6,25.0,25.0,4.7,4.3,38.6,7.7,7.7,6.9,6.9,-999999.0,-999999.0,417.0,417.0,270.0,175.0,175.0,33.0,30.0,270.0,54.0,54.0,48.0,48.0,16.0,16.0
2021-10-01,VA,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,WILLIAMSBURG,Short Term,144.0,144.0,144.0,88.0,88.0,14.1,13.1,144.0,24.0,24.0,8.9,8.9,-999999.0,-999999.0,1008.0,1008.0,1008.0,616.0,616.0,99.0,92.0,1008.0,168.0,168.0,62.0,62.0,26.0,25.0
